"word","pron","lemme","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP","freq"
"rayonner","REjone","rayonner",8,6,3,4,"RE-jo-ne",3,"0.94","0.7","0","0","0.65","0.24","2","4","r-R.ay-Ej.o-o.nn-n.er-e",10.34
"argument","aRgym@","argument",8,6,0,1,"aR-gy-m@",3,"0.79","0.34","1","6","0.83","0.34","1","6","a-a.r-R.g-g.u-y.m-m.ent-@",18.18
"soulever","sul°ve","soulever",8,6,1,5,"su-l°-ve",3,"0.91","0.53","0","0","0.84","0.32","1","6","s-s.ou-u.l-l.e-°.v-v.er-e",113.38
"défendre","def@dR","défendre",8,6,4,9,"de-f@dR",2,"0.98","0.9","0","0","0.76","0.4","1","4","d-d.é-e.f-f.en-@.d-d.r-R.e-#",91.08
"éventuel","ev@tyEl","éventuel",8,7,0,0,"e-v@-t8El",3,"0.75","0.08","2","5","0.83","0.4","1","3","é-e.v-v.en-@.t-t.u-8.e-E.l-l",13.18
"cartable","kaRtabl","cartable",8,7,0,0,"kaR-tabl",2,"0.97","0.91","0","0","0.88","0.4","0","0","c-k.a-a.r-R.t-t.a-a.b-b.l-l.e-#",11.28
"grillage","gRijaZ","grillage",8,6,2,4,"gRi-jaZ",2,"0.84","0.38","1","3","0.89","0.58","0","0","g-g.r-R.ill-ij.a-a.ge-Z",12.03
"affirmer","afiRme","affirmer",8,6,2,5,"a-fiR-me",3,"0.96","0.75","0","0","0.73","0.24","2","2","a-a.ff-f.i-i.r-R.m-m.er-e",63.51
"charrier","SaRje","charrier",8,5,3,15,"Sa-Rje",2,"0.83","0.24","1","4","0.61","0.03","2","3","ch-S.a-a.rr-R.i-j.er-e",12.36
"détresse","detREs","détresse",8,6,0,2,"de-tREs",2,"0.9","0.38","1","5","0.73","0.27","1","6","d-d.é-e.t-t.r-R.e-E.ss-s.e-#",19.05
"démarrer","demaRe","démarrer",8,6,5,12,"de-ma-Re",3,"1","0.99","0","0","0.69","0.03","2","5","d-d.é-e.m-m.a-a.rr-R.er-e",29.32
"avantage","av@taZ","avantage",8,6,1,0,"a-v@-taZ",3,"0.99","0.93","0","0","0.9","0.51","0","0","a-a.v-v.an-@.t-t.a-a.ge-Z",32.16
"déchirer","deSiRe","déchirer",8,6,2,6,"de-Si-Re",3,"0.95","0.75","0","0","0.86","0.32","1","6","d-d.é-e.ch-S.i-i.r-R.er-e",53.11
