word,ortho,phono,freq,len,pron,phlen,gpmatch,cons,cons-min,occ,occ-min
brave,bra-ve,bRa-v°,4.73,5,bRav°,5,bra-bRa.ve-v°,0.93182 0.80676,0.80676,44 207,44
bravement,bra-ve-ment,bRa-v°-m@,3.78,9,bRav°m@,7,bra-bRa.ve-v°.ment-m@,0.93182 0.80676 1.0,0.80676,44 207 304,44
braver,bra-ver,bRa-ve,5.2,6,bRave,5,bra-bRa.ver-ve,0.93182 0.32353,0.32353,44 170,44
bravo,bra-vo,bRa-vo,7.91,5,bRavo,5,bra-bRa.vo-vo,0.93182 0.80583,0.80583,44 103,44
bravoure,bra-vou-re,bRa-vu-R°,3.18,8,bRavuR°,7,bra-bRa.vou-vu.re-R°,0.93182 1.0 0.95577,0.93182,44 21 927,21
break,break,bRek,2.09,5,bRek,4,break-bRek,1.0,1.0,2,2
breakfast,break-fast,bRek-f2st,1.22,9,bRekf2st,8,break-bRek.fast-f2st,1.0 1.0,1.0,2 1,1
brebis,bre-bis,bR°-bi,7.03,6,bR°bi,5,bre-bR°.bis-bi,0.9 0.2,0.2,50 15,15
bredouille,bre-dou-ille,bR°-du-j°,2.7,10,bR°duj°,7,bre-bR°.dou-du.ille-j°,0.9 1.0 0.89024,0.89024,50 43 82,43
bref,bref,bRef,74.8,4,bRef,4,bref-bRef,1.0,1.0,1,1
breloque,bre-lo-que,bR2-lo-k°,1.69,8,bR2lok°,7,bre-bR2.lo-lo.que-k°,0.04 0.97382 0.92717,0.04,50 191 357,50
bretelle,bre-te-lle,bR°-te-l°,13.04,8,bR°tel°,7,bre-bR°.te-te.lle-l°,0.9 0.11152 0.64848,0.11152,50 538 165,50
breton,bre-ton,bR°-t&,9.86,6,bR°t&,5,bre-bR°.ton-t&,0.9 1.0,0.9,50 57,50
breuvage,breu-va-ge,bR2-va-Z°,2.57,8,bR2vaZ°,7,breu-bR2.va-va.ge-Z°,1.0 1.0 0.97749,0.97749,4 170 311,4
brevet,bre-vet,bR2-ve,3.58,6,bR2ve,5,bre-bR2.vet-ve,0.04 1.0,0.04,50 7,7
bribe,bri-be,bRi-b°,14.73,5,bRib°,5,bri-bRi.be-b°,1.0 0.67416,0.67416,55 89,55
bricolage,bri-co-la-ge,bRi-ko-la-Z°,1.76,9,bRikolaZ°,9,bri-bRi.co-ko.la-la.ge-Z°,1.0 1.0 0.96154 0.97749,0.96154,55 301 208 311,55
bricole,bri-co-le,bRi-ko-l°,5.68,7,bRikol°,7,bri-bRi.co-ko.le-l°,1.0 1.0 0.89398,0.89398,55 301 349,55
bricoler,bri-co-ler,bRi-ko-le,6.15,8,bRikole,7,bri-bRi.co-ko.ler-le,1.0 1.0 0.97396,0.97396,55 301 192,55
bride,bri-de,bRi-d°,10.07,5,bRid°,5,bri-bRi.de-d°,1.0 0.93114,0.93114,55 334,55
brider,bri-der,bRi-de,2.3,6,bRide,5,bri-bRi.der-de,1.0 0.91367,0.91367,55 139,55
bridge,brid-ge,bRid-Z°,4.12,6,bRidZ°,6,brid-bRid.ge-Z°,1.0 0.97749,0.97749,1 311,1
bridé,bri-dé,bRi-de,2.64,5,bRide,5,bri-bRi.dé-de,1.0 1.0,1.0,55 636,55
brie,brie,bRi,0.88,4,bRi,3,brie-bRi,1.0,1.0,1,1
briffer,bri-ffer,bRi-fe,0.88,7,bRife,5,bri-bRi.ffer-fe,1.0 0.91667,0.91667,55 24,24
brigade,bri-ga-de,bRi-ga-d°,12.43,7,bRigad°,7,bri-bRi.ga-ga.de-d°,1.0 0.97674 0.93114,0.93114,55 172 334,55
brigadier,bri-ga-dier,bRi-ga-dje,14.53,9,bRigadje,8,bri-bRi.ga-ga.dier-dje,1.0 0.97674 1.0,0.97674,55 172 17,17
brigand,bri-gand,bRi-g@,3.72,7,bRig@,5,bri-bRi.gand-g@,1.0 1.0,1.0,55 1,1
briguer,bri-guer,bRi-ge,1.01,7,bRige,5,bri-bRi.guer-ge,1.0 0.97872,0.97872,55 47,47
brillant,bri-llant,bRi-j@,6.08,8,bRij@,5,bri-bRi.llant-j@,1.0 0.625,0.625,55 8,8
briller,bri-ller,bRi-je,81.22,7,bRije,5,bri-bRi.ller-je,1.0 0.66667,0.66667,55 63,55
brimade,bri-ma-de,bRi-ma-d°,2.91,7,bRimad°,7,bri-bRi.ma-ma.de-d°,1.0 1.0 0.93114,0.93114,55 347 334,55
brimer,bri-mer,bRi-me,2.16,6,bRime,5,bri-bRi.mer-me,1.0 0.75833,0.75833,55 120,55
brin,brin,bR5,19.26,4,bR5,3,brin-bR5,1.0,1.0,4,4
brindille,brin-di-lle,bR5-di-j°,6.55,9,bR5dij°,7,brin-bR5.di-di.lle-j°,1.0 1.0 0.30303,0.30303,4 292 165,4
bringue,brin-gue,bR5-g°,1.42,7,bR5g°,5,brin-bR5.gue-g°,1.0 0.87654,0.87654,4 81,4
brio,bri-o,bRi-o,1.89,4,bRio,4,bri-bRi.o-o,1.0 0.99476,0.99476,55 191,55
brioche,bri-o-che,bRi-o-S°,7.09,7,bRioS°,6,bri-bRi.o-o.che-S°,1.0 0.99476 0.93191,0.93191,55 191 235,55
brique,bri-que,bRi-k°,31.55,6,bRik°,5,bri-bRi.que-k°,1.0 0.92717,0.92717,55 357,55
briquer,bri-quer,bRi-ke,2.57,7,bRike,5,bri-bRi.quer-ke,1.0 1.0,1.0,55 90,55
briquet,bri-quet,bRi-ke,13.65,7,bRike,5,bri-bRi.quet-ke,1.0 1.0,1.0,55 24,24
bris,bris,bRi,1.35,4,bRi,3,bris-bRi,0.75,0.75,4,4
brisant,bri-sant,bRi-z@,1.35,7,bRiz@,5,bri-bRi.sant-z@,1.0 0.82857,0.82857,55 35,35
brise,bri-se,bRi-z°,11.49,5,bRiz°,5,bri-bRi.se-z°,1.0 0.55833,0.55833,55 240,55
briser,bri-ser,bRi-ze,61.62,6,bRize,5,bri-bRi.ser-ze,1.0 0.67281,0.67281,55 217,55
briseur,bri-seur,bRi-z2R,1.01,7,bRiz2R,6,bri-bRi.seur-z2R,1.0 0.61111,0.61111,55 18,18
bristol,bris-tol,bRis-tol,1.55,7,bRistol,7,bris-bRis.tol-tol,0.25 1.0,0.25,4 1,1
brisure,bri-su-re,bRi-zy-R°,0.95,7,bRizyR°,7,bri-bRi.su-zy.re-R°,1.0 0.1811 0.95577,0.1811,55 127 927,55
brisé,bri-sé,bRi-ze,16.42,5,bRize,5,bri-bRi.sé-ze,1.0 0.43537,0.43537,55 147,55
brisée,bri-sée,bRi-ze,1.49,6,bRize,5,bri-bRi.sée-ze,1.0 0.83333,0.83333,55 12,12
british,bri-tish,bRi-tiS,1.08,7,bRitiS,6,bri-bRi.tish-tiS,1.0 1.0,1.0,55 1,1
brièvement,br-iè-ve-ment,bRi-je-v°-m@,6.22,10,bRijev°m@,9,br-bRi.iè-je.ve-v°.ment-m@,1.0 1.0 0.80676 1.0,0.80676,1 2 207 304,1
brièveté,bri-è-ve-té,bRi-e-v°-te,1.35,8,bRiev°te,8,bri-bRi.è-e.ve-v°.té-te,1.0 1.0 0.80676 1.0,0.80676,55 9 207 473,9
broc,broc,bRo,4.53,4,bRo,3,broc-bRo,1.0,1.0,1,1
brocante,bro-can-te,bRo-k@-t°,1.42,8,bRok@t°,7,bro-bRo.can-k@.te-t°,0.90909 1.0 0.88848,0.88848,22 28 538,22
brocanteur,bro-can-teur,bRo-k@-t2R,9.26,10,bRok@t2R,8,bro-bRo.can-k@.teur-t2R,0.90909 1.0 1.0,0.90909,22 28 113,22
brocard,bro-card,bRo-kaR,1.01,7,bRokaR,6,bro-bRo.card-kaR,0.90909 1.0,0.90909,22 8,8
brocart,bro-cart,bRo-kaR,3.99,7,bRokaR,6,bro-bRo.cart-kaR,0.90909 1.0,0.90909,22 3,3
broche,bro-che,bRo-S°,5.74,6,bRoS°,5,bro-bRo.che-S°,0.90909 0.93191,0.90909,22 235,22
brocher,bro-cher,bRo-Se,1.08,7,bRoSe,5,bro-bRo.cher-Se,0.90909 0.94828,0.90909,22 116,22
brochet,bro-chet,bRo-Se,3.99,7,bRoSe,5,bro-bRo.chet-Se,0.90909 1.0,0.90909,22 13,13
brochette,bro-che-tte,bRo-Se-t°,3.04,9,bRoSet°,7,bro-bRo.che-Se.tte-t°,0.90909 0.06383 0.99149,0.06383,22 235 235,22
brochure,bro-chu-re,bRo-Sy-R°,3.99,8,bRoSyR°,7,bro-bRo.chu-Sy.re-R°,0.90909 1.0 0.95577,0.90909,22 19 927,19
brodequin,bro-de-quin,bRo-d°-k5,4.12,9,bRod°k5,7,bro-bRo.de-d°.quin-k5,0.90909 0.93114 1.0,0.90909,22 334 20,20
broder,bro-der,bRo-de,14.86,6,bRode,5,bro-bRo.der-de,0.90909 0.91367,0.90909,22 139,22
broderie,bro-de-rie,bRo-d°-Ri,6.22,8,bRod°Ri,7,bro-bRo.de-d°.rie-Ri,0.90909 0.93114 0.9918,0.90909,22 334 122,22
brodé,bro-dé,bRo-de,8.11,5,bRode,5,bro-bRo.dé-de,0.90909 1.0,0.90909,22 636,22
bronche,bron-che,bR&-S°,2.23,7,bR&S°,5,bron-bR&.che-S°,1.0 0.93191,0.93191,7 235,7
broncher,bron-cher,bR&-Se,12.84,8,bR&Se,5,bron-bR&.cher-Se,1.0 0.94828,0.94828,7 116,7
bronchite,bron-chi-te,bR&-Si-t°,2.36,9,bR&Sit°,7,bron-bR&.chi-Si.te-t°,1.0 0.98592 0.88848,0.88848,7 71 538,7
bronzage,bron-za-ge,bR&-za-Z°,1.62,8,bR&zaZ°,7,bron-bR&.za-za.ge-Z°,1.0 1.0 0.97749,0.97749,7 8 311,7
bronze,bron-ze,bR&-z°,19.26,6,bR&z°,5,bron-bR&.ze-z°,1.0 0.76,0.76,7 25,7
bronzer,bron-zer,bR&-ze,5.74,7,bR&ze,5,bron-bR&.zer-ze,1.0 0.4,0.4,7 5,5
bronzé,bron-zé,bR&-ze,6.69,6,bR&ze,5,bron-bR&.zé-ze,1.0 1.0,1.0,7 10,7
broquille,bro-qui-lle,bRo-ki-j°,1.15,9,bRokij°,7,bro-bRo.qui-ki.lle-j°,0.90909 0.96429 0.30303,0.30303,22 56 165,22
brosse,bro-sse,bRo-s°,19.59,6,bRos°,5,bro-bRo.sse-s°,0.90909 0.89503,0.89503,22 181,22
brosser,bro-sser,bRo-se,10.14,7,bRose,5,bro-bRo.sser-se,0.90909 0.93913,0.90909,22 115,22
brouette,brou-ette,bRu-et°,6.76,8,bRuet°,6,brou-bRu.ette-et°,1.0 1.0,1.0,17 1,1
brouhaha,brou-ha-ha,bRu-a-a,9.66,8,bRuaa,5,brou-bRu.ha-a.ha-a,1.0 1.0 1.0,1.0,17 78 78,17
brouillage,brou-illa-ge,bRu-ja-Z°,0.95,10,bRujaZ°,7,brou-bRu.illa-ja.ge-Z°,1.0 1.0 0.97749,0.97749,17 8 311,8
brouillard,brou-illard,bRu-jaR,35.2,10,bRujaR,6,brou-bRu.illard-jaR,1.0 1.0,1.0,17 6,6
brouille,brou-ille,bRu-j°,2.5,8,bRuj°,5,brou-bRu.ille-j°,1.0 0.89024,0.89024,17 82,17
brouiller,brou-iller,bRu-je,24.12,9,bRuje,5,brou-bRu.iller-je,1.0 1.0,1.0,17 48,17
brouillon,brou-illon,bRu-j&,4.93,9,bRuj&,5,brou-bRu.illon-j&,1.0 1.0,1.0,17 11,11
brouillé,brou-illé,bRu-je,4.32,8,bRuje,5,brou-bRu.illé-je,1.0 1.0,1.0,17 22,17
brousse,brou-sse,bRu-s°,11.01,7,bRus°,5,brou-bRu.sse-s°,1.0 0.89503,0.89503,17 181,17
brouter,brou-ter,bRu-te,6.01,7,bRute,5,brou-bRu.ter-te,1.0 0.87168,0.87168,17 452,17
broutille,brou-ti-lle,bRu-ti-j°,1.82,9,bRutij°,7,brou-bRu.ti-ti.lle-j°,1.0 1.0 0.30303,0.30303,17 454 165,17
broyer,bro-yer,bRwa-je,8.85,6,bRwaje,6,bro-bRwa.yer-je,0.09091 1.0,0.09091,22 58,22
broyé,bro-yé,bRwa-je,1.82,5,bRwaje,6,bro-bRwa.yé-je,0.09091 1.0,0.09091,22 11,11
brrr,brrr,bR,1.82,4,bR,2,brrr-bR,1.0,1.0,1,1
bru,bru,bRy,3.24,3,bRy,3,bru-bRy,0.96296,0.96296,27,27
bruine,brui-ne,bR8i-n°,2.77,6,bR8in°,6,brui-bR8i.ne-n°,1.0 0.90145,0.90145,5 345,5
bruiner,brui-ner,bR8i-ne,0.95,7,bR8ine,6,brui-bR8i.ner-ne,1.0 0.92486,0.92486,5 173,5
bruire,brui-re,bR8i-R°,2.97,6,bR8iR°,6,brui-bR8i.re-R°,1.0 0.95577,0.95577,5 927,5
bruissant,brui-ssant,bR8i-s@,4.66,9,bR8is@,6,brui-bR8i.ssant-s@,1.0 1.0,1.0,5 33,5
bruit,bruit,bR8i,281.49,5,bR8i,4,bruit-bR8i,1.0,1.0,1,1
brulant,bru-lant,bRy-l@,36.28,7,bRyl@,5,bru-bRy.lant-l@,0.96296 1.0,0.96296,27 31,27
bruler,bru-ler,bRy-le,104.73,6,bRyle,5,bru-bRy.ler-le,0.96296 0.97396,0.96296,27 192,27
brulot,bru-lot,bRy-lo,1.35,6,bRylo,5,bru-bRy.lot-lo,0.96296 1.0,0.96296,27 19,19
brulure,bru-lu-re,bRy-ly-R°,12.5,7,bRylyR°,7,bru-bRy.lu-ly.re-R°,0.96296 1.0 0.95577,0.95577,27 113 927,27
brulé,bru-lé,bRy-le,4.12,5,bRyle,5,bru-bRy.lé-le,0.96296 1.0,0.96296,27 150,27
brume,bru-me,bRy-m°,42.57,5,bRym°,5,bru-bRy.me-m°,0.96296 0.89423,0.89423,27 312,27
brumeux,bru-meux,bRy-m2,6.89,7,bRym2,5,bru-bRy.meux-m2,0.96296 1.0,0.96296,27 6,6
brun,brun,bR5,9.05,4,bR5,3,brun-bR5,1.0,1.0,2,2
brunatre,bru-na-tre,bRy-na-tR°,5.2,8,bRynatR°,8,bru-bRy.na-na.tre-tR°,0.96296 1.0 0.9434,0.9434,27 200 159,27
brune,bru-ne,bRy-n°,7.77,5,bRyn°,5,bru-bRy.ne-n°,0.96296 0.90145,0.90145,27 345,27
bruni,bru-ni,bRy-ni,1.96,5,bRyni,5,bru-bRy.ni-ni,0.96296 1.0,0.96296,27 230,27
brunir,bru-nir,bRy-niR,3.24,6,bRyniR,6,bru-bRy.nir-niR,0.96296 1.0,0.96296,27 49,27
brusque,brus-que,bRys-k°,35.34,7,bRysk°,6,brus-bRys.que-k°,1.0 0.92717,0.92717,3 357,3
brusquer,brus-quer,bRys-ke,4.05,8,bRyske,6,brus-bRys.quer-ke,1.0 1.0,1.0,3 90,3
brusquerie,brus-que-rie,bRys-k°-Ri,4.32,10,bRysk°Ri,8,brus-bRys.que-k°.rie-Ri,1.0 0.92717 0.9918,0.92717,3 357 122,3
brut,brut,bRyt,8.65,4,bRyt,4,brut-bRyt,1.0,1.0,1,1
brutal,bru-tal,bRy-tal,35.34,6,bRytal,6,bru-bRy.tal-tal,0.96296 1.0,0.96296,27 29,27
brutaliser,bru-ta-li-ser,bRy-ta-li-ze,1.15,10,bRytalize,9,bru-bRy.ta-ta.li-li.ser-ze,0.96296 0.9908 1.0 0.67281,0.67281,27 326 336 217,27
brutalité,bru-ta-li-té,bRy-ta-li-te,11.15,9,bRytalite,9,bru-bRy.ta-ta.li-li.té-te,0.96296 0.9908 1.0 1.0,0.96296,27 326 336 473,27
brute,bru-te,bRy-t°,12.09,5,bRyt°,5,bru-bRy.te-t°,0.96296 0.88848,0.88848,27 538,27
bruyamment,bru-ya-mment,bRy-ja-m@,10.54,10,bRyjam@,7,bru-bRy.ya-ja.mment-m@,0.96296 1.0 1.0,0.96296,27 18 19,18
bruyant,bru-yant,bR8i-j@,16.82,7,bR8ij@,6,bru-bR8i.yant-j@,0.03704 1.0,0.03704,27 19,19
bruyère,bru-yè-re,bRy-je-R°,6.01,7,bRyjeR°,7,bru-bRy.yè-je.re-R°,0.96296 1.0 0.95577,0.95577,27 1 927,1
brèche,brè-che,bRe-S°,9.59,6,bReS°,5,brè-bRe.che-S°,1.0 0.93191,0.93191,3 235,3
brème,brè-me,bRe-m°,1.49,5,bRem°,5,brè-bRe.me-m°,1.0 0.89423,0.89423,3 312,3
brève,brè-ve,bRe-v°,1.42,5,bRev°,5,brè-bRe.ve-v°,1.0 0.80676,0.80676,3 207,3
brésilien,bré-si-lien,bRe-zi-lj5,4.32,9,bRezilj5,8,bré-bRe.si-zi.lien-lj5,1.0 0.56915 1.0,0.56915,11 188 13,11
bréviaire,bré-viai-re,bRe-vje-R°,1.69,9,bRevjeR°,8,bré-bRe.viai-vje.re-R°,1.0 1.0 0.95577,0.95577,11 1 927,1
bu,bu,by,4.86,2,by,2,bu-by,1.0,1.0,80,80
buanderie,bu-an-de-rie,by-@-d°-Ri,1.69,9,by@d°Ri,7,bu-by.an-@.de-d°.rie-Ri,1.0 0.9863 0.93114 0.9918,0.93114,80 73 334 122,73
buche,bu-che,by-S°,13.18,5,byS°,4,bu-by.che-S°,1.0 0.93191,0.93191,80 235,80
bucher,bu-cher,by-Se,9.59,6,bySe,4,bu-by.cher-Se,1.0 0.94828,0.94828,80 116,80
bucheron,bu-che-ron,by-S°-R&,8.24,8,byS°R&,6,bu-by.che-S°.ron-R&,1.0 0.93191 1.0,0.93191,80 235 50,50
bucolique,bu-co-li-que,by-ko-li-k°,1.22,9,bykolik°,8,bu-by.co-ko.li-li.que-k°,1.0 1.0 1.0 0.92717,0.92717,80 301 336 357,80
