,word,freq,len,,
213,accablaient,1.42,11,,
214,accablait,3.11,9,,
215,accablant,2.16,9,,
216,accablante,2.43,10,,
217,accablat,0.07,8,,
218,accable,9.59,7,,
219,accablee,3.31,8,,
220,accablement,3.58,11,,
221,accablent,0.74,9,,
222,accabler,3.58,8,,
223,accables,1.9,8,,
224,accalmie,2.97,8,,
225,accedait,2.7,8,,
226,accede,2.16,6,,
227,acceder,5.81,7,,
228,accelera,1.96,8,,
229,accelerait,2.64,10,,
230,accelerant,1.08,10,,
231,accelerateur,3.52,12,,
232,acceleration,2.64,12,,
233,accelere,7.36,8,,
234,acceleree,2.23,9,,
235,accelerer,2.91,9,,
236,accent,38.31,6,,
237,accents,7.23,7,,
238,accentua,1.96,8,,
239,accentuai,0.07,9,,
240,accentuaient,1.22,12,,
241,accentuait,4.05,10,,
242,accentuant,1.76,10,,
243,accentuat,0.07,9,,
244,accentuation,0.14,12,,
245,accentue,1.76,8,,
246,accentuer,2.03,9,,
247,accepta,10.54,7,,
248,acceptable,3.51,10,,
249,acceptai,3.38,8,,
250,acceptaient,2.91,11,,
251,acceptais,3.99,9,,
252,acceptait,10,9,,
253,acceptant,3.11,9,,
254,acceptat,1.42,8,,
255,acceptation,4.19,11,,
256,accepte,45.81,7,,
257,acceptee,3.24,8,,
258,acceptent,3.24,9,,
259,accepter,36.62,8,,
260,acceptera,1.96,9,,
261,accepterai,1.22,10,,
262,accepterais,1.96,11,,
263,accepterait,4.05,11,,
264,accepterez,0.2,10,,
265,accepteriez,0.54,11,,
266,accepteront,0.2,11,,
267,acceptes,1.28,8,,
268,acceptez,2.16,8,,
269,acceptiez,0.54,9,,
270,acceptions,1.55,10,,
271,acceptons,0.95,9,,
272,acces,23.78,5,,
273,accessible,4.12,10,,
274,accessibles,1.62,11,,
275,accession,1.22,9,,
276,accessoire,2.09,10,,
277,accessoires,8.04,11,,
278,accident,36.62,8,,
279,accidentel,1.42,10,,
280,accidentelle,1.28,12,,
281,accidentes,0.34,10,,
282,accidents,8.18,9,,
283,acclamations,4.39,12,,
284,acclame,1.28,7,,
285,acclamer,1.01,8,,
286,acclimate,0.2,9,,
287,acclimatement,0.14,13,,
288,acclimater,1.08,10,,
289,accolade,1.69,8,,
290,accolent,0.07,8,,
291,accommodaient,1.15,13,,
292,accommodait,2.23,11,,
293,accommode,1.96,9,,
294,accommoder,4.26,10,,
295,accompagna,9.46,10,,
296,accompagnai,1.28,11,,
297,accompagnaient,4.73,14,,
298,accompagnais,1.76,12,,
299,accompagnait,15.68,12,,
300,accompagnant,5.27,12,,
301,accompagne,37.24,10,,
302,accompagnee,10.13,11,,
303,accompagnees,2.1,12,,
304,accompagnement,2.5,14,,
305,accompagnent,4.05,12,,
306,accompagner,22.23,11,,
307,accompagnera,0.61,12,,
308,accompagnerai,0.61,13,,
309,accompagnerait,1.22,14,,
310,accompagnes,5.61,11,,
311,accompagnez,0.95,11,,
312,accompli,15.06,8,,
313,accomplie,5.61,9,,
314,accomplies,1.69,10,,
315,accomplir,22.23,9,,
316,accomplis,4.32,9,,
317,accomplissait,3.78,13,,
318,accomplissant,2.36,13,,
319,accomplisse,0.95,11,,
320,accomplissement,4.26,15,,
321,accomplit,4.73,9,,
322,accord,124.66,6,,
323,accorda,2.97,7,,
324,accordaient,2.43,11,,
325,accordais,1.55,9,,
326,accordait,9.66,9,,
327,accordant,1.76,9,,
328,accorde,19.6,7,,
329,accordee,5.13,8,,
330,accordees,1.36,9,,
331,accordent,2.5,9,,
332,accordeon,4.8,9,,
333,accordeoniste,1.42,13,,
334,accorder,14.73,8,,
335,accordes,1.76,8,,
336,accordez,0.81,8,,
337,accords,11.49,7,,
338,accoster,1.35,8,,
339,accotement,1.08,10,,
340,accouche,2.3,8,,
341,accouchement,3.24,12,,
342,accoucher,3.51,9,,
343,accouda,2.97,7,,
344,accoudaient,0.27,11,,
345,accoude,6.49,7,,
346,accoudee,2.57,8,,
347,accouder,1.42,8,,
348,accoudes,1.62,8,,
349,accoudions,0.07,10,,
350,accoudoir,2.23,9,,
351,accoudoirs,2.97,10,,
352,accoudons,0.07,9,,
353,accouplement,1.69,12,,
354,accoupler,0.74,9,,
355,accouplerait,0.07,12,,
356,accouraient,1.49,11,,
357,accourait,2.43,9,,
358,accourir,2.84,8,,
359,accourt,2.57,7,,
360,accouru,1.82,7,,
361,accourue,0.47,8,,
362,accourus,1.69,8,,
363,accourut,1.96,8,,
364,accoutrement,2.09,12,,
365,accoutumance,1.28,12,,
366,accoutume,3.99,9,,
367,accoutumee,5.61,10,,
368,accoutumer,1.08,10,,
369,accoutumes,1.49,10,,
370,accredites,0.21,10,,
371,accro,0.61,5,,
372,accroc,2.57,6,,
373,accrocha,5.68,8,,
374,accrochage,0.88,10,,
375,accrochai,1.01,9,,
376,accrochaient,4.73,12,,
377,accrochais,1.01,10,,
378,accrochait,10.34,10,,
379,accrochant,4.79,10,,
380,accroche,30.88,8,,
381,accrochee,10.81,9,,
382,accrochees,6.08,10,,
383,accrochent,2.64,10,,
384,accrocher,14.32,9,,
385,accroches,9.46,9,,
386,accrochez,0.27,9,,
387,accroissement,1.28,13,,
388,accroit,1.76,7,,
389,accroitre,3.99,9,,
390,accroupi,11.48,8,,
391,accroupie,4.86,9,,
392,accroupir,2.7,9,,
393,accroupis,5.81,9,,
394,accroupissait,0.07,13,,
395,accroupissant,0.34,13,,
396,accroupissons,0.14,13,,
397,accroupit,5.27,9,,
398,accru,1.76,5,,
399,accrue,3.24,6,,
400,accrus,0.14,6,,
401,accueil,16.22,7,,
402,accueillaient,1.08,13,,
403,accueillait,5.88,11,,
404,accueillant,3.17,11,,
405,accueillante,2.09,12,,
406,accueille,6.08,9,,
407,accueillent,1.76,11,,
408,accueillera,0.47,11,,
409,accueillerait,0.74,13,,
410,accueillez,0.14,10,,
411,accueilli,7.91,9,,
412,accueillie,2.23,10,,
413,accueillies,0.61,11,,
414,accueillir,13.99,10,,
415,accueillirent,1.49,13,,
416,accueillis,3.18,10,,
417,accueillit,6.89,10,,
418,accueillons,0.07,11,,
419,acculait,0.27,8,,
420,accule,2.1,6,,
421,accumulaient,1.76,12,,
422,accumulait,2.57,10,,
423,accumulant,1.55,10,,
424,accumulation,3.72,12,,
425,accumule,4.53,8,,
426,accumulee,3.31,9,,
427,accumulees,3.04,10,,
428,accumuler,3.72,9,,
429,accumules,2.5,9,,
430,accusa,3.18,6,,
431,accusaient,2.09,10,,
432,accusait,6.55,8,,
433,accusant,2.64,8,,
434,accusateurs,1.28,11,,
435,accusation,5.74,10,,
436,accusations,3.11,11,,
437,accuse,19.11,6,,
438,accusee,1.75,7,,
439,accusent,1.22,8,,
440,accuser,7.03,7,,
441,accusera,0.34,8,,
442,accuses,6.15,7,,
443,accusez,0.88,7,,
444,acerbe,1.08,6,,
445,acetylene,1.96,9,,
446,acharna,1.22,7,,
447,acharnai,0.07,8,,
448,acharnaient,1.62,11,,
449,acharnait,3.24,9,,
450,acharnant,1.49,9,,
451,acharne,9.33,7,,
452,acharnee,3.45,8,,
453,acharnement,8.11,11,,
454,acharnements,0.14,12,,
455,acharnent,1.08,9,,
456,acharner,1.62,8,,
457,acharnes,2.63,8,,
458,acharnez,0.07,8,,
459,achat,10.95,5,,
460,achats,6.01,6,,
461,achemina,0.41,8,,
462,acheminai,0.14,9,,
463,acheminames,0.07,11,,
464,acheminee,0.14,9,,
465,acheminer,1.22,9,,
466,acheta,7.09,6,,
467,achetai,2.23,7,,
468,achetaient,2.16,10,,
469,achetais,1.49,8,,
470,achetait,6.22,8,,
471,achetant,1.42,8,,
472,achete,43.25,6,,
473,achetee,5.88,7,,
474,achetees,2.84,8,,
475,achetent,2.7,8,,
476,acheter,57.09,7,,
477,achetera,0.74,8,,
478,acheterai,2.3,9,,
479,acheterais,0.74,10,,
480,acheterait,1.22,10,,
481,acheteras,0.61,9,,
482,achetes,4.73,7,,
483,acheteur,2.97,8,,
484,acheteurs,2.16,9,,
485,acheteuse,0.14,9,,
486,achetez,1.22,7,,
487,achetons,0.47,8,,
488,acheva,11.69,6,,
489,achevaient,4.19,10,,
490,achevait,12.64,8,,
491,achevant,2.57,8,,
492,acheve,26.7,6,,
493,achevee,5.27,7,,
494,achevement,1.76,10,,
495,achevent,2.7,8,,
496,achever,15,7,,
497,acheverent,1.22,10,,
498,acheveront,0.2,10,,
499,achevez,0.07,7,,
500,achevions,0.41,9,,
501,acide,10.74,5,,
502,acides,2.37,6,,
503,acier,33.38,5,,
504,aciers,1.08,6,,
505,acne,0.81,4,,
506,acolyte,0.61,7,,
507,acolytes,1.35,8,,
508,acompte,1.01,7,,
509,acoustique,1.08,10,,
510,acquerir,7.43,8,,
511,acquiert,1.42,8,,
512,acquiesca,4.59,9,,
513,acquiescait,1.15,11,,
514,acquiesce,3.44,9,,
515,acquiescement,2.36,13,,
516,acquiescer,1.49,10,,
517,acquis,17.57,6,,
518,acquise,5.88,7,,
519,acquises,2.03,8,,
520,acquisition,2.84,11,,
521,acquit,2.3,6,,
522,acquitte,1.55,8,,
523,acquitter,1.82,9,,
524,acre,10.14,4,,
525,acres,1.35,5,,
526,acrobate,2.57,8,,
527,acrobates,1.55,9,,
528,acrobaties,1.76,10,,
529,acte,35.88,4,,
530,actes,21.42,5,,
531,acteur,15.47,6,,
532,acteurs,12.3,7,,
533,actif,5.07,5,,
534,actifs,1.35,6,,
535,action,72.91,6,,
536,actionnaire,0.27,11,,
537,actionnaires,0.47,12,,
538,actionne,0.74,8,,
539,actionner,1.22,9,,
540,actions,14.53,7,,
541,activait,1.08,8,,
542,activation,0.07,10,,
543,active,8.79,6,,
544,activement,3.51,10,,
545,activer,1.35,7,,
546,actives,1.55,7,,
547,activite,25.81,8,,
548,activites,13.11,9,,
549,actrice,7.57,7,,
550,actrices,2.97,8,,
551,actualite,5.68,9,,
552,actualites,3.04,10,,
553,actuel,6.49,6,,
554,actuelle,8.58,8,,
555,actuellement,16.69,12,,
556,actuelles,2.64,9,,
557,actuels,2.97,7,,
558,acuite,3.18,6,,
559,acupuncteur,0.07,11,,
560,adage,0.54,5,,
561,adaptation,4.46,10,,
562,adapte,3.58,6,,
563,adaptee,1.42,7,,
564,adaptees,0.61,8,,
565,adapter,3.72,7,,
566,addition,7.36,8,,
567,additions,2.16,9,,
568,adepte,0.88,6,,
569,adeptes,1.96,7,,
570,adequat,1.82,7,,
571,adequate,1.69,8,,
572,adherent,0.21,8,,
573,adherer,1.82,7,,
574,adhesion,6.15,8,,
575,adieu,34.86,5,,
576,adieux,10.54,6,,
577,adjacent,0.14,8,,
578,adjectif,2.03,8,,
579,adjectifs,1.55,9,,
580,adjoignait,0.07,10,,
581,adjoignant,0.07,10,,
582,adjoignit,0.07,9,,
583,adjoindre,0.68,9,,
584,adjoint,7.16,7,,
585,adjoints,1.63,8,,
586,adjudant,21.15,8,,
587,adjuge,0.34,6,,
588,adjurerait,0.07,10,,
589,admet,3.45,5,,
590,admets,3.92,6,,
591,admettaient,1.01,11,,
592,admettait,3.78,9,,
593,admettant,3.31,9,,
594,admettez,0.47,8,,
595,admettons,2.7,9,,
596,admettre,19.73,8,,
597,administrateur,3.78,14,,
598,administratif,3.17,13,,
599,administratifs,1.76,14,,
600,administration,23.85,14,,
601,administrations,2.57,15,,
602,administrative,4.33,14,,
603,administratives,2.23,15,,
604,administre,1.36,10,,
605,administree,1.83,11,,
606,administrer,2.84,11,,
607,admira,3.04,6,,
608,admirable,23.92,9,,
609,admirablement,4.73,13,,
610,admirables,7.64,10,,
611,admiraient,1.82,10,,
612,admirais,6.35,8,,
613,admirait,11.49,8,,
614,admirant,1.82,8,,
615,admirateur,1.48,10,,
616,admirateurs,2.98,11,,
617,admiratif,2.57,9,,
618,admiratifs,1.49,10,,
619,admiration,32.3,10,,
620,admirative,2.3,10,,
621,admire,17.5,6,,
622,admiree,1.15,7,,
623,admirent,1.02,8,,
624,admirer,17.64,7,,
625,admirez,1.42,7,,
626,admis,13.04,5,,
627,admise,2.44,6,,
628,admission,1.82,9,,
629,admit,2.84,5,,
630,ado,0.2,3,,
631,adolescence,13.72,11,,
632,adolescent,12.9,10,,
633,adolescente,9.87,11,,
634,adolescentes,2.16,12,,
635,adolescents,7.7,11,,
636,adonner,1.08,7,,
637,adopta,1.49,6,,
638,adoptait,1.89,8,,
639,adopte,10.67,6,,
640,adoptee,2.98,7,,
641,adopter,9.19,7,,
642,adoptif,1.96,7,,
643,adoption,2.84,8,,
644,adoptions,0.27,9,,
645,adoptive,1.15,8,,
646,adorable,6.28,8,,
647,adorables,1.69,9,,
648,adoraient,2.09,9,,
649,adorais,2.3,7,,
650,adorait,9.46,7,,
651,adorante,0.07,8,,
652,adorants,0.07,8,,
653,adorateurs,1.42,10,,
654,adoration,4.86,9,,
655,adore,19.87,5,,
656,adoree,1.82,6,,
657,adorent,2.91,7,,
658,adorer,3.31,6,,
659,adorerais,0.07,9,,
660,adorerait,0.07,9,,
661,adores,0.27,6,,
662,adorez,0.14,6,,
663,adorons,0.54,7,,
664,adossa,2.23,6,,
665,adosse,6.56,6,,
666,adossee,2.78,7,,
667,adossees,0.34,8,,
668,adosser,1.35,7,,
669,adosses,1.63,7,,
670,adouci,1.28,6,,
671,adoucie,1.08,7,,
672,adoucir,3.58,7,,
673,adoucissait,1.35,11,,
674,adoucit,2.09,7,,
675,adrenaline,0.68,10,,
676,adressa,11.15,7,,
677,adressai,2.57,8,,
678,adressaient,3.04,11,,
679,adressais,1.49,9,,
680,adressait,14.12,9,,
681,adressames,0.14,10,,
682,adressant,9.39,9,,
683,adresse,67.7,7,,
684,adressee,5.2,8,,
685,adressees,2.09,9,,
686,adressent,1.55,9,,
687,adresser,17.91,8,,
688,adresses,6.15,8,,
689,adressez,0.47,8,,
690,adroit,3.51,6,,
691,adroitement,1.96,11,,
692,adulation,0.61,9,,
693,adulee,0.47,6,,
694,adules,0.34,6,,
695,adulte,18.59,6,,
696,adultere,4.26,8,,
697,adultes,20.07,7,,
698,advenait,0.74,8,,
699,advenir,1.15,7,,
700,advenu,1.62,6,,
701,advenues,0.07,8,,
702,adversaire,15.95,10,,
703,adversaires,9.19,11,,
704,adverse,2.5,7,,
705,adverses,1.82,8,,
706,adversite,2.09,9,,
707,adviendra,0.68,9,,
708,adviendrait,0.68,11,,
709,advienne,1.01,8,,
710,advient,1.49,7,,
711,advint,1.35,6,,
712,aeration,1.35,8,,
713,aeree,1.02,5,,
714,aerer,2.03,5,,
715,aerien,6.42,6,,
716,aerienne,6.49,8,,
717,aeriennes,6.15,9,,
718,aeriens,2.43,7,,
719,aerobic,0.07,7,,
720,aerodrome,3.31,9,,
721,aerogare,2.16,8,,
722,aeronavale,0.27,10,,
723,aeroplane,1.15,9,,
724,aeroport,7.91,8,,
725,aeroportee,0.07,10,,
726,aeroports,1.08,9,,
727,affabilite,1.22,10,,
728,affable,3.11,7,,
729,affables,0.68,8,,
730,affabulation,1.01,12,,
731,affabule,0.14,8,,
732,affaibli,2.71,8,,
733,affaiblie,1.22,9,,
734,affaiblir,1.35,9,,
735,affaiblis,0.95,9,,
736,affaiblissait,1.01,13,,
737,affaiblissant,0.61,13,,
738,affaiblissement,1.49,15,,
739,affaiblit,1.22,9,,
740,affairaient,2.43,11,,
741,affairais,0.07,9,,
742,affairait,2.7,9,,
743,affaire,154.73,7,,
744,affairees,0.48,9,,
745,affairent,1.42,9,,
746,affairer,1.42,8,,
747,affaires,103.04,8,,
748,affairons,0.07,9,,
749,affaissa,1.08,8,,
750,affaissait,0.74,10,,
751,affaisse,3.99,8,,
752,affaissee,1.15,9,,
753,affaissement,1.35,12,,
754,affaissent,1.08,10,,
755,affaisserait,0.07,12,,
756,affala,2.09,6,,
757,affale,5.27,6,,
758,affalee,1.01,7,,
759,affaler,1.89,7,,
760,affales,1.08,7,,
761,affame,3.71,6,,
762,affamee,2.7,7,,
763,affames,5.48,7,,
764,affecta,1.28,7,,
765,affectaient,1.62,11,,
766,affectait,4.12,9,,
767,affectant,2.36,9,,
768,affectation,5,11,,
769,affecte,8.71,7,,
770,affectee,2.3,8,,
771,affectent,1.01,9,,
772,affecter,2.23,8,,
773,affectera,0.14,9,,
774,affectes,1.49,8,,
775,affectif,1.28,8,,
776,affection,29.53,9,,
777,affectionnait,1.49,13,,
778,affectionnant,0.14,13,,
779,affectionne,1.01,11,,
780,affections,1.76,10,,
781,affective,1.08,9,,
782,affectueuse,5.41,11,,
783,affectueusement,3.38,15,,
784,affectueuses,1.22,12,,
785,affectueux,7.97,10,,
786,affermir,1.69,8,,
787,affermissait,0.34,12,,
788,affermit,1.49,8,,
789,affichage,1.42,9,,
790,affichaient,1.35,11,,
791,affichait,4.93,9,,
792,affichant,1.56,9,,
793,affiche,11.42,7,,
794,afficher,3.78,8,,
795,affiches,11.56,8,,
796,affichette,1.08,10,,
797,affinite,2.16,8,,
798,affinites,2.3,9,,
799,affirma,10.07,7,,
800,affirmai,0.81,8,,
801,affirmaient,2.36,11,,
802,affirmais,1.22,9,,
803,affirmait,11.08,9,,
804,affirmant,3.92,9,,
805,affirmatif,1.35,10,,
806,affirmation,4.66,11,,
807,affirmations,1.76,12,,
808,affirmative,1.02,11,,
809,affirme,14.52,7,,
810,affirment,2.7,9,,
811,affirmer,13.58,8,,
812,affirmerai,0.07,10,,
813,affirmerent,0.81,11,,
814,affirmions,0.14,10,,
815,affirmons,0.27,9,,
816,affleurait,1.08,10,,
817,affleure,1.55,8,,
818,affleurer,1.08,9,,
819,affliction,2.5,10,,
820,afflictions,0.27,11,,
821,afflige,3.25,7,,
822,affligeant,0.88,10,,
823,affluaient,1.69,10,,
824,affluant,0.27,8,,
825,affluence,2.64,9,,
826,affluent,2.23,8,,
827,affluer,1.35,7,,
828,affluerent,0.81,10,,
829,afflux,2.3,6,,
830,affola,2.16,6,,
831,affolait,2.7,8,,
832,affolant,1.82,8,,
833,affole,11.22,6,,
834,affolee,5.21,7,,
835,affolement,5.34,10,,
836,affoler,2.5,7,,
837,affoles,3.85,7,,
838,affolez,0.27,7,,
839,affranchi,3.45,9,,
840,affranchie,1.62,10,,
841,affranchir,5.2,10,,
842,affranchit,1.15,10,,
843,affres,2.36,6,,
844,affreuse,12.64,8,,
845,affreusement,5.61,12,,
846,affreuses,4.59,9,,
847,affreux,26.01,7,,
848,affriander,0.07,10,,
849,affront,2.77,7,,
850,affronta,0.54,8,,
851,affrontai,0.07,9,,
852,affrontaient,1.62,12,,
853,affronte,1.62,8,,
854,affrontement,2.43,12,,
855,affrontements,1.62,13,,
856,affrontent,1.49,10,,
857,affronter,13.38,9,,
858,affrontera,0.07,10,,
859,affrontiez,0.07,10,,
860,affronts,1.08,8,,
861,affublait,0.41,9,,
862,affuble,2.23,7,,
863,affubles,1.42,8,,
864,affut,10.81,5,,
865,affutant,0.2,8,,
866,affuts,0.54,6,,
867,africain,5.07,8,,
868,africaine,4.66,9,,
869,africaines,1.89,10,,
870,africains,4.53,9,,
871,agaca,1.22,5,,
872,agacaient,1.96,9,,
873,agacait,6.42,7,,
874,agacant,2.84,7,,
875,agacante,1.22,8,,
876,agace,12.24,5,,
877,agacee,3.11,6,,
878,agacement,7.3,9,,
879,agacent,1.08,7,,
880,agacer,2.77,6,,
881,age,205.74,3,,
882,agee,8.92,4,,
883,agees,1.69,5,,
884,agence,14.32,6,,
885,agencement,1.69,10,,
886,agences,3.65,7,,
887,agenda,5.41,6,,
888,agenouilla,5.54,10,,
889,agenouillais,0.27,12,,
890,agenouillait,1.15,12,,
891,agenouille,6.56,10,,
892,agenouillee,2.77,11,,
893,agenouiller,3.72,11,,
894,agenouillerent,0.41,14,,
895,agenouilles,1.96,11,,
896,agenouillons,0.07,12,,
897,agent,22.5,5,,
898,agents,16.69,6,,
899,ages,17.9,4,,
900,agglomeraient,0.14,13,,
901,agglomeration,1.62,13,,
902,agglomerations,0.54,14,,
903,agglomerees,0.27,11,,
904,agglomeres,0.62,10,,
905,agglutinent,1.01,11,,
906,agglutiner,0.27,10,,
907,agglutines,1.89,10,,
908,aggravait,2.43,9,,
909,aggrave,1.76,7,,
910,aggravee,1.35,8,,
911,aggraver,2.43,8,,
912,agi,13.31,3,,
913,agile,3.31,5,,
914,agiles,1.69,6,,
915,agilite,3.31,7,,
916,agir,29.66,4,,
917,agira,1.08,5,,
918,agirai,0.34,6,,
919,agirait,3.85,7,,
920,agis,0.81,4,,
921,agissaient,1.49,10,,
922,agissait,80.47,8,,
923,agissant,4.46,8,,
924,agisse,4.53,6,,
925,agissements,0.95,11,,
926,agissent,1.69,8,,
927,agissez,0.74,7,,
928,agissons,0.61,8,,
929,agit,74.8,4,,
930,agita,6.76,5,,
931,agitaient,9.93,9,,
932,agitait,17.09,7,,
933,agitant,11.36,7,,
934,agitateur,0.68,9,,
935,agitateurs,1.22,10,,
936,agitation,20.07,9,,
937,agitations,1.28,10,,
938,agite,22.03,5,,
939,agitee,7.3,6,,
940,agitees,3.05,7,,
941,agitent,5.54,7,,
942,agiter,11.89,6,,
943,agiterent,1.22,9,,
944,agites,4.12,6,,
945,agneau,5.95,6,,
946,agneaux,2.84,7,,
947,agnostique,0.48,10,,
948,agonie,13.45,6,,
949,agonies,1.22,7,,
950,agonisait,1.62,9,,
951,agonisant,3.24,9,,
952,agonisante,1.29,10,,
953,agonisants,1.42,10,,
954,agonise,1.08,7,,
955,agoniser,1.01,8,,
956,agoraphobie,0.07,11,,
957,agrafe,0.41,6,,
958,agrafes,1.55,7,,
959,agrandi,1.96,7,,
960,agrandie,1.62,8,,
961,agrandir,2.7,8,,
