,word,freq,len
94,acrobaties,1.0,10
95,acrylique,3.0,9
96,acte,1.0,4
97,actif,1.0,5
98,actions,1.0,7
99,active,1.0,6
100,activer,1.0,7
101,activite,1.0,8
102,activites,3.0,9
103,actrice,1.0,7
104,actualite,2.0,9
105,actuels,1.0,7
106,addition,7.0,8
107,additions,1.0,9
108,adelaide,1.0,8
109,adele,1.0,5
110,adeline,1.0,7
111,adelphe,1.0,7
112,adieu,4.0,5
113,admiration,2.0,10
114,admire,9.0,6
115,admirent,1.0,8
116,admirer,2.0,7
117,adopte,3.0,6
118,adoptee,3.0,7
119,adopter,2.0,7
120,adoptes,1.0,7
121,adoraient,1.0,9
122,adorait,1.0,7
123,adore,13.0,5
124,adorent,1.0,7
125,adoucissant,1.0,11
126,adresse,18.0,7
127,adresser,3.0,8
128,adrien,2.0,6
129,adroit,1.0,6
130,adroite,1.0,7
131,adroits,1.0,7
132,adulte,1.0,6
133,adultes,1.0,7
134,adversaire,1.0,10
135,adversaires,1.0,11
136,aere,1.0,4
137,aerer,1.0,5
138,aeroport,3.0,8
139,aerosol,8.0,7
140,aerosols,1.0,8
141,affaire,5.0,7
142,affairees,1.0,9
143,affaires,8.0,8
144,affame,4.0,6
145,affamee,1.0,7
146,affiche,13.0,7
147,afficher,1.0,8
148,affiches,4.0,8
149,affirme,2.0,7
150,affola,1.0,6
151,affole,2.0,6
152,affolee,4.0,7
153,affolees,1.0,8
154,affolent,1.0,8
155,affoles,1.0,7
156,affranchissement,1.0,16
157,affreuse,1.0,8
158,affreuses,1.0,9
159,affreux,16.0,7
160,affronter,2.0,9
161,afrique,19.0,7
162,agate,1.0,5
163,agathe,1.0,6
164,age,7.0,3
165,agees,1.0,5
166,agence,7.0,6
167,agenouilla,1.0,10
168,agent,14.0,5
169,ages,1.0,4
170,agf,3.0,3
171,agi,2.0,3
172,agile,5.0,5
173,agiles,2.0,6
174,agir,2.0,4
175,agit,2.0,4
176,agita,1.0,5
177,agitait,1.0,7
178,agitant,1.0,7
179,agitation,1.0,9
180,agite,7.0,5
181,agitee,1.0,6
182,agiter,1.0,6
183,aglae,11.0,5
184,agneau,25.0,6
185,agrandi,1.0,7
186,agrandit,1.0,8
187,agreable,8.0,8
188,agreables,1.0,9
189,agrippant,1.0,9
190,ah,72.0,2
191,ahuri,4.0,5
192,ai,329.0,2
193,aida,2.0,4
194,aidant,3.0,6
195,aide,37.0,4
196,aider,24.0,5
197,aidera,1.0,6
198,aiderai,3.0,7
199,aiderais,1.0,8
200,aides,5.0,5
201,aidez,5.0,5
202,aidiez,1.0,6
203,aie,7.0,3
204,aieul,1.0,5
205,aigle,2.0,5
206,aigues,1.0,6
207,aiguille,10.0,8
208,aiguilles,8.0,9
209,aigus,1.0,5
210,ail,3.0,3
211,aile,16.0,4
212,ailes,15.0,5
213,ailleurs,7.0,8
214,aima,1.0,4
215,aimable,4.0,7
216,aimablement,1.0,11
217,aimables,1.0,8
218,aimaient,3.0,8
219,aimais,1.0,6
220,aimait,11.0,6
221,aimant,2.0,6
222,aime,112.0,4
223,aiment,13.0,6
224,aimer,3.0,5
225,aimerai,1.0,7
226,aimeraient,1.0,10
227,aimerais,19.0,8
228,aimerait,4.0,8
229,aimes,4.0,5
230,aimez,2.0,5
231,aimons,2.0,6
232,ainee,1.0,5
233,ainsi,34.0,5
234,air,84.0,3
235,aire,2.0,4
236,aires,1.0,5
237,airs,2.0,4
238,aisement,1.0,8
239,aisne,1.0,5
240,ait,3.0,3
241,aix,1.0,3
242,ajaccio,2.0,7
243,ajouta,5.0,6
244,ajoutait,1.0,8
245,ajoute,30.0,6
246,ajouter,5.0,7
247,ajoutes,2.0,7
248,ajoutez,2.0,7
249,akela,1.0,5
250,alain,13.0,5
251,alarme,5.0,6
252,alaska,5.0,6
253,alaskans,2.0,8
254,albert,1.0,6
255,album,3.0,5
256,albums,4.0,6
257,alcool,1.0,6
258,alerte,2.0,6
259,alexandre,16.0,9
260,alexis,2.0,6
261,algue,2.0,5
262,algues,1.0,6
263,ali,3.0,3
264,alice,35.0,5
265,alignaient,1.0,10
266,aligne,1.0,6
267,alignees,1.0,8
268,aligner,2.0,7
269,alignes,4.0,7
270,alignez,1.0,7
271,aliment,1.0,7
272,alimentaire,2.0,11
273,alimentaires,1.0,12
274,aliments,8.0,8
275,alla,13.0,4
276,allai,1.0,5
277,allaient,6.0,8
278,allais,3.0,6
279,allait,17.0,6
280,allaite,1.0,7
281,allaiter,2.0,8
282,allant,4.0,6
283,alle,36.0,4
284,alleche,1.0,7
285,allee,30.0,5
286,allees,7.0,6
287,allemagne,3.0,9
288,aller,93.0,5
289,allerent,2.0,8
290,allergie,2.0,8
291,allergies,1.0,9
292,alles,15.0,5
293,allez,24.0,5
294,alliez,2.0,6
295,alligator,1.0,9
296,allions,3.0,7
297,allo,52.0,4
298,allonge,7.0,7
299,allongee,1.0,8
300,allongent,1.0,9
301,allonger,1.0,8
302,allons,54.0,6
303,alluma,1.0,6
304,allumai,1.0,7
305,allumaient,1.0,10
306,allumant,1.0,8
307,allume,20.0,6
308,allumee,3.0,7
309,allumer,5.0,7
310,allumes,1.0,7
311,allumette,2.0,9
312,allumettes,12.0,10
313,allumez,2.0,7
314,allure,12.0,6
315,almanach,1.0,8
316,alors,205.0,5
317,alouette,10.0,8
318,alpes,6.0,5
319,alpha,2.0,5
320,alphabet,5.0,8
321,alpinistes,1.0,10
322,alsace,3.0,6
323,aluminium,1.0,9
324,amadou,8.0,6
325,amaigri,2.0,7
326,amande,1.0,6
327,amandes,4.0,7
328,amanite,8.0,7
329,amanites,1.0,8
330,amassent,1.0,8
331,ambition,1.0,8
332,ambroise,1.0,8
333,ambulance,11.0,9
334,ambulances,1.0,10
335,amedee,1.0,6
336,amelioration,1.0,12
337,amende,1.0,6
338,amene,8.0,5
339,amener,2.0,6
340,amenez,2.0,6
341,americain,1.0,9
342,amerique,4.0,8
343,ami,108.0,3
344,amie,33.0,4
345,amiens,1.0,6
346,amies,3.0,5
347,amiral,1.0,6
348,amis,122.0,4
349,amitie,2.0,6
350,amour,7.0,5
351,amoureux,1.0,8
352,amours,1.0,6
353,ampoule,3.0,7
354,ampoules,1.0,8
355,amusant,21.0,7
356,amusante,4.0,8
357,amusants,3.0,8
358,amuse,24.0,5
359,amusement,1.0,9
360,amusent,5.0,7
361,amuser,16.0,6
362,amuserais,1.0,9
363,an,10.0,2
364,ananas,16.0,6
365,anaporaiba,2.0,10
366,anchois,1.0,7
367,ancien,7.0,6
368,ancienne,2.0,8
369,anciennes,2.0,9
370,anciens,1.0,7
371,ancre,1.0,5
372,andouillette,1.0,12
373,andre,2.0,5
374,ane,43.0,3
375,aneries,1.0,7
376,ange,4.0,4
377,angine,1.0,6
378,anglais,3.0,7
379,anglaise,1.0,8
380,angle,2.0,5
381,angleterre,2.0,10
382,angora,1.0,6
383,anguille,2.0,8
384,anguilles,1.0,9
385,animal,47.0,6
386,animasques,1.0,10
387,animateur,2.0,9
388,animateurs,1.0,10
389,animation,4.0,9
390,animatrice,1.0,10
391,animaux,87.0,7
392,anime,1.0,5
393,animent,1.0,7
394,animes,2.0,6
395,annabella,3.0,9
396,annabelle,1.0,9
397,anne,5.0,4
398,anneau,18.0,6
399,anneaux,5.0,7
400,annee,38.0,5
401,annees,4.0,6
402,annibal,1.0,7
403,annie,3.0,5
404,anniversaire,29.0,12
405,anniversaires,1.0,13
406,annonce,4.0,7
407,annoncee,1.0,8
408,annoncer,5.0,8
409,annonces,2.0,8
410,annuaire,1.0,8
411,annulaire,1.0,9
412,anon,2.0,4
413,anonne,1.0,6
414,anorak,9.0,6
415,anoraks,2.0,7
416,anormal,1.0,7
417,ans,40.0,3
418,antenne,8.0,7
419,antennes,5.0,8
420,antilopes,1.0,9
421,antoine,1.0,7
422,anvers,1.0,6
423,aout,3.0,4
424,apaisante,1.0,9
425,apercevant,1.0,10
426,apercevoir,1.0,10
427,apercois,9.0,8
428,apercoit,24.0,8
429,apercoive,1.0,9
430,apercoivent,1.0,11
431,apercu,4.0,6
432,apercurent,2.0,10
433,apercut,12.0,7
434,apeures,2.0,7
435,api,6.0,3
436,aplatie,1.0,7
437,aplatir,1.0,7
438,aplatissez,1.0,10
439,aplatit,1.0,7
440,apollinaire,1.0,11
441,apparaissent,1.0,12
442,apparait,9.0,8
443,apparaitra,1.0,10
444,apparaitrai,1.0,11
445,apparaitre,3.0,10
446,appareil,19.0,8
447,apparition,2.0,10
448,appartement,7.0,11
449,appartements,1.0,12
450,appartiennent,1.0,13
451,appartient,3.0,10
452,apparut,5.0,7
453,appat,3.0,5
454,appel,5.0,5
455,appela,3.0,6
456,appelaient,1.0,10
457,appelait,15.0,8
458,appele,6.0,6
459,appelee,2.0,7
460,appelees,2.0,8
461,appeler,12.0,7
462,appeles,1.0,7
463,appelez,1.0,7
464,appelle,80.0,7
465,appellent,5.0,9
466,appellera,1.0,9
467,appelles,1.0,8
468,appels,1.0,6
469,appendicite,2.0,11
470,appetissant,2.0,11
471,appetissante,2.0,12
472,appetit,13.0,7
473,applaudir,1.0,9
474,applaudis,1.0,9
475,applaudissait,1.0,13
476,applaudissent,3.0,13
477,applaudissez,1.0,12
478,applaudit,7.0,9
479,application,2.0,11
480,applique,17.0,8
481,appliquent,2.0,10
482,appliquez,1.0,9
483,apporta,1.0,7
484,apportant,1.0,9
485,apporte,44.0,7
486,apportee,2.0,8
487,apportent,5.0,9
488,apporter,11.0,8
489,apportes,1.0,8
490,apprecier,2.0,9
491,apprenaient,1.0,11
492,apprend,6.0,7
493,apprendra,2.0,9
494,apprendras,1.0,10
495,apprendre,11.0,9
496,apprends,3.0,8
497,apprenez,1.0,8
498,apprenne,1.0,8
499,apprennent,1.0,10
500,appretait,1.0,9
501,appris,7.0,6
502,apprise,1.0,7
503,apprivoiser,1.0,11
504,apprivoises,1.0,11
505,approcha,3.0,8
506,approchait,2.0,10
507,approche,42.0,8
508,approchent,2.0,10
509,approcherent,3.0,12
510,approchez,2.0,9
511,approuve,1.0,8
512,appuie,5.0,6
513,appuient,1.0,8
514,appuya,1.0,6
515,appuye,2.0,6
516,appuyee,2.0,7
517,appuyer,8.0,7
518,appuyez,1.0,7
519,apres,104.0,5
520,aquarium,7.0,8
521,aquariums,1.0,9
522,aquatiques,1.0,10
523,aquitaine,1.0,9
524,arabe,1.0,5
525,arabes,1.0,6
526,araignee,13.0,8
527,araignees,3.0,9
528,aras,1.0,4
529,arbitre,5.0,7
530,arbre,75.0,5
531,arbres,49.0,6
532,arbuste,1.0,7
533,arbustes,2.0,8
534,arc,6.0,3
535,arceaux,1.0,7
536,archambaud,1.0,10
537,architecte,1.0,10
538,arcs,2.0,4
539,ardoise,2.0,7
540,arete,17.0,5
541,aretes,1.0,6
542,argent,18.0,6
543,arion,5.0,5
544,aristoloche,1.0,11
545,arlequin,15.0,8
546,armand,1.0,6
547,arme,4.0,4
548,armee,4.0,5
549,armes,3.0,5
550,armistice,1.0,9
551,armoire,17.0,7
552,armoires,2.0,8
553,armure,7.0,6
554,armures,1.0,7
555,arrache,11.0,7
556,arraches,1.0,8
557,arrange,1.0,7
558,arrangee,1.0,8
559,arrangent,1.0,9
560,arranger,3.0,8
561,arrangera,1.0,9
562,arret,10.0,5
563,arreta,6.0,6
564,arretaient,1.0,10
565,arrete,55.0,6
566,arretee,3.0,7
567,arretent,6.0,8
568,arreter,20.0,7
569,arreterent,1.0,10
570,arretez,5.0,7
571,arrets,1.0,6
572,arriere,20.0,7
573,arriva,22.0,6
574,arrivait,4.0,8
575,arrivant,4.0,8
576,arrivat,1.0,7
577,arrive,191.0,6
578,arrivee,33.0,7
579,arrivent,34.0,8
580,arriver,17.0,7
581,arrivera,4.0,8
582,arriverai,1.0,9
583,arriveras,1.0,9
584,arriverent,6.0,10
585,arriverons,1.0,10
586,arrives,13.0,7
587,arrivons,1.0,8
588,arrondis,1.0,8
589,arrondissant,1.0,12
590,arrosage,10.0,8
591,arrosait,1.0,8
592,arrosant,1.0,8
593,arrose,5.0,6
594,arrosent,1.0,8
595,arroser,5.0,7
596,arroses,1.0,7
597,arrosez,2.0,7
598,arrosoir,10.0,8
599,arrosoirs,1.0,9
600,art,2.0,3
601,arthur,185.0,6
602,arthuro,6.0,7
603,artichaut,2.0,9
604,article,4.0,7
605,articules,1.0,9
606,artifice,8.0,8
607,artiste,3.0,7
608,as,174.0,2
609,ascenseur,6.0,9
610,asie,4.0,4
611,asperge,4.0,7
612,aspergee,2.0,8
613,asperger,1.0,8
614,asphyxie,2.0,8
615,asphyxies,1.0,9
616,aspirateur,8.0,10
617,aspire,2.0,6
618,assaisonne,3.0,10
619,assaut,3.0,6
620,assembler,1.0,9
621,asseoir,6.0,7
622,asseyant,1.0,8
623,asseyez,1.0,7
624,assez,43.0,5
625,assied,3.0,6
626,assiette,18.0,8
627,assiettes,19.0,9
628,assis,52.0,5
629,assise,10.0,6
630,assiste,1.0,7
631,assit,3.0,5
632,association,1.0,11
633,associer,1.0,8
634,associes,1.0,8
635,assoient,3.0,8
636,assoit,19.0,6
637,assomme,1.0,7
638,assomment,1.0,9
639,assommes,1.0,8
640,assortiment,1.0,11
641,assoupi,1.0,7
642,assure,3.0,6
643,assurement,1.0,10
644,astique,2.0,7
645,astiquer,2.0,8
646,astrapi,1.0,7
647,astre,1.0,5
648,astres,1.0,6
649,atchoum,7.0,7
650,atelier,5.0,7
651,atlantique,5.0,10
652,attache,11.0,7
653,attachent,2.0,9
654,attacher,7.0,8
655,attachera,1.0,9
656,attachez,1.0,8
657,attaquait,1.0,9
658,attaquants,4.0,10
659,attaque,16.0,7
660,attaquent,2.0,9
661,attaques,2.0,8
662,atteignent,1.0,10
663,atteindre,3.0,9
664,atteint,1.0,7
665,attela,1.0,6
666,attelage,1.0,8
667,attelages,1.0,9
668,attele,5.0,6
669,atteles,1.0,7
670,attend,23.0,6
671,attendaient,1.0,11
672,attendais,2.0,9
673,attendant,8.0,9
674,attendent,8.0,9
675,attendez,12.0,8
676,attendit,2.0,8
677,attendraient,1.0,12
678,attendre,11.0,8
679,attends,27.0,7
680,attendu,3.0,7
681,attente,1.0,7
682,attentif,1.0,8
683,attention,73.0,9
684,attentivement,7.0,13
685,atterrir,1.0,8
686,atterrissage,1.0,12
687,atterrissent,1.0,12
688,atterrit,3.0,8
689,attira,1.0,6
690,attire,8.0,6
691,attirer,2.0,7
692,attrapa,2.0,7
693,attrape,51.0,7
694,attrapee,1.0,8
695,attraper,38.0,8
696,attrapera,1.0,9
697,attraperai,2.0,10
698,attraperait,1.0,11
699,attrapez,1.0,8
700,au,842.0,2
701,auban,1.0,5
702,aubepine,2.0,8
703,auberge,1.0,7
704,aucun,9.0,5
705,aucune,4.0,6
706,aude,1.0,4
707,auparavant,1.0,10
708,aupres,8.0,6
709,aura,31.0,4
710,aurai,5.0,5
711,auraient,3.0,8
712,aurais,11.0,6
713,aurait,19.0,6
714,auras,13.0,5
715,aurelie,3.0,7
716,aurez,4.0,5
717,auriculaire,1.0,11
718,auriez,2.0,6
719,aurons,2.0,6
720,auront,1.0,6
721,aussi,258.0,5
722,aussitot,26.0,8
723,australie,1.0,9
724,autant,6.0,6
725,auteur,4.0,6
726,auteurs,1.0,7
727,authentique,1.0,11
728,auto,29.0,4
729,autobus,12.0,7
730,autocar,4.0,7
731,autocollant,1.0,11
732,automne,17.0,7
733,automobiles,2.0,11
734,automobiliste,1.0,13
735,automobilistes,2.0,14
736,autorisation,2.0,12
737,autoroute,6.0,9
738,autos,14.0,5
739,autour,54.0,6
740,autre,118.0,5
741,autrefois,11.0,9
742,autrement,3.0,9
743,autres,85.0,6
744,autriche,1.0,8
745,autruche,9.0,8
746,auvergnats,3.0,10
747,auvergne,1.0,8
748,aux,198.0,3
749,avaient,32.0,7
750,avais,27.0,5
751,avait,158.0,5
752,avala,1.0,5
753,avalanche,1.0,9
754,avale,31.0,5
755,avaler,7.0,6
756,avalez,2.0,6
757,avanca,2.0,6
758,avancaient,1.0,10
759,avance,15.0,6
760,avancent,3.0,8
761,avancer,6.0,7
762,avant,86.0,5
763,avare,1.0,5
764,avec,965.0,4
765,avent,1.0,5
766,aventure,11.0,8
767,aventures,2.0,9
768,avenue,8.0,6
769,avenues,3.0,7
770,averse,4.0,6
771,averti,1.0,6
772,avertir,4.0,7
773,avertisseurs,1.0,12
774,aveugle,6.0,7
775,avez,22.0,4
776,aviateur,6.0,8
777,aviateurs,1.0,9
778,aviation,7.0,8
779,avignon,2.0,7
780,avion,50.0,5
781,avions,9.0,6
782,aviron,2.0,6
783,avis,9.0,4
784,avoines,1.0,7
785,avoir,64.0,5
786,avons,23.0,5
787,avoue,1.0,5
788,avril,16.0,5
789,axe,1.0,3
790,ayant,1.0,5
791,ayez,3.0,4
792,aymard,5.0,6
793,azor,1.0,4
794,azur,2.0,4
795,baba,2.0,4
796,babar,14.0,5
797,babille,1.0,7
798,babines,5.0,7
799,baby,1.0,4
800,bac,2.0,3
801,bafouille,1.0,9
802,bagages,10.0,7
803,bagarre,2.0,7
804,bagheera,10.0,8
805,bague,30.0,5
806,bagues,3.0,6
807,baguette,13.0,8
808,baguettes,2.0,9
809,baies,1.0,5
810,baignade,2.0,8
811,baigne,4.0,6
812,baigner,2.0,7
813,baignes,1.0,7
814,baigneurs,2.0,9
815,baignoire,13.0,9
816,baille,5.0,6
817,baillement,1.0,10
818,bailler,2.0,7
819,bailles,1.0,7
820,bain,34.0,4
821,bains,5.0,5
822,baise,1.0,5
823,baiser,1.0,6
824,baisers,3.0,7
825,baisse,2.0,6
826,baisser,3.0,7
827,baissez,1.0,7
828,bal,11.0,3
829,baladait,1.0,8
830,balade,2.0,6
831,balader,3.0,7
832,baladeur,1.0,8
833,balai,23.0,5
834,balaie,3.0,6
835,balance,20.0,7
836,balancee,1.0,8
837,balancement,1.0,11
838,balancent,1.0,9
839,balancoire,8.0,10
840,balaya,1.0,6
841,balayer,3.0,7
842,balayette,1.0,9
843,balayons,2.0,8
844,balcon,12.0,6
845,balcons,2.0,7
846,baleine,16.0,7
847,baleines,1.0,8
848,balise,1.0,6
849,balle,57.0,5
850,balles,3.0,6
851,ballet,2.0,6
852,ballon,44.0,6
853,ballons,10.0,7
854,ballotte,1.0,8
855,baluchon,2.0,8
856,bambi,2.0,5
857,bambins,1.0,7
858,bambous,3.0,7
859,banane,20.0,6
860,bananes,24.0,7
861,bananier,4.0,8
862,banc,29.0,4
863,bancs,3.0,5
864,bandait,1.0,7
865,bande,10.0,5
866,bandes,6.0,6
867,bandit,1.0,6
868,bang,1.0,4
869,bangkok,2.0,7
870,banlieue,2.0,8
871,banque,2.0,6
872,banques,1.0,7
873,banquette,2.0,9
874,banquise,3.0,8
875,baobab,1.0,6
876,bapteme,3.0,7
877,baptise,3.0,7
878,baquet,1.0,6
879,bar,1.0,3
880,baraque,3.0,7
881,barbara,19.0,7
882,barbe,12.0,5
883,barbeles,1.0,8
884,barbiche,1.0,8
885,barbillon,1.0,9
886,barboter,1.0,8
887,barbouille,5.0,10
888,barbu,7.0,5
889,barcarolle,1.0,10
890,baril,3.0,5
891,bariole,1.0,7
892,bariolees,2.0,9
893,barque,12.0,6
894,barques,1.0,7
895,barquette,1.0,9
896,barrage,19.0,7
897,barre,5.0,5
898,barreaux,1.0,8
899,barrer,1.0,6
900,barres,2.0,6
901,barriere,14.0,8
902,barrit,1.0,6
903,bas,28.0,3
904,bascule,3.0,7
905,base,1.0,4
906,basile,4.0,6
907,baskets,3.0,7
908,basse,1.0,5
909,basses,1.0,6
910,bassin,7.0,6
911,bassine,3.0,7
912,bat,10.0,3
913,bataille,5.0,8
914,batailles,1.0,9
915,bateau,39.0,6
916,bateaux,5.0,7
917,batir,2.0,5
918,batirons,2.0,8
919,batiront,1.0,8
920,batit,1.0,5
921,baton,22.0,5
922,batons,1.0,6
923,bats,2.0,4
924,battait,1.0,7
925,battant,1.0,7
926,battement,1.0,9
927,battements,1.0,10
928,battent,3.0,7
929,batteur,2.0,7
930,battez,1.0,6
931,battra,1.0,6
932,battre,14.0,6
933,battu,4.0,5
934,battue,1.0,6
935,bavard,4.0,6
936,bavardant,1.0,9
937,bavardent,2.0,9
938,bavards,2.0,7
939,bave,1.0,4
940,baver,1.0,5
941,bazar,10.0,5
942,bearnaise,1.0,9
943,beatrice,245.0,8
944,beau,172.0,4
945,beaucoup,125.0,8
946,beaute,4.0,6
947,beauvoisin,1.0,10
948,beaux,27.0,5
949,bebe,85.0,4
950,bebes,11.0,5
951,bec,43.0,3
952,beche,2.0,5
953,becs,2.0,4
954,beers,1.0,5
955,begayer,2.0,7
956,begonia,1.0,7
957,begonias,3.0,8
958,beige,6.0,5
959,beiges,1.0,6
960,bel,12.0,3
961,belait,3.0,6
962,belanger,1.0,8
963,bele,12.0,4
964,belgique,2.0,8
965,belier,6.0,6
966,belle,91.0,5
967,belles,18.0,6
968,belo,111.0,4
969,ben,2.0,3
970,benichou,1.0,8
971,benir,1.0,5
972,benjamin,8.0,8
973,benne,2.0,5
974,bequilles,2.0,9
975,berangere,2.0,9
976,berca,1.0,5
977,berce,4.0,5
978,berceau,11.0,7
979,berceuse,1.0,8
980,beret,1.0,5
981,berger,6.0,6
982,bergere,6.0,7
983,bergers,1.0,7
984,bernard,1.0,7
985,bertrand,4.0,8
986,besancon,1.0,8
987,besoin,47.0,6
988,bestiole,1.0,8
989,betail,1.0,6
990,bete,38.0,4
991,betes,11.0,5
992,betise,3.0,6
993,betises,11.0,7
994,beurre,29.0,6
995,biarritz,2.0,8
996,bibelot,1.0,7
997,bibelots,4.0,8
998,biberon,9.0,7
999,bibi,8.0,4
1000,bibliotheque,10.0,12
1001,bic,1.0,3
1002,biche,4.0,5
1003,biches,1.0,6
1004,bicolores,1.0,9
1005,bicyclette,11.0,10
1006,bidon,5.0,5
1007,bien,520.0,4
1008,bientot,71.0,7
1009,bienvenue,5.0,9
1010,biere,3.0,5
1011,bifteck,1.0,7
1012,bigoudi,77.0,7
1013,bijou,4.0,5
1014,bijouterie,1.0,10
1015,bijoux,6.0,6
1016,bill,2.0,4
1017,bille,16.0,5
1018,billes,35.0,6
1019,billet,12.0,6
1020,billets,5.0,7
1021,binette,1.0,7
1022,bing,11.0,4
1023,bip,1.0,3
1024,biquette,2.0,8
1025,bis,10.0,3
1026,biscottes,4.0,9
1027,biscuit,1.0,7
1028,biscuits,9.0,8
1029,bise,2.0,4
1030,bises,1.0,5
1031,bison,1.0,5
1032,bisou,5.0,5
1033,bisous,1.0,6
1034,bizarre,25.0,7
1035,bizarres,9.0,8
1036,blagues,1.0,7
1037,blaireau,1.0,8
1038,blanc,83.0,5
1039,blanche,34.0,7
1040,blanches,13.0,8
1041,blanchoie,8.0,9
1042,blancs,14.0,6
1043,ble,21.0,3
1044,bles,1.0,4
1045,blesse,18.0,6
1046,blessee,4.0,7
1047,blesser,1.0,7
1048,blessure,3.0,8
1049,bleu,82.0,4
1050,bleue,16.0,5
1051,bleues,8.0,6
1052,bleuet,2.0,6
1053,bleus,10.0,5
1054,blizzard,1.0,8
1055,bloc,2.0,4
1056,blocs,2.0,5
1057,blond,14.0,5
1058,blonde,6.0,6
1059,blondes,1.0,7
1060,blonds,1.0,6
1061,blong,1.0,5
1062,bloquaient,1.0,10
1063,bloquee,1.0,7
1064,bloques,2.0,7
1065,blotti,2.0,6
1066,blottis,2.0,7
1067,blottit,1.0,7
1068,blouson,2.0,7
1069,blousons,2.0,8
1070,boa,5.0,3
1071,bobby,3.0,5
1072,bobi,63.0,4
1073,bobine,4.0,6
1074,bobinette,2.0,9
1075,boby,1.0,4
1076,bocal,14.0,5
1077,bof,2.0,3
1078,bohemien,4.0,8
1079,bohemienne,3.0,10
1080,boiras,1.0,6
1081,boire,23.0,5
1082,bois,89.0,4
1083,boisson,8.0,7
1084,boissons,4.0,8
1085,boit,11.0,4
1086,boite,58.0,5
1087,boites,12.0,6
1088,boiteux,4.0,7
1089,boivent,5.0,7
1090,bol,24.0,3
1091,bolet,2.0,5
1092,bolide,4.0,6
1093,bols,1.0,4
1094,bombard,1.0,7
1095,bombarde,2.0,8
1096,bombarder,1.0,9
1097,bombe,3.0,5
1098,bombes,1.0,6
1099,bon,160.0,3
1100,bonaventure,1.0,11
1101,bonbon,17.0,6
1102,bonbonne,1.0,8
1103,bonbons,21.0,7
1104,bond,8.0,4
1105,bondi,2.0,5
1106,bondir,4.0,6
1107,bondis,1.0,6
1108,bondissaient,1.0,12
1109,bondissant,2.0,10
1110,bondit,15.0,6
1111,bonds,1.0,5
1112,bongo,3.0,5
1113,bonheur,16.0,7
1114,bonhomme,29.0,8
1115,boniface,4.0,8
1116,bonjour,83.0,7
1117,bonne,224.0,5
1118,bonnes,12.0,6
1119,bonnet,6.0,6
1120,bonnets,3.0,7
1121,bons,10.0,4
1122,bonshommes,2.0,10
1123,bonsoir,17.0,7
1124,bonte,1.0,5
1125,bord,66.0,4
1126,borde,2.0,5
1127,bordeaux,8.0,8
1128,bordee,2.0,6
1129,border,1.0,6
1130,bords,2.0,5
1131,borgne,4.0,6
1132,borne,1.0,5
1133,bosse,10.0,5
1134,bossu,1.0,5
1135,botte,12.0,5
1136,bottes,29.0,6
1137,bouchant,3.0,8
1138,bouche,43.0,6
1139,bouchefine,5.0,10
1140,boucher,19.0,7
1141,boucherie,3.0,9
1142,bouchon,9.0,7
1143,boucle,7.0,6
1144,boucler,1.0,7
