,word,pron,phono,segm,pseg,gpmatch
55,accompagne,ak§paN,a.k§.paN,.a.cc.om.p.a.gn.e,.a.k.§.p.a.N.#,(a-a.cc-k.om-§.p-p.a-a.gn-N.e-#)
56,accompagné,ak§paNe,a.k§.pa.Ne,.a.cc.om.p.a.gn.é,.a.k.§.p.a.N.e,(a-a.cc-k.om-§.p-p.a-a.gn-N.é-e)
57,accompagner,ak§paNe,a.k§.pa.Ne,.a.cc.om.p.a.gn.er,.a.k.§.p.a.N.e,(a-a.cc-k.om-§.p-p.a-a.gn-N.er-e)
58,accompagneront,ak§paNR§,a.k§.paN.R§,.a.cc.om.p.a.gn.e.r.on.t,.a.k.§.p.a.N.#.R.§.#,(a-a.cc-k.om-§.p-p.a-a.gn-N.e-#.r-R.on-§.t-#)
59,accompagnes,ak§paN,a.k§.paN,.a.cc.om.p.a.gn.e.s,.a.k.§.p.a.N.#.#,(a-a.cc-k.om-§.p-p.a-a.gn-N.e-#.s-#)
60,accompagnés,ak§paNe,a.k§.pa.Ne,.a.cc.om.p.a.gn.é.s,.a.k.§.p.a.N.e.#,(a-a.cc-k.om-§.p-p.a-a.gn-N.é-e.s-#)
61,accomplie,ak§pli,a.k§.pli,.a.cc.om.p.l.i.e,.a.k.§.p.l.i.#,(a-a.cc-k.om-§.p-p.l-l.i-i.e-#)
62,accomplit,ak§pli,a.k§.pli,.a.cc.om.p.l.i.t,.a.k.§.p.l.i.#,(a-a.cc-k.om-§.p-p.l-l.i-i.t-#)
63,accord,akoR,a.koR,.a.cc.o.r.d,.a.k.o.R.#,(a-a.cc-k.o-o.r-R.d-#)
64,accordéon,akoRde§,a.koR.de.§,.a.cc.o.r.d.é.on,.a.k.o.R.d.e.§,(a-a.cc-k.o-o.r-R.d-d.é-e.on-§)
65,accourt,akuR,a.kuR,.a.cc.ou.r.t,.a.k.u.R.#,(a-a.cc-k.ou-u.r-R.t-#)
66,accourut,akuRy,a.ku.Ry,.a.cc.ou.r.u.t,.a.k.u.R.y.#,(a-a.cc-k.ou-u.r-R.u-y.t-#)
67,accrocha,akRoSa,a.kRo.Sa,.a.cc.r.o.ch.a,.a.k.R.o.S.a,(a-a.cc-k.r-R.o-o.ch-S.a-a)
68,accrochant,akRoS@,a.kRo.S@,.a.cc.r.o.ch.an.t,.a.k.R.o.S.@.#,(a-a.cc-k.r-R.o-o.ch-S.an-@.t-#)
69,accroche,akRoS,a.kRoS,.a.cc.r.o.ch.e,.a.k.R.o.S.#,(a-a.cc-k.r-R.o-o.ch-S.e-#)
70,accroche,akRoS,a.kRoS,.a.cc.r.o.ch.e,.a.k.R.o.S.#,(a-a.cc-k.r-R.o-o.ch-S.e-#)
71,accroché,akRoSe,a.kRo.Se,.a.cc.r.o.ch.é,.a.k.R.o.S.e,(a-a.cc-k.r-R.o-o.ch-S.é-e)
72,accrochée,akRoSe,a.kRo.Se,.a.cc.r.o.ch.é.e,.a.k.R.o.S.e.#,(a-a.cc-k.r-R.o-o.ch-S.é-e.e-#)
73,accrocher,akRoSe,a.kRo.Se,.a.cc.r.o.ch.er,.a.k.R.o.S.e,(a-a.cc-k.r-R.o-o.ch-S.er-e)
74,accrochèrent,akRoSER,a.kRo.SER,.a.cc.r.o.ch.è.r.e.n.t,.a.k.R.o.S.E.R.#.#.#,(a-a.cc-k.r-R.o-o.ch-S.è-E.r-R.e-#.n-#.t-#)
75,accrochés,akRoSe,a.kRo.Se,.a.cc.r.o.ch.é.s,.a.k.R.o.S.e.#,(a-a.cc-k.r-R.o-o.ch-S.é-e.s-#)
76,accroupi,akRupi,a.kRu.pi,.a.cc.r.ou.p.i,.a.k.R.u.p.i,(a-a.cc-k.r-R.ou-u.p-p.i-i)
77,accroupit,akRupi,a.kRu.pi,.a.cc.r.ou.p.i.t,.a.k.R.u.p.i.#,(a-a.cc-k.r-R.ou-u.p-p.i-i.t-#)
78,accueil,ak9j,a.k9j,.a.cc.ue.il,.a.k.9.j,(a-a.cc-k.ue-9.il-j)
79,accueille,ak9j,a.k9j,.a.cc.ue.ill.e,.a.k.9.j.#,(a-a.cc-k.ue-9.ill-j.e-#)
80,accueillent,ak9j,a.k9j,.a.cc.ue.ill.e.n.t,.a.k.9.j.#.#.#,(a-a.cc-k.ue-9.ill-j.e-#.n-#.t-#)
81,accueillera,ak9jRa,a.k9j.Ra,.a.cc.ue.ill.e.r.a,.a.k.9.j.#.R.a,(a-a.cc-k.ue-9.ill-j.e-#.r-R.a-a)
82,accueilli,ak9ji,a.k9.ji,.a.cc.ue.illi,.a.k.9.ji,(a-a.cc-k.ue-9.illi-ji)
83,accueillie,ak9ji,a.k9.ji,.a.cc.ue.illi.e,.a.k.9.ji.#,(a-a.cc-k.ue-9.illi-ji.e-#)
84,accueillirent,ak9jiR,a.k9.jiR,.a.cc.ue.illi.r.e.n.t,.a.k.9.ji.R.#.#.#,(a-a.cc-k.ue-9.illi-ji.r-R.e-#.n-#.t-#)
85,accumule,akymyl,a.ky.myl,.a.cc.u.m.u.l.e,.a.k.y.m.y.l.#,(a-a.cc-k.u-y.m-m.u-y.l-l.e-#)
86,achat,aSa,a.Sa,.a.ch.a.t,.a.S.a.#,(a-a.ch-S.a-a.t-#)
87,achats,aSa,a.Sa,.a.ch.a.t.s,.a.S.a.#.#,(a-a.ch-S.a-a.t-#.s-#)
88,acheta,aSta,aS.ta,.a.ch.e.t.a,.a.S.#.t.a,(a-a.ch-S.e-#.t-t.a-a)
89,achète,aSEt,a.SEt,.a.ch.è.t.e,.a.S.E.t.#,(a-a.ch-S.è-E.t-t.e-#)
90,acheté,aSte,aS.te,.a.ch.e.t.é,.a.S.#.t.e,(a-a.ch-S.e-#.t-t.é-e)
91,achetée,aSte,aS.te,.a.ch.e.t.é.e,.a.S.#.t.e.#,(a-a.ch-S.e-#.t-t.é-e.e-#)
92,achetées,aSte,aS.te,.a.ch.e.t.é.e.s,.a.S.#.t.e.#.#,(a-a.ch-S.e-#.t-t.é-e.e-#.s-#)
93,achètent,aSEt,a.SEt,.a.ch.è.t.e.n.t,.a.S.E.t.#.#.#,(a-a.ch-S.è-E.t-t.e-#.n-#.t-#)
94,acheter,aSte,aS.te,.a.ch.e.t.er,.a.S.#.t.e,(a-a.ch-S.e-#.t-t.er-e)
95,achètera,aSEtRa,a.SE.tRa,.a.ch.è.t.e.r.a,.a.S.E.t.#.R.a,(a-a.ch-S.è-E.t-t.e-#.r-R.a-a)
96,achetez,aSte,aS.te,.a.ch.e.t.ez,.a.S.#.t.e,(a-a.ch-S.e-#.t-t.ez-e)
97,achetions,aS*tj§,a.S*.tj§,.a.ch.e.t.i.on.s,.a.S.*.t.j.§.#,(a-a.ch-S.e-*.t-t.i-j.on-§.s-#)
98,achetons,aSt§,aS.t§,.a.ch.e.t.on.s,.a.S.#.t.§.#,(a-a.ch-S.e-#.t-t.on-§.s-#)
99,achève,aSEv,a.SEv,.a.ch.è.v.e,.a.S.E.v.#,(a-a.ch-S.è-E.v-v.e-#)
100,acide,asid,a.sid,.a.c.i.d.e,.a.s.i.d.#,(a-a.c-s.i-i.d-d.e-#)
101,acier,asje,a.sje,.a.c.i.er,.a.s.j.e,(a-a.c-s.i-j.er-e)
102,acrobate,akRobat,a.kRo.bat,.a.c.r.o.b.a.t.e,.a.k.R.o.b.a.t.#,(a-a.c-k.r-R.o-o.b-b.a-a.t-t.e-#)
103,acrobatie,akRobasi,a.kRo.ba.si,.a.c.r.o.b.a.t.i.e,.a.k.R.o.b.a.s.i.#,(a-a.c-k.r-R.o-o.b-b.a-a.t-s.i-i.e-#)
104,acrobaties,akRobasi,a.kRo.ba.si,.a.c.r.o.b.a.t.i.e.s,.a.k.R.o.b.a.s.i.#.#,(a-a.c-k.r-R.o-o.b-b.a-a.t-s.i-i.e-#.s-#)
105,acrylique,akRilik,a.kRi.lik,.a.c.r.y.l.i.qu.e,.a.k.R.i.l.i.k.#,(a-a.c-k.r-R.y-i.l-l.i-i.qu-k.e-#)
106,acte,akt*,ak.t*,.a.c.t.e,.a.k.t.*,(a-a.c-k.t-t.e-*)
107,actif,aktif,ak.tif,.a.c.t.i.f,.a.k.t.i.f,(a-a.c-k.t-t.i-i.f-f)
108,actions,aksj§,ak.sj§,.a.c.t.i.on.s,.a.k.s.j.§.#,(a-a.c-k.t-s.i-j.on-§.s-#)
109,active,aktiv,ak.tiv,.a.c.t.i.v.e,.a.k.t.i.v.#,(a-a.c-k.t-t.i-i.v-v.e-#)
110,activer,aktive,ak.ti.ve,.a.c.t.i.v.er,.a.k.t.i.v.e,(a-a.c-k.t-t.i-i.v-v.er-e)
111,activité,aktivite,ak.ti.vi.te,.a.c.t.i.v.i.t.é,.a.k.t.i.v.i.t.e,(a-a.c-k.t-t.i-i.v-v.i-i.t-t.é-e)
112,activités,aktivite,ak.ti.vi.te,.a.c.t.i.v.i.t.é.s,.a.k.t.i.v.i.t.e.#,(a-a.c-k.t-t.i-i.v-v.i-i.t-t.é-e.s-#)
113,actrice,aktRis,ak.tRis,.a.c.t.r.i.c.e,.a.k.t.R.i.s.#,(a-a.c-k.t-t.r-R.i-i.c-s.e-#)
114,actualité,akt8alite,ak.t8a.li.te,.a.c.t.u.a.l.i.t.é,.a.k.t.8.a.l.i.t.e,(a-a.c-k.t-t.u-8.a-a.l-l.i-i.t-t.é-e)
115,actuels,akt8El,ak.t8El,.a.c.t.u.e.l.s,.a.k.t.8.E.l.#,(a-a.c-k.t-t.u-8.e-E.l-l.s-#)
116,addition,adisj§,a.di.sj§,.a.dd.i.t.i.on,.a.d.i.s.j.§,(a-a.dd-d.i-i.t-s.i-j.on-§)
117,additions,adisj§,a.di.sj§,.a.dd.i.t.i.on.s,.a.d.i.s.j.§.#,(a-a.dd-d.i-i.t-s.i-j.on-§.s-#)
118,adélaïde,adelaid,a.de.la.id,.a.d.é.l.a.ï.d.e,.a.d.e.l.a.i.d.#,(a-a.d-d.é-e.l-l.a-a.ï-i.d-d.e-#)
119,adèle,adEl,a.dEl,.a.d.è.l.e,.a.d.E.l.#,(a-a.d-d.è-E.l-l.e-#)
120,adeline,adlin,a.dlin,.a.d.e.l.i.n.e,.a.d.#.l.i.n.#,(a-a.d-d.e-#.l-l.i-i.n-n.e-#)
121,adieu,adj2,a.dj2,.a.d.i.eu,.a.d.j.2,(a-a.d-d.i-j.eu-2)
122,admiration,admiRasj§,ad.mi.Ra.sj§,.a.d.m.i.r.a.t.i.on,.a.d.m.i.R.a.s.j.§,(a-a.d-d.m-m.i-i.r-R.a-a.t-s.i-j.on-§)
123,admire,admiR,ad.miR,.a.d.m.i.r.e,.a.d.m.i.R.#,(a-a.d-d.m-m.i-i.r-R.e-#)
124,admirent,admiR,ad.miR,.a.d.m.i.r.e.n.t,.a.d.m.i.R.#.#.#,(a-a.d-d.m-m.i-i.r-R.e-#.n-#.t-#)
125,admirer,admiRe,ad.mi.Re,.a.d.m.i.r.er,.a.d.m.i.R.e,(a-a.d-d.m-m.i-i.r-R.er-e)
126,adopté,adopte,a.dop.te,.a.d.o.p.t.é,.a.d.o.p.t.e,(a-a.d-d.o-o.p-p.t-t.é-e)
127,adoptée,adopte,a.dop.te,.a.d.o.p.t.é.e,.a.d.o.p.t.e.#,(a-a.d-d.o-o.p-p.t-t.é-e.e-#)
128,adopter,adopte,a.dop.te,.a.d.o.p.t.er,.a.d.o.p.t.e,(a-a.d-d.o-o.p-p.t-t.er-e)
129,adoptés,adopte,a.dop.te,.a.d.o.p.t.é.s,.a.d.o.p.t.e.#,(a-a.d-d.o-o.p-p.t-t.é-e.s-#)
130,adoraient,adoRE,a.do.RE,.a.d.o.r.ai.e.n.t,.a.d.o.R.E.#.#.#,(a-a.d-d.o-o.r-R.ai-E.e-#.n-#.t-#)
131,adorait,adoRE,a.do.RE,.a.d.o.r.ai.t,.a.d.o.R.E.#,(a-a.d-d.o-o.r-R.ai-E.t-#)
132,adore,adoR,a.doR,.a.d.o.r.e,.a.d.o.R.#,(a-a.d-d.o-o.r-R.e-#)
133,adoré,adoRe,a.do.Re,.a.d.o.r.é,.a.d.o.R.e,(a-a.d-d.o-o.r-R.é-e)
134,adorent,adoR,a.doR,.a.d.o.r.e.n.t,.a.d.o.R.#.#.#,(a-a.d-d.o-o.r-R.e-#.n-#.t-#)
135,adoucissant,adusis@,a.du.si.s@,.a.d.ou.c.i.ss.an.t,.a.d.u.s.i.s.@.#,(a-a.d-d.ou-u.c-s.i-i.ss-s.an-@.t-#)
136,adresse,adREs,a.dREs,.a.d.r.e.ss.e,.a.d.R.E.s.#,(a-a.d-d.r-R.e-E.ss-s.e-#)
137,adresse,adREs,a.dREs,.a.d.r.e.ss.e,.a.d.R.E.s.#,(a-a.d-d.r-R.e-E.ss-s.e-#)
138,adressé,adRese,a.dRe.se,.a.d.r.e.ss.é,.a.d.R.e.s.e,(a-a.d-d.r-R.e-e.ss-s.é-e)
139,adresser,adRese,a.dRe.se,.a.d.r.e.ss.er,.a.d.R.e.s.e,(a-a.d-d.r-R.e-e.ss-s.er-e)
140,adrien,adRj5,a.dRj5,.a.d.r.i.en,.a.d.R.j.5,(a-a.d-d.r-R.i-j.en-5)
141,adroit,adRwa,a.dRwa,.a.d.r.oi.t,.a.d.R.wa.#,(a-a.d-d.r-R.oi-wa.t-#)
142,adroite,adRwat,a.dRwat,.a.d.r.oi.t.e,.a.d.R.wa.t.#,(a-a.d-d.r-R.oi-wa.t-t.e-#)
143,adroits,adRwa,a.dRwa,.a.d.r.oi.t.s,.a.d.R.wa.#.#,(a-a.d-d.r-R.oi-wa.t-#.s-#)
144,adulte,adylt*,a.dyl.t*,.a.d.u.l.t.e,.a.d.y.l.t.*,(a-a.d-d.u-y.l-l.t-t.e-*)
145,adultes,adylt*,a.dyl.t*,.a.d.u.l.t.e.s,.a.d.y.l.t.*.#,(a-a.d-d.u-y.l-l.t-t.e-*.s-#)
146,adversaire,advERsER,ad.vER.sER,.a.d.v.e.r.s.ai.r.e,.a.d.v.E.R.s.E.R.#,(a-a.d-d.v-v.e-E.r-R.s-s.ai-E.r-R.e-#)
147,adversaires,advERsER,ad.vER.sER,.a.d.v.e.r.s.ai.r.e.s,.a.d.v.E.R.s.E.R.#.#,(a-a.d-d.v-v.e-E.r-R.s-s.ai-E.r-R.e-#.s-#)
148,aéré,aeRe,a.e.Re,.a.é.r.é,.a.e.R.e,(a-a.é-e.r-R.é-e)
149,aérer,aeRe,a.e.Re,.a.é.r.er,.a.e.R.e,(a-a.é-e.r-R.er-e)
150,aéroport,aeRopoR,a.e.Ro.poR,.a.é.r.o.p.o.r.t,.a.e.R.o.p.o.R.#,(a-a.é-e.r-R.o-o.p-p.o-o.r-R.t-#)
151,aérosol,aeRosol,a.e.Ro.sol,.a.é.r.o.s.o.l,.a.e.R.o.s.o.l,(a-a.é-e.r-R.o-o.s-s.o-o.l-l)
152,aérosols,aeRosol,a.e.Ro.sol,.a.é.r.o.s.o.l.s,.a.e.R.o.s.o.l.#,(a-a.é-e.r-R.o-o.s-s.o-o.l-l.s-#)
153,affaire,afER,a.fER,.a.ff.ai.r.e,.a.f.E.R.#,(a-a.ff-f.ai-E.r-R.e-#)
154,affaire,afER,a.fER,.a.ff.ai.r.e,.a.f.E.R.#,(a-a.ff-f.ai-E.r-R.e-#)
155,affairées,afeRe,a.fe.Re,.a.ff.ai.r.é.e.s,.a.f.e.R.e.#.#,(a-a.ff-f.ai-e.r-R.é-e.e-#.s-#)
156,affaires,afER,a.fER,.a.ff.ai.r.e.s,.a.f.E.R.#.#,(a-a.ff-f.ai-E.r-R.e-#.s-#)
157,affamé,afame,a.fa.me,.a.ff.a.m.é,.a.f.a.m.e,(a-a.ff-f.a-a.m-m.é-e)
158,affamé,afame,a.fa.me,.a.ff.a.m.é,.a.f.a.m.e,(a-a.ff-f.a-a.m-m.é-e)
159,affamée,afame,a.fa.me,.a.ff.a.m.é.e,.a.f.a.m.e.#,(a-a.ff-f.a-a.m-m.é-e.e-#)
160,affiche,afiS,a.fiS,.a.ff.i.ch.e,.a.f.i.S.#,(a-a.ff-f.i-i.ch-S.e-#)
161,affiche,afiS,a.fiS,.a.ff.i.ch.e,.a.f.i.S.#,(a-a.ff-f.i-i.ch-S.e-#)
162,afficher,afiSe,a.fi.Se,.a.ff.i.ch.er,.a.f.i.S.e,(a-a.ff-f.i-i.ch-S.er-e)
163,affiches,afiS,a.fiS,.a.ff.i.ch.e.s,.a.f.i.S.#.#,(a-a.ff-f.i-i.ch-S.e-#.s-#)
164,affirme,afiRm*,a.fiR.m*,.a.ff.i.r.m.e,.a.f.i.R.m.*,(a-a.ff-f.i-i.r-R.m-m.e-*)
165,affola,afola,a.fo.la,.a.ff.o.l.a,.a.f.o.l.a,(a-a.ff-f.o-o.l-l.a-a)
166,affolé,afole,a.fo.le,.a.ff.o.l.é,.a.f.o.l.e,(a-a.ff-f.o-o.l-l.é-e)
167,affolée,afole,a.fo.le,.a.ff.o.l.é.e,.a.f.o.l.e.#,(a-a.ff-f.o-o.l-l.é-e.e-#)
168,affolées,afole,a.fo.le,.a.ff.o.l.é.e.s,.a.f.o.l.e.#.#,(a-a.ff-f.o-o.l-l.é-e.e-#.s-#)
169,affolent,afol,a.fol,.a.ff.o.l.e.n.t,.a.f.o.l.#.#.#,(a-a.ff-f.o-o.l-l.e-#.n-#.t-#)
170,affolés,afole,a.fo.le,.a.ff.o.l.é.s,.a.f.o.l.e.#,(a-a.ff-f.o-o.l-l.é-e.s-#)
171,affranchissement,afR@Sism@,a.fR@.Sis.m@,.a.ff.r.an.ch.i.ss.e.m.en.t,.a.f.R.@.S.i.s.#.m.@.#,(a-a.ff-f.r-R.an-@.ch-S.i-i.ss-s.e-#.m-m.en-@.t-#)
172,affreuse,afR2z,a.fR2z,.a.ff.r.eu.s.e,.a.f.R.2.z.#,(a-a.ff-f.r-R.eu-2.s-z.e-#)
173,affreuses,afR2z,a.fR2z,.a.ff.r.eu.s.e.s,.a.f.R.2.z.#.#,(a-a.ff-f.r-R.eu-2.s-z.e-#.s-#)
174,affreux,afR2,a.fR2,.a.ff.r.eu.x,.a.f.R.2.#,(a-a.ff-f.r-R.eu-2.x-#)
175,affreux,afR2,a.fR2,.a.ff.r.eu.x,.a.f.R.2.#,(a-a.ff-f.r-R.eu-2.x-#)
176,affronter,afR§te,a.fR§.te,.a.ff.r.on.t.er,.a.f.R.§.t.e,(a-a.ff-f.r-R.on-§.t-t.er-e)
177,afrique,afRik,a.fRik,.a.f.r.i.qu.e,.a.f.R.i.k.#,(a-a.f-f.r-R.i-i.qu-k.e-#)
178,agate,agat,a.gat,.a.g.a.t.e,.a.g.a.t.#,(a-a.g-g.a-a.t-t.e-#)
179,agathe,agat,a.gat,.a.g.a.th.e,.a.g.a.t.#,(a-a.g-g.a-a.th-t.e-#)
180,âge,AZ,AZ,.â.g.e,.A.Z.#,(â-A.g-Z.e-#)
181,âgé,AZe,A.Ze,.â.g.é,.A.Z.e,(â-A.g-Z.é-e)
182,âgées,AZe,A.Ze,.â.g.é.e.s,.A.Z.e.#.#,(â-A.g-Z.é-e.e-#.s-#)
183,agence,aZ@s,a.Z@s,.a.g.en.c.e,.a.Z.@.s.#,(a-a.g-Z.en-@.c-s.e-#)
184,agenouilla,aZnuja,aZ.nu.ja,.a.g.e.n.ou.ill.a,.a.Z.#.n.u.j.a,(a-a.g-Z.e-#.n-n.ou-u.ill-j.a-a)
