,word,orthosyll,syll,freq,pron,len,phlen
32,abdominal,ab-do-mi-nal,ab-do-mi-nal,0.74,abdominal,9,9
33,abeille,a-beil-le,a-bEj,9.86,abEj,7,4
34,aberrant,a-ber-rant,a-bE-R@,2.5,abER@,8,5
35,aberration,a-ber-ra-tion,a-bE-Ra-sj§,4.46,abERasj§,10,8
36,abhorrer,ab-hor-rer,a-bO-Re,1.35,abORe,8,5
37,abhorré,ab-hor-ré,a-bO-Re,0.27,abORe,7,5
38,abject,ab-ject,ab-ZEkt,3.92,abZEkt,6,6
40,abjection,ab-jec-tion,ab-ZEk-sj§,2.3,abZEksj§,9,8
41,abjuration,ab-ju-ra-tion,ab-Zy-Ra-sj§,0.47,abZyRasj§,10,9
42,abjurer,ab-ju-rer,ab-Zy-Re,1.28,abZyRe,7,6
43,abkhaze,ab-kha-ze,ab-kaz,0.07,abkaz,7,5
44,ablatif,a-bla-tif,a-bla-tif,0.14,ablatif,7,7
45,ablation,a-bla-tion,a-bla-sj§,1.35,ablasj§,8,7
46,able,a-ble,abl,0.14,abl,4,3
47,ablette,a-blet-te,a-blEt,0.95,ablEt,7,5
48,ablution,a-blu-tion,a-bly-sj§,1.55,ablysj§,8,7
49,abnégation,ab-né-ga-tion,ab-ne-ga-sj§,3.58,abnegasj§,10,9
50,aboi,a-boi,a-bwa,3.58,abwa,4,4
51,aboiement,a-boie-ment,a-bwa-m@,5.95,abwam@,9,6
52,aboli,a-bo-li,a-bo-li,2.57,aboli,5,5
53,abolir,a-bo-lir,a-bo-liR,9.32,aboliR,6,6
54,abolition,a-bo-li-tion,a-bo-li-sj§,1.49,abolisj§,9,8
55,abominable,a-bo-mi-na-ble,a-bo-mi-nabl,11.22,abominabl,10,9
57,abominer,a-bo-mi-ner,a-bo-mi-ne,0.54,abomine,8,7
59,abondance,a-bon-dan-ce,a-b§-d@s,9.39,ab§d@s,9,6
60,abondant,a-bon-dant,a-b§-d@,7.03,ab§d@,8,5
61,abonder,a-bon-der,a-b§-de,4.59,ab§de,7,5
62,abonnement,a-bon-ne-ment,a-bO-n°-m@,1.62,abOn°m@,10,7
63,abonner,a-bon-ner,a-bo-ne,2.09,abone,7,5
64,abonné,a-bon-né,a-bo-ne,2.23,abone,6,5
65,abord,a-bord,a-bOR,19.05,abOR,5,4
66,abordable,a-bor-da-ble,a-bOR-dabl,0.2,abORdabl,9,8
67,abordage,a-bor-da-ge,a-bOR-daZ,1.49,abORdaZ,8,7
68,aborder,a-bor-der,a-bOR-de,33.18,abORde,7,6
69,abordé,a-bor-dé,a-bOR-de,0.2,abORde,6,6
70,aborigène,a-bo-ri-gè-ne,a-bo-Ri-ZEn,0.14,aboRiZEn,9,8
71,abornement,a-bor-ne-ment,a-bOR-n°-m@,0.07,abORn°m@,10,8
72,aboucher,a-bou-cher,a-bu-Se,0.81,abuSe,8,5
73,abouler,a-bou-ler,a-bu-le,0.61,abule,7,5
74,aboulie,a-bou-lie,a-bu-li,0.14,abuli,7,5
75,aboulique,a-bou-li-que,a-bu-lik,0.07,abulik,9,6
76,about,a-bout,a-bu,0.47,abu,5,3
77,abouti,a-bou-ti,a-bu-ti,0.2,abuti,6,5
78,aboutir,a-bou-tir,a-bu-tiR,25.81,abutiR,7,6
81,aboyant,a-boyant,a-bwa-j@,0.2,abwaj@,7,6
82,aboyer,a-boyer,a-bwa-je,11.82,abwaje,6,6
83,aboyeur,a-boyeur,a-bwa-j9R,0.61,abwaj9R,7,7
86,abrasif,a-bra-sif,a-bRa-zif,0.41,abRazif,7,7
87,abrasion,a-bra-sion,a-bRa-zj§,0.14,abRazj§,8,7
88,abreuvage,a-breu-va-ge,a-bR9-vaZ,0.07,abR9vaZ,9,7
89,abreuver,a-breu-ver,a-bR9-ve,6.22,abR9ve,8,6
90,abreuvoir,a-breu-voir,a-bR9-vwaR,3.92,abR9vwaR,9,8
91,abreuvé,a-breu-vé,a-bR9-ve,0.14,abR9ve,7,6
92,abri,a-bri,a-bRi,56.76,abRi,4,4
93,abribus,a-bri-bus,a-bRi-bys,0.14,abRibys,7,7
94,abricot,a-bri-cot,a-bRi-ko,2.5,abRiko,7,6
95,abricotier,a-bri-co-tier,a-bRi-ko-tje,0.41,abRikotje,10,9
96,abricotine,a-bri-co-ti-ne,a-bRi-ko-tin,0.07,abRikotin,10,9
97,abriter,a-bri-ter,a-bRi-te,26.22,abRite,7,6
98,abrité,a-bri-té,a-bRi-te,1.08,abRite,6,6
99,abrogation,a-bro-ga-tion,a-bRo-ga-sj§,0.14,abRogasj§,10,9
100,abroger,a-bro-ger,a-bRo-Ze,0.34,abRoZe,7,6
101,abrupt,a-brupt,a-bRypt,7.43,abRypt,6,6
103,abruti,a-bru-ti,a-bRy-ti,6.69,abRyti,6,6
104,abrutir,a-bru-tir,a-bRy-tiR,6.01,abRytiR,7,7
108,abréger,a-bré-ger,a-bRe-Ze,4.86,abReZe,7,6
109,abrégé,a-bré-gé,a-bRe-Ze,0.54,abReZe,6,6
110,abréviatif,a-bré-via-tif,a-bRe-vja-tif,0.07,abRevjatif,10,10
112,abscission,abs-cis-sion,ap-si-sj§,0.07,apsisj§,10,7
113,abscons,abs-cons,ap-sk§,0.68,apsk§,7,5
114,absence,ab-sen-ce,ap-s@s,76.28,aps@s,7,5
115,absent,ab-sent,ap-s@,5.81,aps@,6,4
116,absenter,ab-sen-ter,ap-s@-te,6.01,aps@te,8,6
118,abside,ab-si-de,ap-sid,1.62,apsid,6,5
119,absidiole,ab-si-dio-le,ap-si-djOl,0.07,apsidjOl,9,8
120,absinthe,ab-sin-the,ap-s5t,2.91,aps5t,8,5
121,absolu,ab-so-lu,ap-so-ly,7.23,apsoly,6,6
122,absolument,ab-so-lu-ment,ap-so-ly-m@,63.45,apsolym@,10,8
123,absolution,ab-so-lu-tion,ap-so-ly-sj§,2.5,apsolysj§,10,9
125,absolvant,ab-sol-vant,ap-sOl-v@,0.14,apsOlv@,9,7
126,absorbant,ab-sor-bant,ap-sOR-b@,1.35,apsORb@,9,7
127,absorber,ab-sor-ber,ap-sOR-be,28.65,apsORbe,8,7
128,absorbé,ab-sor-bé,ap-sOR-be,3.72,apsORbe,7,7
129,absorption,ab-sorp-tion,ap-sOR-psj§,2.03,apsORpsj§,10,9
130,absoudre,ab-sou-dre,ap-sudR,3.72,apsudR,8,6
131,absous,ab-sous,ap-su,0.68,apsu,6,4
132,absoute,ab-sou-te,ap-sut,0.14,apsut,7,5
133,abstenir,abs-te-nir,ap-st°-niR,8.78,apst°niR,8,8
134,abstention,abs-ten-tion,ap-st@-sj§,1.28,apst@sj§,10,8
135,abstinence,abs-ti-nen-ce,ap-sti-n@s,1.62,apstin@s,10,8
137,abstraire,abs-trai-re,ap-stRER,3.18,apstRER,9,7
138,abstrait,abs-trait,ap-stRE,11.35,apstRE,8,6
140,abstrus,abs-trus,ap-stRy,0.61,apstRy,7,6
141,absurde,ab-sur-de,ap-syRd,4.93,apsyRd,7,6
143,absurdité,ab-sur-di-té,ap-syR-di-te,6.28,apsyRdite,9,9
144,abus,a-bus,a-by,8.58,aby,4,3
145,abuser,a-bu-ser,a-by-ze,14.26,abyze,6,5
146,abusif,a-bu-sif,a-by-zif,1.82,abyzif,6,6
148,abusé,a-bu-sé,a-by-ze,0.74,abyze,5,5
149,abyme,a-by-me,a-bim,0.07,abim,5,4
150,abyssal,a-bys-sal,a-bi-sal,0.74,abisal,7,6
151,abysse,a-bys-se,a-bis,0.41,abis,6,4
152,abyssin,a-bys-sin,a-bi-s5,0.2,abis5,7,5
153,abâtardir,a-bâ-tar-dir,a-ba-taR-diR,0.41,abataRdiR,9,9
154,abécédaire,a-bé-cé-dai-re,a-be-se-dER,0.07,abesedER,10,8
155,abêti,a-bê-ti,a-be-ti,0.27,abeti,5,5
156,abêtir,a-bê-tir,a-be-tiR,1.28,abetiR,6,6
158,abîme,a-bî-me,a-bim,20.61,abim,5,4
159,abîmer,a-bî-mer,a-bi-me,21.69,abime,6,5
160,acabit,a-ca-bit,a-ka-bi,1.62,akabi,6,5
161,acacia,a-ca-cia,a-ka-sja,6.35,akasja,6,6
162,acadien,a-ca-dien,a-ka-dj5,0.07,akadj5,7,6
164,académie,a-ca-dé-mie,a-ka-de-mi,9.46,akademi,8,7
165,académique,a-ca-dé-mi-que,a-ka-de-mik,1.15,akademik,10,8
166,académisme,a-ca-dé-mis-me,a-ka-de-mizm,0.27,akademizm,10,9
167,acagnarder,a-ca-gnar-der,a-ka-NaR-de,0.74,akaNaRde,10,8
168,acajou,a-ca-jou,a-ka-Zu,5.95,akaZu,6,5
169,acanthe,a-can-the,a-k@t,0.61,ak@t,7,4
170,acariâtre,a-ca-riâ-tre,a-ka-RjatR,1.55,akaRjatR,9,8
171,accablant,ac-ca-blant,a-ka-bl@,5.41,akabl@,9,6
173,accabler,ac-ca-bler,a-ka-ble,21.28,akable,8,6
174,accablé,ac-ca-blé,a-ka-ble,5.47,akable,7,6
175,accalmie,ac-cal-mie,a-kal-mi,3.72,akalmi,8,6
176,accaparant,ac-ca-pa-rant,a-ka-pa-R@,0.07,akapaR@,10,7
177,accaparer,ac-ca-pa-rer,a-ka-pa-Re,3.99,akapaRe,9,7
180,accent,ac-cent,ak-s@,45.54,aks@,6,4
182,accentuer,ac-cen-tuer,ak-s@-t8e,16.15,aks@t8e,9,7
183,accentué,ac-cen-tué,ak-s@-t8e,1.55,aks@t8e,8,7
184,acceptable,ac-cep-ta-ble,ak-sEp-tabl,4.39,aksEptabl,10,9
185,acceptant,ac-cep-tant,ak-sEp-t@,0.14,aksEpt@,9,7
187,accepter,ac-cep-ter,ak-sEp-te,144.66,aksEpte,8,7
188,acception,ac-cep-tion,ak-sEp-sj§,0.47,aksEpsj§,9,8
189,accessible,ac-ces-si-ble,ak-se-sibl,5.74,aksesibl,10,8
190,accession,ac-ces-sion,ak-sE-sj§,1.22,aksEsj§,9,7
191,accessit,ac-ces-sit,ak-se-sit,0.07,aksesit,8,7
192,accessoire,ac-ces-soi-re,ak-se-swaR,7.3,akseswaR,10,8
194,accident,ac-ci-dent,ak-si-d@,44.8,aksid@,8,6
195,accidentel,ac-ci-den-tel,ak-si-d@-tEl,3.45,aksid@tEl,10,9
196,accidenté,ac-ci-den-té,ak-si-d@-te,1.42,aksid@te,9,8
198,acclamer,ac-cla-mer,a-kla-me,5.81,aklame,8,6
201,acclimater,ac-cli-ma-ter,a-kli-ma-te,1.96,aklimate,10,8
203,accolade,ac-co-la-de,a-ko-lad,2.23,akolad,8,6
204,accolement,ac-co-le-ment,a-kO-l°-m@,0.07,akOl°m@,10,7
205,accoler,ac-co-ler,a-ko-le,2.7,akole,7,5
209,accommoder,ac-com-mo-der,a-ko-mo-de,14.19,akomode,10,7
212,accompagné,ac-com-pa-gné,a-k§-pa-Ne,1.35,ak§paNe,10,7
213,accompli,ac-com-pli,a-k§-pli,10.54,ak§pli,8,6
214,accomplir,ac-com-plir,a-k§-pliR,55.2,ak§pliR,9,7
215,accord,ac-cord,a-kOR,136.15,akOR,6,4
218,accorder,ac-cor-der,a-kOR-de,67.84,akORde,8,6
219,accordeur,ac-cor-deur,a-kOR-d9R,0.61,akORd9R,9,7
220,accordo,ac-cor-do,a-kOR-do,0.07,akORdo,7,6
221,accordé,ac-cor-dé,a-kOR-de,1.08,akORde,7,6
222,accordéon,ac-cor-déon,a-kOR-de-§,5.47,akORde§,9,7
224,accore,ac-co-re,a-kOR,0.14,akOR,6,4
225,accort,ac-cort,a-kOR,0.68,akOR,6,4
226,accostage,ac-cos-ta-ge,a-kOs-taZ,0.88,akOstaZ,9,7
227,accostant,ac-cos-tant,a-kOs-t@,0.07,akOst@,9,6
228,accoster,ac-cos-ter,a-kOs-te,4.19,akOste,8,6
229,accotement,ac-co-te-ment,a-kO-t°-m@,1.42,akOt°m@,10,7
230,accoter,ac-co-ter,a-ko-te,2.43,akote,7,5
232,accoucher,ac-cou-cher,a-ku-Se,7.43,akuSe,9,5
233,accoucheur,ac-cou-cheur,a-ku-S9R,0.81,akuS9R,10,6
234,accouchée,ac-cou-chée,a-ku-Se,1.15,akuSe,9,5
235,accouder,ac-cou-der,a-ku-de,17.7,akude,8,5
236,accoudoir,ac-cou-doir,a-ku-dwaR,5.2,akudwaR,9,7
237,accoudé,ac-cou-dé,a-ku-de,0.41,akude,7,5
239,accoupler,ac-cou-pler,a-ku-ple,3.24,akuple,9,6
240,accourir,ac-cou-rir,a-ku-RiR,19.05,akuRiR,8,6
242,accoutré,ac-cou-tré,a-ku-tRe,0.41,akutRe,8,6
244,accoutumer,ac-cou-tu-mer,a-ku-ty-me,9.12,akutyme,10,7
245,accoutumé,ac-cou-tu-mé,a-ku-ty-me,5.0,akutyme,9,7
246,accro,ac-cro,a-kRo,0.68,akRo,5,4
247,accroc,ac-croc,a-kRo,3.11,akRo,6,4
248,accrochage,ac-cro-cha-ge,a-kRo-SaZ,1.49,akRoSaZ,10,7
249,accrochant,ac-cro-chant,a-kRo-S@,0.2,akRoS@,10,6
250,accroche,ac-cro-che,a-kROS,0.27,akROS,8,5
251,accrocher,ac-cro-cher,a-kRo-Se,99.93,akRoSe,9,6
252,accrocheur,ac-cro-cheur,a-kRo-S9R,0.34,akRoS9R,10,7
253,accroché,ac-cro-ché,a-kRo-Se,3.51,akRoSe,8,6
254,accroire,ac-croi-re,ak-RwaR,0.54,akRwaR,8,6
256,accroupi,ac-crou-pi,a-kRu-pi,8.24,akRupi,8,6
257,accroupir,ac-crou-pir,a-kRu-piR,24.93,akRupiR,9,7
258,accroître,ac-croî-tre,ak-RwatR,11.15,akRwatR,9,7
259,accru,ac-cru,a-kRy,3.04,akRy,5,4
260,accrue,ac-crue,a-kRy,0.07,akRy,6,4
261,accréditer,ac-cré-di-ter,a-kRe-di-te,1.55,akRedite,10,8
262,accréditif,ac-cré-di-tif,a-kRe-di-tif,0.07,akReditif,10,9
263,accrédité,ac-cré-di-té,a-kRe-di-te,0.27,akRedite,9,8
264,accu,ac-cu,a-ky,0.34,aky,4,3
265,accueil,ac-cueil,a-k9j,16.42,ak9j,7,4
267,accueillir,ac-cueil-lir,a-k9-jiR,54.73,ak9jiR,10,6
268,acculer,ac-cu-ler,a-ky-le,4.93,akyle,7,5
269,acculé,ac-cu-lé,a-ky-le,0.27,akyle,6,5
272,accumuler,ac-cu-mu-ler,a-ky-my-le,24.53,akymyle,9,7
273,accusateur,ac-cu-sa-teur,a-ky-za-t9R,1.42,akyzat9R,10,8
274,accusatif,ac-cu-sa-tif,a-ky-za-tif,0.07,akyzatif,9,8
275,accusation,ac-cu-sa-tion,a-ky-za-sj§,8.85,akyzasj§,10,8
276,accuser,ac-cu-ser,a-ky-ze,39.93,akyze,7,5
277,accusé,ac-cu-sé,a-ky-ze,2.16,akyze,6,5
278,accès,ac-cès,ak-sE,23.78,aksE,5,4
279,accéder,ac-cé-der,ak-se-de,12.97,aksede,7,6
282,accélérer,ac-cé-lé-rer,ak-se-le-Re,17.97,akseleRe,9,8
283,accéléré,ac-cé-lé-ré,ak-se-le-Re,2.03,akseleRe,8,8
284,acerbe,a-cer-be,a-sERb,1.22,asERb,6,5
285,acerbité,a-cer-bi-té,a-sER-bi-te,0.07,asERbite,8,8
287,achalandé,a-cha-lan-dé,a-Sa-l@-de,0.34,aSal@de,9,7
289,acharner,a-char-ner,a-SaR-ne,22.64,aSaRne,8,6
290,acharné,a-char-né,a-SaR-ne,5.41,aSaRne,7,6
291,achat,a-chat,a-Sa,16.96,aSa,5,3
292,ache,a-che,aS,0.2,aS,4,2
294,acheminer,a-che-mi-ner,a-S°-mi-ne,6.15,aS°mine,9,7
295,achetable,a-che-ta-ble,a-S°-tabl,0.14,aS°tabl,9,7
296,acheter,a-che-ter,a-S°-te,148.38,aS°te,7,5
297,acheteur,a-che-teur,a-S°-t9R,5.47,aS°t9R,8,6
298,achever,a-che-ver,a-S°-ve,81.42,aS°ve,7,5
299,achevé,a-che-vé,a-S°-ve,6.69,aS°ve,6,5
301,achèvement,a-chè-ve-ment,a-SE-v°-m@,1.82,aSEv°m@,10,7
302,achélème,a-ché-lè-me,a-ke-lEm,1.69,akelEm,8,6
303,acide,a-ci-de,a-sid,8.31,asid,5,4
304,acidité,a-ci-di-té,a-si-di-te,0.95,asidite,7,7
305,acidulé,a-ci-du-lé,a-si-dy-le,1.55,asidyle,7,7
306,acier,a-cier,a-sje,34.46,asje,5,4
307,aciérie,a-cié-rie,a-sje-Ri,0.27,asjeRi,7,6
308,acné,ac-né,ak-ne,0.88,akne,4,4
309,acolyte,a-co-ly-te,a-ko-lit,1.96,akolit,7,6
310,acompte,a-comp-te,a-k§t,1.15,ak§t,7,4
311,aconit,a-co-nit,a-ko-nit,0.34,akonit,6,6
312,acoquiner,a-co-qui-ner,a-ko-ki-ne,1.01,akokine,9,7
313,acoustique,a-cous-ti-que,a-kus-tik,0.81,akustik,10,7
315,acquiescer,ac-quies-cer,a-kje-se,12.43,akjese,10,6
316,acquis,ac-quis,a-ki,6.28,aki,6,3
318,acquit,ac-quit,a-ki,2.23,aki,6,3
320,acquitter,ac-quit-ter,a-ki-te,6.82,akite,9,5
321,acquitté,ac-quit-té,a-ki-te,0.34,akite,8,5
322,acquéreur,ac-qué-reur,a-ke-R9R,1.08,akeR9R,9,6
323,acquérir,ac-qué-rir,a-ke-RiR,29.66,akeRiR,8,6
324,acquêt,ac-quêt,a-kE,0.2,akE,6,3
325,acra,a-cra,a-kRa,0.14,akRa,4,4
326,acre,a-cre,akR,0.41,akR,4,3
327,acrimonie,a-cri-mo-nie,a-kRi-mo-ni,0.81,akRimoni,9,8
329,acrobate,a-cro-ba-te,a-kRo-bat,4.12,akRobat,8,7
330,acrobatie,a-cro-ba-tie,a-kRo-ba-si,2.57,akRobasi,9,8
333,acromion,a-cro-mion,a-kRo-mj§,0.14,akRomj§,8,7
334,acronyme,a-cro-ny-me,a-kRo-nim,0.07,akRonim,8,7
335,acropole,a-cro-po-le,a-kRo-pOl,0.81,akRopOl,8,7
336,acrotère,a-cro-tè-re,a-kRo-tER,0.07,akRotER,8,7
337,acrylique,a-cry-li-que,a-kRi-lik,0.41,akRilik,9,7
338,acte,ac-te,akt,57.3,akt,4,3
339,acteur,ac-teur,ak-t9R,38.31,akt9R,6,5
340,actif,ac-tif,ak-tif,13.65,aktif,5,5
341,action,ac-tion,ak-sj§,87.43,aksj§,6,5
344,actionner,ac-tion-ner,ak-sjo-ne,5.61,aksjone,9,7
345,activant,ac-ti-vant,ak-ti-v@,0.07,aktiv@,8,6
346,activation,ac-ti-va-tion,ak-ti-va-sj§,0.07,aktivasj§,10,9
347,activement,ac-ti-ve-ment,ak-ti-v°-m@,3.51,aktiv°m@,10,8
348,activer,ac-ti-ver,ak-ti-ve,6.62,aktive,7,6
349,activisme,ac-ti-vis-me,ak-ti-vizm,0.2,aktivizm,9,8
350,activiste,ac-ti-vis-te,ak-ti-vist,0.54,aktivist,9,8
351,activité,ac-ti-vi-té,ak-ti-vi-te,38.92,aktivite,8,8
352,activé,ac-ti-vé,ak-ti-ve,0.07,aktive,6,6
354,actualiser,ac-tua-li-ser,ak-t8a-li-ze,0.34,akt8alize,10,9
355,actualité,ac-tua-li-té,ak-t8a-li-te,8.72,akt8alite,9,9
356,actuel,ac-tuel,ak-t8El,20.68,akt8El,6,6
358,acuité,a-cui-té,a-k8i-te,3.18,ak8ite,6,6
359,acumen,a-cu-men,a-ky-mEn,0.07,akymEn,6,6
362,acéphale,a-cé-pha-le,a-se-fal,0.2,asefal,8,6
363,acéré,a-cé-ré,a-se-Re,2.43,aseRe,5,5
364,acétate,a-cé-ta-te,a-se-tat,0.14,asetat,7,6
365,acétique,a-cé-ti-que,a-se-tik,0.07,asetik,8,6
366,acétone,a-cé-to-ne,a-se-tOn,0.27,asetOn,7,6
367,acétylène,a-cé-ty-lè-ne,a-se-ti-lEn,1.96,asetilEn,9,8
368,adage,a-da-ge,a-daZ,0.74,adaZ,5,4
369,adagio,a-da-gio,a-dad-Zjo,0.34,adadZjo,6,7
370,adamantin,a-da-man-tin,a-da-m@-t5,0.2,adam@t5,9,7
371,adamique,a-da-mi-que,a-da-mik,0.14,adamik,8,6
372,adaptable,a-dap-ta-ble,a-dap-tabl,0.2,adaptabl,9,8
373,adaptateur,a-dap-ta-teur,a-dap-ta-t9R,0.41,adaptat9R,10,9
374,adaptation,a-dap-ta-tion,a-dap-ta-sj§,4.66,adaptasj§,10,9
375,adapter,a-dap-ter,a-dap-te,12.57,adapte,7,6
376,addendum,ad-den-dum,a-d5-dOm,0.07,ad5dOm,8,6
377,addiction,ad-dic-tion,a-dik-sj§,0.07,adiksj§,9,7
378,additif,ad-di-tif,a-di-tif,0.14,aditif,7,6
379,addition,ad-di-tion,a-di-sj§,9.53,adisj§,8,6
382,adduction,ad-duc-tion,a-dyk-sj§,0.14,adyksj§,9,7
383,adepte,a-dep-te,a-dEpt,2.84,adEpt,6,5
384,adhérence,ad-hé-ren-ce,a-de-R@s,0.54,adeR@s,9,6
385,adhérent,ad-hé-rent,a-de-R@,1.01,adeR@,8,5
386,adhérer,ad-hé-rer,a-de-Re,5.07,adeRe,7,5
387,adhésif,ad-hé-sif,a-de-zif,0.81,adezif,7,6
388,adhésion,ad-hé-sion,a-de-zj§,6.55,adezj§,8,6
389,adieu,a-dieu,a-dj2,7.36,adj2,5,4
390,adipeux,a-di-peux,a-di-p2,1.28,adip2,7,5
391,adiposité,a-di-po-si-té,a-di-po-zi-te,0.07,adipozite,9,9
392,adja,ad-ja,ad-Za,1.01,adZa,4,4
393,adjacent,ad-ja-cent,ad-Za-s@,0.95,adZas@,8,6
394,adjectif,ad-jec-tif,ad-ZEk-tif,3.51,adZEktif,8,8
395,adjoindre,ad-join-dre,ad-Zw5dR,2.97,adZw5dR,9,7
396,adjoint,ad-joint,ad-Zw5,5.14,adZw5,7,5
397,adjonction,ad-jonc-tion,ad-Z§k-sj§,0.41,adZ§ksj§,10,8
398,adjudant,ad-ju-dant,ad-Zy-d@,22.23,adZyd@,8,6
400,adjuger,ad-ju-ger,ad-Zy-Ze,0.68,adZyZe,7,6
401,adjupète,ad-ju-pè-te,ad-Zy-pEt,0.14,adZypEt,8,7
402,adjuration,ad-ju-ra-tion,ad-Zy-Ra-sj§,0.34,adZyRasj§,10,9
403,adjurer,ad-ju-rer,ad-Zy-Re,2.97,adZyRe,7,6
404,admettre,ad-met-tre,ad-mEtR,59.46,admEtR,8,6
408,administré,ad-mi-nis-tré,ad-mi-nis-tRe,1.62,administRe,10,10
409,admirable,ad-mi-ra-ble,ad-mi-Rabl,31.55,admiRabl,9,8
411,admirateur,ad-mi-ra-teur,ad-mi-Ra-t9R,5.14,admiRat9R,10,9
412,admiratif,ad-mi-ra-tif,ad-mi-Ra-tif,6.96,admiRatif,9,9
413,admiration,ad-mi-ra-tion,ad-mi-Ra-sj§,32.7,admiRasj§,10,9
414,admirer,ad-mi-rer,ad-mi-Re,68.18,admiRe,7,6
415,admis,ad-mis,ad-mi,1.96,admi,5,4
417,admissible,ad-mis-si-ble,ad-mi-sibl,0.61,admisibl,10,8
418,admission,ad-mis-sion,ad-mi-sj§,1.82,admisj§,9,7
419,admixtion,ad-mix-tion,ad-mik-sj§,0.07,admiksj§,9,8
421,admonition,ad-mo-ni-tion,ad-mo-ni-sj§,0.2,admonisj§,10,9
422,ado,a-do,a-do,0.2,ado,3,3
424,adolescent,a-do-les-cent,a-do-le-s@,7.43,adoles@,10,7
425,adonc,a-donc,a-d§k,0.07,ad§k,5,4
426,adoncques,a-donc-ques,a-d§k,0.07,ad§k,9,4
427,adonies,a-do-nies,a-do-ni,0.07,adoni,7,5
428,adonner,a-don-ner,a-do-ne,5.74,adone,7,5
429,adoptable,a-dop-ta-ble,a-dOp-tabl,0.07,adOptabl,9,8
430,adoptant,a-dop-tant,a-dOp-t@,0.07,adOpt@,8,6
431,adopter,a-dop-ter,a-dOp-te,29.86,adOpte,7,6
432,adoptif,a-dop-tif,a-dOp-tif,3.38,adOptif,7,7
433,adoption,a-dop-tion,a-dOp-sj§,2.91,adOpsj§,8,7
434,adopté,a-dop-té,a-dOp-te,1.28,adOpte,6,6
435,adorable,a-do-ra-ble,a-do-Rabl,7.97,adoRabl,8,7
437,adorant,a-do-rant,a-do-R@,0.2,adoR@,7,5
438,adorateur,a-do-ra-teur,a-do-Ra-t9R,1.82,adoRat9R,9,8
439,adoration,a-do-ra-tion,a-do-Ra-sj§,5.07,adoRasj§,9,8
440,adorer,a-do-rer,a-do-Re,44.59,adoRe,6,5
441,ados,a-dos,a-do,0.27,ado,4,3
442,adosser,a-dos-ser,a-do-se,16.89,adose,7,5
443,adossé,a-dos-sé,a-do-se,0.34,adose,6,5
444,adoubement,a-dou-be-ment,a-du-b°-m@,0.27,adub°m@,10,7
445,adouci,a-dou-ci,a-du-si,0.34,adusi,6,5
446,adoucir,a-dou-cir,a-du-siR,11.01,adusiR,7,6
450,adresse,a-dres-se,a-dREs,49.8,adREs,7,5
451,adresser,a-dres-ser,a-dRe-se,98.04,adRese,8,6
452,adret,a-dret,a-dRE,0.07,adRE,5,4
453,adriatique,a-dria-ti-que,a-dRi-ja-tik,0.14,adRijatik,10,9
454,adroit,a-droit,a-dRwa,4.86,adRwa,6,5
456,adrénaline,a-dré-na-li-ne,a-dRe-na-lin,0.68,adRenalin,10,9
457,adulateur,a-du-la-teur,a-dy-la-t9R,0.07,adylat9R,9,8
458,adulation,a-du-la-tion,a-dy-la-sj§,0.81,adylasj§,9,8
459,aduler,a-du-ler,a-dy-le,1.62,adyle,6,5
