,"word","pron","freq","len"
185,"aboiement","abwam@",60,9
186,"aboiements","abwam@",118,10
187,"aboient","abwa",56,7
188,"aboierait","abwaRE",0,9
189,"aboieront","abwaRA",3,9
190,"abois","abwa",172,5
191,"aboli","abOli",528,5
192,"abolie","abOli",312,6
193,"abolies","abOli",144,7
194,"abolir","abOliR",843,6
195,"abolirent","abOliR",5,9
196,"abolis","abOli",162,6
197,"abolisse","abOlis",26,8
198,"abolissent","abOlis",47,10
199,"abolit","abOli",279,6
200,"abolît","abOli",1,6
201,"abomine","abOmin",7,7
202,"abonda","abAda",4,6
203,"abondai","abAdE",0,7
204,"abondaient","abAdE",38,10
205,"abondais","abAdE",1,8
206,"abondait","abAdE",33,8
207,"abondance","abAd@s",2899,9
208,"abondances","abAd@s",57,10
209,"abondant","abAd@",685,8
210,"abondante","abAd@t",1763,9
211,"abondantes","abAd@t",918,10
212,"abondants","abAd@",394,9
213,"abondassent","abAdas",0,11
214,"abonde","abAd",348,6
215,"abondé","abAde",115,6
216,"abondement","abAdm@",158,10
217,"abondent","abAd",533,8
218,"abonder","abAde",196,7
219,"abonderait","abAdRE",4,10
220,"abondèrent","abAdER",3,10
221,"abonnai","abOnE",0,7
222,"abonnait","abOnE",1,8
223,"abonnant","abOn@",169,8
224,"abonnât","abOna",0,7
225,"abonne","abOn",427,6
226,"abonné","abOne",2953,6
227,"abonnée","abOne",163,7
228,"abonnées","abOne",192,8
229,"abonnement","abOnm@",11856,10
230,"abonnements","abOnm@",6049,11
231,"abonner","abOne",10678,7
232,"abonnés","abOne",12727,7
233,"abonnez","abOne",6730,7
234,"abord","abOR",35900,5
235,"aborda","abORda",123,6
236,"abordable","abORdabl",1278,9
237,"abordables","abORdabl",734,10
238,"abordage","abORdaZ",193,8
239,"abordages","abORdaZ",46,9
240,"abordai","abORdE",13,7
241,"abordaient","abORdE",59,10
242,"abordais","abORdE",23,8
243,"abordait","abORdE",151,8
244,"abordâmes","abORdam",8,9
245,"abordant","abORd@",847,8
246,"abordas","abORda",0,7
247,"aborde","abORd",3189,6
248,"abordé","abORde",2599,6
249,"abordée","abORde",1107,7
250,"abordées","abORde",1272,8
251,"abordent","abORd",839,8
252,"aborder","abORde",6395,7
253,"abordèrent","abORdER",43,10
254,"abordes","abORd",92,7
255,"abordés","abORde",3538,7
256,"abordez","abORde",142,7
257,"abordiez","abORdje",9,8
258,"abordions","abORdjA",40,9
259,"abordons","abORdA",514,8
260,"abords","abOR",1840,6
261,"abortifs","abORtif",9,8
262,"abortive","abORtiv",39,8
263,"abortives","abORtiv",11,9
264,"aboucha","abuSa",3,7
265,"abouchaient","abuSE",0,11
266,"abouchais","abuSE",0,9
267,"abouchait","abuSE",1,9
268,"abouchant","abuS@",5,9
269,"abouche","abuS",9,7
270,"abouché","abuSe",4,7
271,"abouchée","abuSe",0,8
272,"abouchement","abuSm@",20,11
273,"abouchements","abuSm@",1,12
274,"abouchent","abuS",6,9
275,"aboucher","abuSe",19,8
276,"abouchèrent","abuSER",1,11
277,"abouchés","abuSe",1,8
278,"aboule","abul",4,6
279,"abouler","abule",2,7
280,"aboulez","abule",1,7
281,"aboulie","abuli",10,7
282,"aboulique","abulik",3,9
283,"abouliques","abulik",1,10
284,"abounas","abuna",0,7
285,"about","abu",11141,5
286,"aboutait","abutE",0,8
287,"abouterait","abutRE",0,10
288,"abouti","abuti",2463,6
289,"aboutie","abuti",178,7
290,"abouties","abuti",76,8
291,"aboutîmes","abutim",1,9
292,"aboutir","abutiR",4453,7
293,"aboutirent","abutiR",105,10
294,"aboutis","abuti",98,7
295,"aboutisse","abutis",313,9
296,"aboutissent","abutis",1018,11
297,"aboutit","abuti",2217,7
298,"aboutît","abuti",3,7
299,"aboutons","abutA",0,8
300,"aboya","abwaja",21,5
301,"aboyaient","abwajE",15,9
302,"aboyait","abwajE",21,7
303,"aboyant","abwaj@",34,7
304,"aboyante","abwaj@t",7,8
305,"aboyé","abwaje",15,5
306,"aboyées","abwaje",0,7
307,"aboyer","abwaje",132,6
308,"aboyèrent","abwajER",5,9
309,"aboyeur","abwaj9R",46,7
310,"aboyeurs","abwaj9R",14,8
311,"aboyez","abwaje",2,6
312,"aboyons","abwajA",1,7
313,"abra","abRa",47,4
314,"abras","abRa",7,5
315,"abrasax","abRazaks",3,7
316,"abrase","abRaz",2,6
317,"abrasé","abRaze",3,6
318,"abraser","abRaze",6,7
319,"abrasif","abRazif",155,7
320,"abrasifs","abRazif",222,8
321,"abrasion","abRazjA",288,8
322,"abrasive","abRaziv",65,8
323,"abrasives","abRaziv",68,9
324,"abraxas","abRaksa",97,7
325,"abrégé","abReZe",1081,6
326,"abrège","abREZ",78,6
327,"abrégea","abReZa",9,7
328,"abrégeai","abReZE",1,8
329,"abrégeaient","abReZE",2,11
330,"abrégeait","abReZE",4,9
331,"abrégeant","abReZ@",21,9
332,"abrégeât","abReZa",0,8
333,"abrégée","abReZe",530,7
334,"abrégées","abReZe",319,8
335,"abrègent","abREZ",20,8
336,"abrégeons","abReZA",8,9
337,"abréger","abReZe",248,7
338,"abrégerait","abReZRE",3,10
339,"abrégèrent","abReZER",2,10
340,"abrégés","abReZe",192,7
341,"abrégez","abReZe",10,7
342,"abreuva","abR9va",9,7
343,"abreuvage","abR9vaZ",6,9
344,"abreuvaient","abR9vE",10,11
345,"abreuvais","abR9vE",2,9
346,"abreuvait","abR9vE",19,9
347,"abreuvant","abR9v@",30,9
348,"abreuve","abR9v",130,7
349,"abreuvé","abR9ve",62,7
350,"abreuvée","abR9ve",22,8
351,"abreuvement","abR9vm@",44,11
352,"abreuvent","abR9v",66,9
353,"abreuver","abR9ve",192,8
354,"abreuveraient","abR9vRE",0,13
355,"abreuvèrent","abR9vER",2,11
356,"abreuvés","abR9ve",49,8
357,"abreuvez","abR9ve",8,8
358,"abreuvoir","abR9vwaR",174,9
359,"abreuvoirs","abR9vwaR",73,10
360,"abreuvons","abR9vA",5,9
361,"abri","abRi",5322,4
362,"abribus","abRibys",122,7
363,"abricot","abRikO",459,7
364,"abricots","abRikO",325,8
365,"abris","abRi",1174,5
366,"abrita","abRita",75,6
367,"abritai","abRitE",1,7
368,"abritaient","abRitE",95,10
369,"abritais","abRitE",1,8
370,"abritait","abRitE",289,8
371,"abritant","abRit@",668,8
372,"abrite","abRit",2572,6
373,"abrité","abRite",405,6
374,"abritée","abRite",171,7
375,"abritées","abRite",117,8
376,"abritent","abRit",639,8
377,"abriter","abRite",874,7
378,"abritera","abRitRa",193,8
379,"abriterai","abRitRE",2,9
380,"abriterait","abRitRE",22,10
381,"abritèrent","abRitER",12,10
382,"abriteront","abRitRA",28,10
383,"abrites","abRit",4,7
384,"abrités","abRite",133,7
385,"abritez","abRite",13,7
386,"abritions","abRitjA",1,9
387,"abroge","abROZ",238,6
388,"abrogé","abROZe",1257,6
389,"abrogea","abROZa",7,7
390,"abrogeant","abROZ@",290,9
391,"abrogée","abROZe",381,7
392,"abrogées","abROZe",336,8
393,"abrogent","abROZ",21,8
394,"abroger","abROZe",445,7
395,"abrogèrent","abROZER",1,10
396,"abrogeront","abROZRA",1,10
397,"abrogés","abROZe",492,7
398,"abrupt","abRypt",153,6
399,"abrupte","abRypt",255,7
400,"abruptes","abRypt",226,8
401,"abrupts","abRypt",97,7
402,"abruti","abRyti",195,6
403,"abrutie","abRyti",23,7
404,"abruties","abRyti",8,8
405,"abrutir","abRytiR",41,7
406,"abrutis","abRyti",170,7
407,"abrutit","abRyti",21,7
408,"abscisse","apsis",220,8
409,"abscisses","apsis",109,9
410,"abscission","apsisjA",3,10
411,"abscons","apskA",78,7
412,"absconse","apskAs",15,8
413,"absconses","apskAs",19,9
414,"absence","aps@s",19594,7
415,"absences","aps@s",1044,8
416,"absent","aps@",2799,6
417,"absenta","aps@ta",8,7
418,"absentai","aps@tE",0,8
419,"absentaient","aps@tE",5,11
420,"absentais","aps@tE",2,9
421,"absentait","aps@tE",16,9
422,"absentant","aps@t@",7,9
423,"absente","aps@t",1397,7
424,"absenté","aps@te",75,7
425,"absentée","aps@te",22,8
426,"absentées","aps@te",4,9
427,"absentent","aps@t",34,9
428,"absentera","aps@tRa",5,9
429,"absenterai","aps@tRE",1,10
430,"absenterait","aps@tRE",3,11
431,"absentèrent","aps@tER",1,11
432,"absentes","aps@t",558,8
433,"absentés","aps@te",15,8
434,"absents","aps@",1867,7
435,"abside","apsid",213,6
436,"absides","apsid",30,7
437,"absidiales","apsidjal",2,10
438,"absidiole","apsidjOl",9,9
439,"absidioles","apsidjOl",17,10
440,"absinthe","aps5t",175,8
441,"absolu","apsOly",3653,6
442,"absolue","apsOly",5194,7
443,"absolues","apsOly",484,8
444,"absolus","apsOly",580,7
445,"absolvaient","apsOlvE",1,11
446,"absolvait","apsOlvE",3,9
447,"absolvant","apsOlv@",3,9
448,"absolve","apsOlv",6,7
449,"absolvent","apsOlv",9,9
450,"absorba","apsORba",39,7
451,"absorbables","apsORbabl",13,11
452,"absorbai","apsORbE",1,8
453,"absorbaient","apsORbE",32,11
454,"absorbais","apsORbE",3,9
455,"absorbait","apsORbE",65,9
456,"absorbant","apsORb@",651,9
457,"absorbante","apsORb@t",115,10
458,"absorbantes","apsORb@t",84,11
459,"absorbants","apsORb@",188,10
460,"absorbât","apsORba",1,8
461,"absorbe","apsORb",785,7
462,"absorbé","apsORbe",845,7
463,"absorbée","apsORbe",673,8
464,"absorbées","apsORbe",218,9
465,"absorbent","apsORb",409,9
466,"absorber","apsORbe",1392,8
467,"absorbèrent","apsORbER",6,11
468,"absorbés","apsORbe",348,8
469,"absorbeur","apsORb9R",51,9
470,"absorbeurs","apsORb9R",60,10
471,"absorbions","apsORbjA",1,10
472,"absorbons","apsORbA",18,9
473,"absorption","apsORpsjA",2267,10
474,"absorptions","apsORpsjA",51,11
475,"absoudrait","apsudRE",1,10
476,"absoudre","apsudR",87,8
477,"absous","apsu",68,6
478,"absout","apsu",53,6
479,"absoute","apsut",20,7
480,"absoutes","apsut",4,8
481,"abstenaient","apstOnE",17,11
482,"abstenais","apstOnE",3,9
483,"abstenait","apstOnE",20,9
484,"abstenant","apstOn@",141,9
485,"abstenez","apstOne",82,8
486,"abstenions","apstOnjA",3,10
487,"abstenons","apstOnA",18,9
488,"abstention","apst@sjA",899,10
489,"abstentions","apst@sjA",612,11
490,"abstenu","apstOny",246,7
491,"abstenue","apstOny",79,8
492,"abstenues","apstOny",17,9
493,"abstenus","apstOny",208,8
494,"abstiendra","apstj5dRa",90,10
495,"abstiendrai","apstj5dRE",62,11
496,"abstiendraient","apstj5dRE",10,14
497,"abstiendrait","apstj5dRE",21,12
498,"abstiendras","apstj5dRa",2,11
499,"abstiendrions","apstj5dRjA",1,13
500,"abstiendrons","apstj5dRA",40,12
501,"abstiendront","apstj5dRA",44,12
502,"abstienne","apstjEn",73,9
503,"abstiennent","apstjEn",199,11
504,"abstiens","apstj5",76,8
505,"abstient","apstj5",266,8
506,"abstinence","apstin@s",364,10
507,"abstinences","apstin@s",15,11
508,"abstinent","apstin@",23,9
509,"abstinrent","apst5R",9,10
510,"abstins","apst5",4,7
511,"abstint","apst5",24,7
512,"abstînt","apst5",2,7
513,"abstract","apstRakt",2030,8
514,"abstracteur","apstRakt9R",5,11
515,"abstracteurs","apstRakt9R",2,12
516,"abstraction","apstRaksjA",1918,11
517,"abstractions","apstRaksjA",198,12
518,"abstracts","apstRakt",580,9
519,"abstraire","apstRER",123,9
520,"abstrais","apstRE",1,8
521,"abstrait","apstRE",1275,8
522,"abstraite","apstREt",1037,9
523,"abstraitement","apstREtm@",50,13
524,"abstraites","apstREt",579,10
525,"abstraits","apstRE",516,9
526,"abstrus","apstRy",8,7
527,"abstruse","apstRyz",6,8
528,"abstruses","apstRyz",5,9
529,"absurde","apsyRd",1899,7
530,"absurdes","apsyRd",409,8
531,"abus","aby",5136,4
532,"abusa","abyza",20,5
533,"abusai","abyzE",2,6
534,"abusaient","abyzE",21,9
535,"abusais","abyzE",6,7
536,"abusait","abyzE",44,7
537,"abusant","abyz@",116,7
538,"abusât","abyza",6,6
539,"abuse","abyz",998,5
540,"abusé","abyze",536,5
541,"abusée","abyze",61,6
542,"abusées","abyze",34,7
543,"abusent","abyz",251,7
544,"abuser","abyze",898,6
545,"abusera","abyzRa",15,7
546,"abuserai","abyzRE",12,8
547,"abuserais","abyzRE",3,9
548,"abuserait","abyzRE",10,9
549,"abusèrent","abyzER",10,9
550,"abuserez","abyzRe",5,8
551,"abuses","abyz",54,6
552,"abusés","abyze",123,6
553,"abusez","abyze",127,6
554,"abusif","abyzif",779,6
555,"abusifs","abyzif",280,7
556,"abusive","abyziv",1014,7
557,"abusives","abyziv",502,8
558,"abyme","abim",82,5
559,"abymes","abim",103,6
560,"abyssal","abisal",43,7
561,"abyssale","abisal",44,8
562,"abyssales","abisal",41,9
563,"abyssaux","abisO",15,8
564,"abysse","abis",77,6
565,"abysses","abis",135,7
566,"abyssin","abis5",35,7
567,"abyssine","abisin",4,8
568,"abyssins","abis5",22,8
569,"acabit","akabi",195,6
570,"acabits","akabi",10,7
571,"acacia","akasja",432,6
572,"acacias","akasja",381,7
573,"acadiens","akadj5",571,8
574,"acajou","akaZu",473,6
575,"acajous","akaZu",12,7
576,"acanthaires","ak@tER",1,11
577,"acanthe","ak@t",98,7
578,"acanthes","ak@t",60,8
579,"acariâtre","akaRjatR",51,9
580,"acariâtres","akaRjatR",10,10
581,"acariens","akaRj5",277,8
582,"accabla","akabla",25,7
583,"accablai","akablE",1,8
584,"accablaient","akablE",23,11
585,"accablais","akablE",2,9
586,"accablait","akablE",47,9
587,"accablant","akabl@",246,9
588,"accablante","akabl@t",162,10
589,"accablantes","akabl@t",84,11
590,"accablants","akabl@",87,10
591,"accablât","akabla",1,8
592,"accable","akabl",211,7
593,"accablé","akable",292,7
594,"accablée","akable",101,8
595,"accablées","akable",24,9
596,"accablent","akabl",109,9
597,"accabler","akable",175,8
598,"accablèrent","akablER",9,11
599,"accablés","akable",131,8
600,"accablez","akable",22,8
601,"accalmie","akalmi",265,8
602,"accalmies","akalmi",23,9
603,"accapare","akapaR",138,8
604,"accaparent","akapaR",109,10
605,"accéda","akseda",67,6
606,"accédai","aksedE",1,7
607,"accédaient","aksedE",32,10
608,"accédais","aksedE",4,8
609,"accédait","aksedE",81,8
610,"accédâmes","aksedam",0,9
611,"accédant","aksed@",555,8
612,"accédât","akseda",1,7
613,"accédé","aksede",537,6
614,"accède","aksEd",1646,6
615,"accèdent","aksEd",705,8
616,"accéder","aksede",20766,7
617,"accédera","aksedRa",68,8
618,"accéderaient","aksedRE",9,12
619,"accéderais","aksedRE",0,10
620,"accéderait","aksedRE",18,10
621,"accédèrent","aksedER",16,10
622,"accédions","aksedjA",3,9
623,"accédons","aksedA",32,8
624,"accélère","akselER",1422,8
625,"accélèrent","akselER",357,10
626,"accélères","akselER",4,9
627,"accent","aks@",8489,6
628,"accents","aks@",1855,7
629,"accentua","aks@t8a",43,8
630,"accentuai","aks@t8E",1,9
631,"accentuaient","aks@t8E",19,12
632,"accentuais","aks@t8E",0,10
633,"accentuait","aks@t8E",53,10
634,"accentuant","aks@t8@",259,10
635,"accentuât","aks@t8a",0,9
636,"accentue","aks@ty",942,8
637,"accentué","aks@t8e",684,8
638,"accentuée","aks@t8e",598,9
639,"accentuées","aks@t8e",274,10
640,"accentuent","aks@ty",322,10
641,"accentuer","aks@t8e",1247,9
642,"accentuèrent","aks@t8ER",11,12
643,"accentués","aks@t8e",802,9
644,"accepta","aksEpta",549,7
645,"acceptable","aksEptabl",3673,10
646,"acceptables","aksEptabl",1535,11
647,"acceptai","aksEptE",51,8
648,"acceptaient","aksEptE",241,11
649,"acceptais","aksEptE",70,9
650,"acceptait","aksEptE",504,9
651,"acceptâmes","aksEptam",6,10
652,"acceptant","aksEpt@",1529,9
653,"acceptassent","aksEptas",1,12
654,"acceptasses","aksEptas",0,11
655,"acceptât","aksEpta",14,8
656,"accepte","aksEpt",7640,7
657,"accepté","aksEpte",8604,7
658,"acceptée","aksEpte",2725,8
659,"acceptées","aksEpte",2055,9
660,"acceptent","aksEpt",2694,9
661,"accepter","aksEpte",12760,8
662,"acceptera","aksEptRa",671,9
663,"accepterai","aksEptRE",94,10
664,"accepteraient","aksEptRE",224,13
665,"accepterais","aksEptRE",83,11
666,"accepterait","aksEptRE",405,11
667,"accepteras","aksEptRa",13,10
668,"acceptèrent","aksEptER",141,11
669,"accepterez","aksEptRe",69,10
670,"accepterons","aksEptRA",158,11
671,"accepteront","aksEptRA",337,11
672,"acceptes","aksEpt",196,8
673,"acceptés","aksEpte",2357,8
674,"accepteur","aksEpt9R",39,9
675,"accepteurs","aksEpt9R",25,10
676,"acceptez","aksEpte",1150,8
677,"acceptiez","aksEptje",82,9
678,"acception","aksEpsjA",534,9
679,"acceptions","aksEptjA",229,10
680,"acceptons","aksEptA",924,9
681,"accès","aksE",62591,5
682,"accessible","aksesibl",11402,10
683,"accessibles","aksesibl",8113,11
684,"accession","aksEsjA",1779,9
685,"accessit","aksesit",78,8
686,"accessits","aksesit",52,9
687,"accessoire","akseswaR",1779,10
688,"accessoires","akseswaR",11434,11
689,"accident","aksid@",8668,8
690,"accidente","aksid@t",18,9
691,"accidents","aksid@",6227,9
692,"accise","aksiz",429,6
693,"acclama","aklama",8,7
694,"acclamaient","aklamE",11,11
695,"acclamait","aklamE",14,9
696,"acclamant","aklam@",13,9
697,"acclame","aklam",53,7
698,"acclamé","aklame",169,7
699,"acclamée","aklame",46,8
700,"acclamées","aklame",10,9
701,"acclament","aklam",29,9
702,"acclamer","aklame",73,8
703,"acclamerait","aklamRE",1,11
704,"acclamèrent","aklamER",6,11
705,"acclamés","aklame",38,8
706,"acclamons","aklamA",8,9
707,"acclimate","aklimat",20,9
708,"acclimatent","aklimat",12,11
709,"acclimates","aklimat",0,10
710,"accointance","akw5t@s",19,11
711,"accointances","akw5t@s",77,12
712,"accointe","akw5t",0,8
713,"accointé","akw5te",1,8
714,"accointés","akw5te",0,9
715,"accola","akOla",8,6
716,"accolade","akOlad",165,8
717,"accolades","akOlad",147,9
718,"accolage","akOlaZ",2,8
719,"accolait","akOlE",2,8
720,"accole","akOl",34,6
721,"accolé","akOle",142,6
722,"accolée","akOle",87,7
723,"accolées","akOle",79,8
724,"accolement","akOlm@",21,10
725,"accolent","akOl",11,8
726,"accoler","akOle",76,7
727,"accoleraient","akOlRE",0,12
728,"accolés","akOle",127,7
729,"accommode","akOmOd",292,9
730,"accommodent","akOmOd",131,11
731,"accompagne","akApaN",5723,10
732,"accompagnent","akApaN",2689,12
733,"accompagnes","akApaN",66,11
734,"accompli","akApli",4266,8
735,"accomplie","akApli",1240,9
736,"accomplies","akApli",784,10
737,"accomplir","akApliR",5559,9
738,"accomplirent","akApliR",35,12
739,"accomplis","akApli",2184,9
740,"accomplisse","akAplis",183,11
741,"accomplissent","akAplis",684,13
742,"accomplit","akApli",1366,9
743,"accomplît","akApli",21,9
744,"acconage","akOnaZ",16,8
745,"accons","akA",3,6
746,"accord","akOR",40769,6
747,"accorda","akORda",292,7
748,"accordai","akORdE",7,8
749,"accordaient","akORdE",206,11
750,"accordailles","akORdaj",8,12
751,"accordais","akORdE",22,9
752,"accordait","akORdE",575,9
753,"accordant","akORd@",1508,9
754,"accordas","akORda",1,8
755,"accordassent","akORdas",3,12
756,"accordât","akORda",14,8
757,"accorde","akORd",5817,7
758,"accordé","akORde",6627,7
759,"accordée","akORde",6383,8
760,"accordées","akORde",2704,9
761,"accordent","akORd",2332,9
762,"accorder","akORde",7293,8
763,"accordèrent","akORdER",71,11
764,"accordes","akORd",70,8
765,"accordés","akORde",2546,8
766,"accordeur","akORd9R",51,9
767,"accordez","akORde",372,8
768,"accordiez","akORdje",24,9
769,"accordions","akORdjA",50,10
770,"accordons","akORdA",425,9
771,"accords","akOR",9771,7
772,"accore","akOR",10,6
773,"accores","akOR",6,7
774,"accorné","akORne",2,7
775,"accort","akOR",16,6
776,"accorte","akORt",19,7
777,"accortes","akORt",7,8
778,"accorts","akOR",1,7
779,"accosta","akOsta",27,7
780,"accostable","akOstabl",2,10
781,"accostage","akOstaZ",116,9
782,"accostaient","akOstE",11,11
783,"accostais","akOstE",0,9
784,"accostait","akOstE",10,9
785,"accostant","akOst@",19,9
786,"accoste","akOst",85,7
787,"accosté","akOste",124,7
788,"accostée","akOste",37,8
789,"accostées","akOste",6,9
790,"accostent","akOst",36,9
791,"accoster","akOste",133,8
792,"accostiez","akOstje",0,9
793,"accota","akOta",2,6
794,"accotaient","akOtE",0,10
795,"accotais","akOtE",0,8
796,"accotait","akOtE",2,8
797,"accotant","akOt@",1,8
798,"accote","akOt",7,6
799,"accoté","akOte",14,6
800,"accotée","akOte",5,7
801,"accotées","akOte",1,8
802,"accotement","akOtm@",68,10
803,"accotements","akOtm@",62,11
804,"accotent","akOt",1,8
805,"accoter","akOte",11,7
806,"accotèrent","akOtER",0,10
807,"accotés","akOte",6,7
808,"accotoirs","akOtwaR",12,9
809,"accotons","akOtA",0,8
810,"accouardie","akwaRdi",0,10
811,"accoucha","akuSa",47,8
812,"accouchaient","akuSE",9,12
813,"accouchait","akuSE",16,10
814,"accouchant","akuS@",26,10
815,"accouche","akuS",187,8
816,"accouché","akuSe",261,8
817,"accouchée","akuSe",60,9
818,"accouchées","akuSe",41,10
819,"accouchement","akuSm@",1448,12
820,"accouchements","akuSm@",257,13
821,"accouchent","akuS",57,10
822,"accoucher","akuSe",418,9
823,"accoucherais","akuSRE",1,12
824,"accoucherait","akuSRE",7,12
825,"accouches","akuS",3,9
826,"accouchés","akuSe",4,9
