,word,freq,len,pron,phlen
199,adolescence,13.78,11,adoles@s,8
200,adolescent,32.63,10,adoles@,7
201,adonner,5.74,7,adone,5
202,adopter,29.86,7,adOpte,6
203,adoptif,3.38,7,adOptif,7
204,adoption,2.91,8,adOpsj&,7
205,adorable,7.97,8,adoRabl,7
206,adorateur,1.82,9,adoRat9R,8
207,adoration,5.07,9,adoRasj&,8
208,adorer,44.59,6,adoRe,5
209,adosser,16.89,7,adose,5
210,adoucir,11.01,7,adusiR,6
211,adresse,49.8,7,adREs,5
212,adresser,98.04,8,adRese,6
213,adroit,4.86,6,adRwa,5
214,adroitement,1.96,11,adRwat°m@,9
215,aduler,1.62,6,adyle,5
216,adulte,38.65,6,adylt,5
217,advenir,9.39,7,adv°niR,7
218,adversaire,25.14,10,advERsER,8
219,adverse,4.32,7,advERs,6
220,affable,3.78,7,afabl,5
221,affabulation,1.22,12,afabylasj&,10
223,affaibli,2.57,8,afEbli,6
224,affaiblir,7.84,9,afebliR,7
225,affaiblissement,1.49,15,afeblis°m@,10
226,affaire,253.38,7,afER,4
227,affairer,13.38,8,afERe,5
228,affaissement,1.55,12,afEs°m@,7
229,affaisser,11.22,9,afese,5
230,affaler,14.05,7,afale,5
231,affamer,3.72,7,afame,5
232,affectation,5.27,11,afEktasj&,9
233,affecter,25.34,8,afEkte,6
234,affectif,2.91,8,afEktif,7
235,affection,31.22,9,afEksj&,7
237,affectueusement,3.38,15,afEkt82z°m@,11
238,affectueux,14.59,10,afEkt82,7
239,affermir,5.61,8,afERmiR,7
240,affichage,1.49,9,afiSaZ,6
241,affiche,19.86,7,afiS,4
242,afficher,19.26,8,afiSe,5
243,affichette,1.35,10,afiSEt,6
244,affiner,3.38,7,afine,5
245,affirmatif,1.89,10,afiRmatif,9
246,affirmation,6.42,11,afiRmasj&,9
247,affirmer,63.51,8,afiRme,6
249,affliction,2.77,10,afliksj&,8
250,affligeant,1.62,10,afliZ@,6
251,affliger,5.95,8,afliZe,6
252,affluence,2.64,9,afly@s,6
253,affluer,7.5,7,aflye,5
254,afflux,2.3,6,afly,4
255,affolant,2.57,8,afol@,5
256,affolement,5.34,10,afOl°m@,7
257,affoler,20.54,7,afole,5
258,affranchi,3.31,9,afR@Si,6
259,affranchir,11.42,10,afR@SiR,7
260,affreusement,5.61,12,afR2z°m@,8
261,affreux,43.24,7,afR2,4
262,affront,3.85,7,afR&,4
263,affrontement,4.05,12,afR&t°m@,8
264,affronter,22.43,9,afR&te,6
265,affubler,6.55,8,afyble,6
267,africain,16.14,8,afRik5,6
268,aga,6.01,3,aga,3
269,agacement,7.57,9,agas°m@,7
270,agacer,30.68,6,agase,5
271,agate,1.22,5,agat,4
272,agence,17.77,6,aZ@s,4
273,agencement,1.89,10,aZ@s°m@,7
274,agencer,2.91,7,aZ@se,5
275,agenda,6.08,6,aZ5da,5
276,agenouiller,23.31,11,aZ°nuje,7
277,agent,39.26,5,aZ@,3
278,agglutiner,6.55,10,aglytine,8
279,aggraver,10.54,8,agRave,6
280,agile,5.0,5,aZil,4
281,agir,219.73,4,aZiR,4
282,agissement,1.08,10,aZis°m@,7
283,agitateur,1.89,9,aZitat9R,8
284,agitation,21.35,9,aZitasj&,8
285,agiter,89.19,6,aZite,5
286,agneau,8.78,6,aNo,3
287,agonie,14.59,6,agoni,5
288,agonisant,5.68,9,agoniz@,7
289,agoniser,5.34,8,agonize,7
290,agrafe,2.43,6,agRaf,5
291,agrafer,2.36,7,agRafe,6
292,agrandir,16.15,8,agR@diR,7
293,agrandissement,1.69,14,agR@dis°m@,10
294,agresser,2.97,8,agRese,6
295,agresseur,3.78,9,agREs9R,7
296,agressif,15.88,8,agREsif,7
297,agression,6.15,9,agREsj&,7
298,agressivement,1.01,13,agResiv°m@,10
299,agricole,7.36,8,agRikOl,7
300,agriculteur,1.76,11,agRikylt9R,10
301,agriculture,2.77,11,agRikyltyR,10
302,agripper,17.57,8,agRipe,6
303,aguerri,1.01,7,agERi,5
304,ah,297.16,2,a,1
306,ahuri,10.74,5,ayRi,4
308,ahurissant,2.16,10,ayRis@,6
310,aide,55.54,4,Ed,2
311,aider,158.65,5,ede,3
312,aigle,11.35,5,Egl,3
313,aigre,11.69,5,EgR,3
316,aigrette,2.64,8,EgREt,5
317,aigreur,4.32,7,EgR9R,5
318,aigri,1.08,5,egRi,4
319,aigrir,2.09,6,egRiR,5
320,aigu,35.27,4,egy,3
321,aiguillage,2.16,10,eg8ijaZ,7
322,aiguille,34.19,8,eg8ij,5
323,aiguiller,3.24,9,eg8ije,6
324,aiguillon,2.5,9,eg8ij&,6
325,aiguillonner,1.55,12,eg8ijone,8
326,aiguiser,7.36,8,egize,5
327,ail,7.97,3,aj,2
328,aile,60.47,4,El,2
329,aileron,1.49,7,El°R&,5
330,ailier,1.35,6,elje,4
331,ailleurs,346.35,8,aj9R,4
332,aimable,29.26,7,Emabl,5
333,aimablement,3.85,11,Emabl°m@,8
334,aimant,5.67,6,Em@,3
335,aimanter,2.3,8,Em@te,5
336,aimer,795.61,5,eme,3
337,aine,2.77,4,En,2
338,ainsi,469.46,5,5si,3
339,air,690.81,3,ER,2
340,airain,1.69,6,ER5,3
341,aire,5.14,4,ER,2
342,aisance,15.41,7,Ez@s,4
343,aise,54.06,4,Ez,2
344,aisselle,8.99,8,EsEl,4
346,ajouter,224.66,7,aZute,5
347,ajuster,10.41,7,aZyste,6
348,alambic,1.22,7,al@bik,6
349,alangui,2.3,7,al@gi,5
351,alarmant,2.84,8,alaRm@,6
352,alarme,7.84,6,alaRm,5
353,alarmer,6.28,7,alaRme,6
354,albanais,2.43,8,albanE,6
355,albatros,1.15,8,albatRos,8
356,album,18.38,5,albOm,5
357,alcazar,1.69,7,alkazaR,7
358,alchimie,1.96,8,alSimi,6
359,alchimique,1.15,10,alSimik,7
360,alchimiste,2.84,10,alSimist,8
361,alcool,42.84,6,alkOl,5
362,alcoolique,3.71,10,alkolik,7
363,alentour,8.92,8,al@tuR,6
364,alerte,20.0,6,alERt,5
365,alerter,12.91,7,alERte,6
366,alexandrin,1.89,10,alEks@dR5,9
367,alezan,3.71,6,al°z@,5
368,alfa,1.01,4,alfa,4
369,algarade,1.96,8,algaRad,7
370,algue,12.03,5,alg,3
372,alias,3.85,5,aljas,5
373,alibi,6.82,5,alibi,5
374,alignement,5.14,10,aliN°m@,7
375,aligner,26.69,7,aliNe,5
376,aliment,6.62,7,alim@,5
377,alimentaire,4.8,11,alim@tER,8
378,alimentation,4.19,12,alim@tasj&,10
379,alimenter,8.92,9,alim@te,7
380,aliter,1.49,6,alite,5
381,allaiter,1.55,8,alete,5
382,allant,7.23,6,al@,3
383,allemand,178.1,8,al°m@,5
384,aller,2863.71,5,ale,3
385,alliage,1.01,7,aljaZ,5
386,alliance,24.73,8,alj@s,5
387,allier,7.97,6,alje,4
388,allo,2.16,4,alo,3
389,allocation,1.55,10,alokasj&,8
390,allocution,4.12,10,alokysj&,8
391,allonger,89.66,8,al&Ze,5
392,allouer,2.09,7,alwe,4
393,allumage,1.35,8,alymaZ,6
394,allumer,116.28,7,alyme,5
395,allumette,20.88,9,alymEt,6
396,allumeur,1.15,8,alym9R,6
397,allure,65.88,6,alyR,4
399,allusion,31.15,8,alyzj&,6
400,almanach,1.89,8,almanak,7
401,aloi,1.89,4,alwa,4
402,alors,1033.78,5,alOR,4
403,alouette,4.32,8,alwEt,5
404,alourdir,15.34,8,aluRdiR,7
405,alpaga,1.28,6,alpaga,6
406,alpaguer,2.16,8,alpage,6
407,alphabet,4.73,8,alfabE,6
408,alpin,3.04,5,alp5,4
409,alpiniste,1.49,9,alpinist,8
410,alsacien,7.23,8,alzasj5,7
411,altercation,1.49,11,altERkasj&,10
412,alternance,3.78,10,altERn@s,8
413,alternative,2.23,11,altERnativ,10
414,alternativement,5.88,15,altERnativ°m@,13
415,alterner,6.82,8,altERne,7
416,altesse,4.05,7,altEs,5
417,altier,2.91,6,altje,5
418,altitude,6.96,8,altityd,7
419,alto,1.08,4,alto,4
420,aluminium,4.32,9,alyminjOm,9
421,amadou,1.76,6,amadu,5
422,amadouer,3.58,8,amadwe,6
423,amaigri,2.16,7,amegRi,6
424,amalgame,2.03,8,amalgam,7
426,amande,8.18,6,am@d,4
427,amandier,2.23,8,am@dje,6
428,amant,69.59,5,am@,3
429,amante,6.76,6,am@t,4
430,amarre,4.66,6,amaR,4
431,amarrer,6.69,7,amaRe,5
432,amaryllis,1.22,9,amaRilis,8
433,amas,9.32,4,ama,3
434,amasser,8.24,7,amase,5
435,amateur,21.69,7,amat9R,6
436,amazone,2.23,7,amazon,6
437,ambassade,15.34,9,@basad,6
438,ambassadeur,33.72,11,@basad9R,8
439,ambiance,11.55,8,@bj@s,5
440,ambiant,4.05,7,@bj@,4
441,ambigu,8.99,6,@bigy,5
442,ambitieux,6.69,9,@bisj2,6
443,ambition,30.34,8,@bisj&,6
445,ambre,4.39,5,@bR,3
446,ambulance,11.69,9,@byl@s,6
447,ambulancier,1.69,11,@byl@sje,8
448,ambulant,5.41,8,@byl@,5
449,amen,3.45,4,amEn,4
450,amende,4.8,6,am@d,4
451,amender,1.08,7,am@de,5
452,amener,93.92,6,am°ne,5
453,amenuiser,4.19,9,am2n8ize,8
454,amer,31.42,4,amER,4
455,amerloque,1.76,9,amERlOk,7
456,amertume,19.39,8,amERtym,7
457,ameuter,3.51,7,am2te,5
458,ami,380.07,3,ami,3
459,amiable,1.82,7,amjabl,6
460,amical,23.04,6,amikal,6
461,amicale,1.62,7,amikal,6
462,amicalement,4.12,11,amikal°m@,9
463,amidonner,1.89,9,amidone,7
464,amigo,1.08,5,amigo,5
465,amincir,2.3,7,am5siR,6
466,amiral,22.09,6,amiRal,6
467,amnistie,1.89,8,amnisti,7
468,amocher,2.77,7,amoSe,5
469,amoindrir,2.36,9,amw5dRiR,8
470,amollir,5.41,7,amoliR,6
471,amonceler,4.86,9,am&s°le,7
472,amoncellement,6.08,13,am&sEl°m@,9
473,amont,3.85,5,am&,3
474,amorce,4.59,6,amORs,5
475,amorcer,11.89,7,amORse,6
476,amorphe,1.42,7,amORf,5
477,amorti,1.55,6,amORti,6
478,amortir,4.93,7,amORtiR,7
479,amour,403.92,5,amuR,4
480,amouracher,1.15,10,amuRaSe,7
481,amourette,1.15,9,amuREt,6
482,amoureusement,2.5,13,amuR2z°m@,9
483,amoureux,82.17,8,amuR2,5
484,amphi,1.08,5,@fi,3
485,amphore,1.35,7,@fOR,4
486,ample,11.89,5,@pl,3
487,amplement,1.82,9,@pl°m@,6
488,ampleur,7.57,7,@pl9R,5
489,ampli,1.15,5,@pli,4
490,amplifier,8.65,9,@plifje,7
491,amplitude,1.76,9,@plityd,7
492,ampoule,19.12,7,@pul,4
493,amputation,1.62,10,@pytasj&,8
494,amputer,2.77,7,@pyte,5
495,amulette,1.08,8,amylEt,6
496,amusant,18.85,7,amyz@,5
497,amusement,7.3,9,amyz°m@,7
498,amuser,120.95,6,amyze,5
499,amusette,1.15,8,amyzEt,6
500,an,685.81,2,@,1
501,anachronique,2.36,12,anakRonik,9
502,analogie,2.03,8,analoZi,7
503,analogue,6.82,8,analOg,6
504,analyse,12.43,7,analiz,6
505,analyser,7.43,8,analize,7
506,analyste,1.08,8,analist,7
507,ananas,3.51,6,anana,5
508,anarchie,4.8,8,anaRSi,6
509,anarchique,1.15,10,anaRSik,7
510,anarchiste,7.3,10,anaRSist,8
511,anatomie,4.8,8,anatomi,7
512,anatomique,1.69,10,anatomik,8
513,ancestral,5.41,9,@sEstRal,8
514,anchois,2.57,7,@Swa,4
515,ancien,184.52,6,@sj5,4
516,anciennement,1.01,12,@sjEn°m@,8
517,ancre,5.81,5,@kR,3
518,ancrer,5.54,6,@kRe,4
519,andalou,3.92,7,@dalu,5
520,andouille,6.28,9,@duj,4
522,anecdote,12.91,8,anEkdOt,7
523,ange,42.5,4,@Z,2
524,angelot,1.49,7,@Z°lo,5
525,angine,2.57,6,@Zin,4
526,anglais,141.22,7,@glE,4
527,angle,57.64,5,@gl,3
528,angoissant,4.19,10,@gwas@,6
529,angoisse,68.99,8,@gwas,5
530,angoisser,5.88,9,@gwase,6
531,anguille,3.31,8,@gij,4
532,anguleux,3.24,8,@gyl2,5
533,animal,96.83,6,animal,6
534,animateur,2.23,9,animat9R,8
535,animation,8.31,9,animasj&,8
536,animaux,2.3,7,animo,5
537,animer,33.78,6,anime,5
538,anis,2.5,4,anis,4
539,anisette,1.15,8,anizEt,6
540,annales,1.76,7,anal,4
541,anneau,17.5,6,ano,3
542,annexe,4.19,6,anEks,5
543,annexer,3.45,7,anEkse,6
544,anniversaire,16.82,12,anivERsER,9
545,annonce,16.62,7,an&s,4
546,annoncer,133.92,8,an&se,5
547,annonciateur,2.3,12,an&sjat9R,9
548,annuaire,3.78,8,an8ER,5
549,annuel,4.12,6,an8El,5
550,annulaire,2.64,9,anylER,6
551,annuler,5.47,7,anyle,5
552,anodin,8.65,6,anod5,5
553,anomalie,2.16,8,anomali,7
554,anonymat,3.04,8,anonima,7
555,anonyme,16.62,7,anonim,6
556,anormal,10.07,7,anORmal,7
557,anormalement,1.15,12,anORmal°m@,10
558,anse,6.08,4,@s,2
559,antagonisme,1.55,11,@tagonizm,9
560,antan,4.86,5,@t@,3
561,antenne,8.45,7,@tEn,4
562,anthracite,2.97,10,@tRasit,7
563,antibiotique,1.55,12,@tibjotik,9
564,antichambre,8.58,11,@tiS@bR,7
565,antichar,1.89,8,@tiSaR,6
566,anticipation,2.23,12,@tisipasj&,10
567,anticiper,3.31,9,@tisipe,7
568,anticommuniste,1.82,14,@tikomynist,11
569,antidote,1.35,8,@tidOt,6
571,antillais,4.12,9,@tijE,5
572,antilope,2.16,8,@tilOp,6
573,antipathie,1.82,10,@tipati,7
574,antipathique,2.03,12,@tipatik,8
575,antipode,2.43,8,@tipOd,6
576,antiquaire,7.03,10,@tikER,6
577,antique,18.78,7,@tik,4
578,antre,4.66,5,@tR,3
579,anus,1.82,4,anys,4
580,anxieusement,2.36,12,@ksj2z°m@,9
581,anxieux,10.47,7,@ksj2,5
582,apache,1.28,6,apaS,4
583,apaisant,6.62,8,apEz@,5
584,apaisement,7.23,10,apEz°m@,7
585,apaiser,35.0,7,apeze,5
586,apanage,1.22,7,apanaZ,6
587,apathie,1.49,7,apati,5
588,apercevoir,233.11,10,apERs°vwaR,10
589,apeurer,1.76,7,ap9Re,5
590,aphone,1.01,6,afOn,4
591,apitoyer,6.22,8,apitwaje,8
592,aplanir,2.57,7,aplaniR,7
593,aplati,3.65,6,aplati,6
594,aplatir,14.53,7,aplatiR,7
595,aplomb,9.05,6,apl&,4
596,apocalypse,6.35,10,apokalips,9
597,apocalyptique,1.76,13,apokaliptik,11
598,apologie,1.22,8,apoloZi,7
599,apostolat,1.08,9,apostola,8
600,apostolique,1.96,11,apostolik,9
601,apostrophe,1.76,10,apostROf,8
602,apostropher,3.31,11,apostRofe,9
603,apothicaire,1.28,11,apotikER,8
604,apparat,4.86,7,apaRa,5
605,appareil,44.66,8,apaREj,6
606,appareillage,1.89,12,apaREjaZ,8
607,appareiller,2.97,11,apaReje,7
608,apparemment,29.53,11,apaRam@,7
609,apparence,48.51,9,apaR@s,6
610,apparent,19.32,8,apaR@,5
611,apparenter,4.86,10,apaR@te,7
612,apparition,32.64,10,apaRisj&,8
613,appart,2.03,6,apaRt,5
614,appartement,99.26,11,apaRt°m@,8
615,appartenance,3.45,12,apaRt°n@s,9
616,appartenir,92.36,10,apaRt°niR,9
617,appauvrir,1.89,9,apovRiR,7
618,appel,73.45,5,apEl,4
619,appeler,465.34,7,ap°le,5
620,appellation,3.31,11,apelasj&,8
621,appendice,1.96,9,ap5dis,6
622,appendicite,1.08,11,ap5disit,8
623,appentis,2.64,8,ap@ti,5
624,appesantir,3.04,10,ap°z@tiR,8
625,applaudir,17.97,9,aplodiR,7
626,applaudissement,9.26,15,aplodis°m@,10
627,applicable,1.01,10,aplikabl,8
628,application,15.88,11,aplikasj&,9
629,applique,1.35,8,aplik,5
630,appliquer,47.84,9,aplike,6
631,appoint,1.76,7,apw5,4
632,apport,1.82,6,apOR,4
633,apporter,159.32,8,apORte,6
634,apposer,3.04,7,apoze,5
635,apprendre,286.69,9,apR@dR,6
636,apprenti,17.64,8,apR@ti,6
637,apprentissage,10.47,13,apR@tisaZ,9
638,appris,1.49,6,apRi,4
639,apprivoiser,10.54,11,apRivwaze,9
641,approbation,9.8,11,apRobasj&,9
642,approchant,1.82,10,apRoS@,6
643,approche,25.41,8,apROS,5
644,approcher,196.15,9,apRoSe,6
645,approfondi,1.69,10,apRof&di,8
646,approfondir,7.57,11,apRof&diR,9
647,approprier,5.47,10,apRopRije,9
648,approuver,36.08,9,apRuve,6
649,approvisionner,2.16,14,apRovizjone,11
650,approximatif,3.65,12,apROksimatif,12
651,approximation,1.35,13,apROksimasj&,12
652,appui,30.81,5,ap8i,4
653,appuyer,126.01,7,ap8ije,6
654,apte,4.59,4,apt,3
655,aptitude,4.59,8,aptityd,7
656,aquarelle,8.85,9,akwaREl,7
657,aquarium,5.88,8,akwaRjOm,8
658,aquatique,1.89,9,akwatik,7
659,aqueduc,1.15,7,ak°dyk,6
660,aquilin,1.08,7,akil5,5
661,arabe,57.91,5,aRab,4
662,arabesque,4.53,9,aRabEsk,7
663,arbitraire,5.74,10,aRbitRER,8
664,arbitre,5.34,7,aRbitR,6
665,arbitrer,1.08,8,aRbitRe,7
666,arborer,10.61,7,aRboRe,6
667,arbre,208.58,5,aRbR,4
668,arbrisseau,1.28,10,aRbRiso,7
669,arbuste,7.3,7,aRbyst,6
670,arc,17.3,3,aRk,3
671,arcade,12.36,6,aRkad,5
672,arcane,1.35,6,aRkan,5
673,arceau,3.04,6,aRso,4
674,archange,4.46,8,aRk@Z,5
675,arche,7.16,5,aRS,3
676,archer,2.5,6,aRSe,4
677,archet,2.3,6,aRSE,4
678,archiduc,4.46,8,aRSidyk,7
679,archipel,3.85,8,aRSipEl,7
680,architecte,7.7,10,aRSitEkt,8
681,architectural,2.7,13,aRSitEktyRal,12
682,architecture,12.23,12,aRSitEktyR,10
683,archive,8.51,7,aRSiv,5
684,archiviste,1.55,10,aRSivist,8
685,ardemment,5.2,9,aRdam@,6
686,ardent,23.58,6,aRd@,4
687,ardeur,25.74,6,aRd9R,5
688,ardoise,10.81,7,aRdwaz,6
689,ardu,5.0,4,aRdy,4
690,are,1.28,3,aR,2
691,argent,200.61,6,aRZ@,4
692,argenterie,3.99,10,aRZ@t°Ri,8
693,argentin,6.96,8,aRZ@t5,6
694,argile,9.66,6,aRZil,5
695,argot,4.86,5,aRgo,4
697,arguer,1.89,6,aRge,4
698,argument,18.18,8,aRgym@,6
699,argumenter,1.49,10,aRgym@te,8
700,aride,6.15,5,aRid,4
701,aristo,1.08,6,aRisto,6
702,aristocrate,3.58,11,aRistokRat,10
703,aristocratie,3.92,12,aRistokRasi,11
704,aristocratique,2.91,14,aRistokRatik,12
705,armada,1.35,6,aRmada,6
706,armateur,2.3,8,aRmat9R,7
707,armature,2.91,8,aRmatyR,7
708,arme,111.49,4,aRm,3
709,armement,9.8,8,aRm°m@,6
710,armer,28.45,5,aRme,4
711,armistice,15.54,9,aRmistis,8
712,armoire,45.54,7,aRmwaR,6
713,armoirie,1.89,8,aRmwaRi,7
714,armure,8.11,6,aRmyR,5
715,armurier,1.69,8,aRmyRje,7
716,arnaque,5.14,7,aRnak,5
717,arpenter,9.53,8,aRp@te,6
718,arpenteur,1.49,9,aRp@t9R,7
720,arquebuse,8.72,9,aRk°byz,7
721,arquer,2.36,6,aRke,4
722,arrachement,3.11,11,aRaS°m@,7
723,arracher,113.38,8,aRaSe,5
724,arrangement,9.39,11,aR@Z°m@,7
725,arranger,75.81,8,aR@Ze,5
726,arrestation,10.41,11,aREstasj&,9
727,arrimer,2.91,7,aRime,5
728,arrivage,1.96,8,aRivaZ,6
729,arrivant,5.07,8,aRiv@,5
730,arriver,723.04,7,aRive,5
731,arrogance,3.85,9,aRog@s,6
732,arrogant,4.05,8,aRog@,5
734,arrondi,10.95,7,aR&di,5
