id,word,freq,len,,,
347,allspice,0.0588,8,,,
348,allude,0.1961,6,,,
349,allure,0.451,6,,,
350,allured,0.0196,7,,,
351,ally,3.4902,4,,,
352,almond,0.6863,6,,,
353,almonds,1.1569,7,,,
354,almost,166.4902,6,,,
355,alms,0.1961,4,,,
356,aloe,0.2549,4,,,
357,aloes,0.0196,5,,,
358,aloft,0.6667,5,,,
359,alone,298.2745,5,,,
360,along,178.2157,5,,,
361,aloof,0.5294,5,,,
362,aloud,1.7843,5,,,
363,alp,0.0196,3,,,
364,alpha,1.7059,5,,,
365,alpine,0.1176,6,,,
366,alps,0.0392,4,,,
367,alright,34.4118,7,,,
368,also,183.0588,4,,,
369,altar,5.0392,5,,,
370,altars,0.098,6,,,
371,alter,4.2745,5,,,
372,altered,4.2157,7,,,
373,alters,0.3922,6,,,
374,although,14.1176,8,,,
375,alto,0.2353,4,,,
376,altos,0.0588,5,,,
377,alum,0.1176,4,,,
378,always,612.2353,6,,,
379,am,1027.8627,2,,,
380,amah,0.0196,4,,,
381,amass,0.0588,5,,,
382,amassed,0.3922,7,,,
383,amaze,1.4902,5,,,
384,amazed,5.0392,6,,,
385,amber,1.4118,5,,,
386,ambience,0.7255,8,,,
387,ambient,0.3333,7,,,
388,amble,0.098,5,,,
389,ambled,0.0392,6,,,
390,ambling,0.0196,7,,,
391,ambs,0.0196,4,,,
392,ambush,4.8039,6,,,
393,ambushed,1.9608,8,,,
394,amen,1.902,4,,,
395,amend,0.6275,5,,,
396,amends,1.8431,6,,,
397,amid,0.6667,4,,,
398,amidst,0.5489999999999999,6,,,
399,amir,0.0588,4,,,
400,amiss,0.7451,5,,,
401,ammo,5.098,4,,,
402,amok,0.3725,4,,,
403,among,30.2157,5,,,
404,amongst,6.8235,7,,,
405,amount,24.7059,6,,,
406,amounts,3.5294,7,,,
407,amour,1.1961,5,,,
408,amours,0.098,6,,,
409,amp,1.4314,3,,,
410,amperes,0.0196,7,,,
411,ample,1.5686,5,,,
412,amply,0.3529,5,,,
413,ampoules,0.2941,8,,,
414,amps,0.9412,4,,,
415,amuck,0.5098,5,,,
416,amuse,2.4314,5,,,
417,amused,2.5098,6,,,
418,an,1765.6078,2,,,
419,anal,2.2941,4,,,
420,anchor,5.9216,6,,,
421,anchored,0.6863,8,,,
422,anchors,0.5294,7,,,
423,ancient,18.6863,7,,,
424,ancients,0.3529,8,,,
425,ancy,0.0196,4,,,
426,and,10105.1961,3,,,
427,andas,0.0196,5,,,
428,anew,0.8627,4,,,
429,angel,28.0392,5,,,
430,angels,10.1373,6,,,
431,anger,17.6863,5,,,
432,angered,0.5489999999999999,7,,,
433,angers,0.3333,6,,,
434,angle,14.3725,5,,,
435,angled,0.2157,6,,,
436,angler,0.2549,6,,,
437,anglers,0.0392,7,,,
438,angles,3.1569,6,,,
439,angling,0.3529,7,,,
440,angrier,0.6863,7,,,
441,angry,56.6667,5,,,
442,angst,0.8039,5,,,
443,anguish,2.0784,7,,,
444,anguished,0.1765,9,,,
445,anise,0.0588,5,,,
446,ankle,7.8235,5,,,
447,ankles,4.2549,6,,,
448,anklet,0.4118,6,,,
449,anklets,0.098,7,,,
450,anna,0.0196,4,,,
451,annals,0.5294,6,,,
452,annas,0.0196,5,,,
453,annex,0.5489999999999999,5,,,
454,annexe,0.1176,6,,,
455,annexed,0.1373,7,,,
456,announce,9.4902,8,,,
457,announced,5.6275,9,,,
458,annoy,2.4706,5,,,
459,annoyed,3.3333,7,,,
460,annoys,0.5882,6,,,
461,annual,6.1569,6,,,
462,annuals,0.0392,7,,,
463,annul,0.4314,5,,,
464,annulled,0.7843,8,,,
465,anode,0.0196,5,,,
466,anoint,0.1961,6,,,
467,anoints,0.0196,7,,,
468,anon,0.1961,4,,,
469,answer,158.3529,6,,,
470,answered,15.0784,8,,,
471,answers,29.2745,7,,,
472,ant,3.9216,3,,,
473,ante,1.5490000000000002,4,,,
474,antes,0.0392,5,,,
475,anthem,1.4706,6,,,
476,anthems,0.0588,7,,,
477,anther,0.0392,6,,,
478,anthers,0.0196,7,,,
479,anthill,0.5686,7,,,
480,anthills,0.1176,8,,,
481,anthrax,0.7451,7,,,
482,anti,0.3922,4,,,
483,antics,0.9608,6,,,
484,antique,5.8039,7,,,
485,antiques,2.0784,8,,,
486,antler,0.2745,6,,,
487,antlers,0.8431,7,,,
488,ants,6.4510000000000005,4,,,
489,anus,0.9608,4,,,
490,anvil,0.5098,5,,,
491,anvils,0.1569,6,,,
492,anxious,13.8235,7,,,
493,any,977.5098,3,,,
494,apace,0.0588,5,,,
495,apache,0.3333,6,,,
496,apart,44.7255,5,,,
497,ape,7.5882,3,,,
498,apes,3.3725,4,,,
499,apex,0.3529,4,,,
500,aphid,0.0784,5,,,
501,aphids,0.1765,6,,,
502,aphis,0.0588,5,,,
503,apiece,3.8431,6,,,
504,aping,0.0196,5,,,
505,aplomb,0.1569,6,,,
506,appal,0.0392,5,,,
507,appalled,1.1176,8,,,
508,appals,0.0392,6,,,
509,appeal,12.7451,6,,,
510,appealed,1.0784,8,,,
511,appeals,2.3333,7,,,
512,appear,22.901999999999997,6,,,
513,appeared,9.6275,8,,,
514,appears,20.2549,7,,,
515,appease,0.4902,7,,,
516,appeased,0.1765,8,,,
517,apper,0.0196,5,,,
518,applaud,1.9804,7,,,
519,applauds,0.2353,8,,,
520,applause,9.0196,8,,,
521,apple,17.2157,5,,,
522,apples,7.2549,6,,,
523,applied,5.902,7,,,
524,applies,2.4902,7,,,
525,apply,11.6471,5,,,
526,appoint,1.9804,7,,,
527,appoints,0.1176,8,,,
528,apposed,0.0588,7,,,
529,appraise,0.1765,8,,,
530,appraised,0.451,9,,,
531,apprise,0.098,7,,,
532,apprised,0.7255,8,,,
533,approach,19.7059,8,,,
534,approached,4.3137,10,,,
535,approve,11.3529,7,,,
536,approved,6.3137,8,,,
537,approves,0.8627,8,,,
538,april,0.1961,5,,,
539,apron,2.5882,5,,,
540,aprons,0.3333,6,,,
541,apt,1.6275,3,,,
542,aptly,0.3137,5,,,
543,aqu,0.2157,3,,,
544,aqueous,0.0784,7,,,
545,arab,0.0588,4,,,
546,arabs,0.0196,5,,,
547,arbour,0.0196,6,,,
548,arc,1.0392,3,,,
549,arcade,1.7255,6,,,
550,arcades,0.2157,7,,,
551,arcane,0.2157,6,,,
552,arced,0.0588,5,,,
553,arch,2.0980000000000003,4,,,
554,archduke,0.098,8,,,
555,arched,0.1765,6,,,
556,archer,0.4902,6,,,
557,archers,0.6471,7,,,
558,arches,0.7059,6,,,
559,arching,0.1176,7,,,
560,archives,2.2745,8,,,
561,archway,0.2157,7,,,
562,arcing,0.098,6,,,
563,arcs,0.1373,4,,,
564,arctic,0.2745,6,,,
565,ardent,0.5882,6,,,
566,ardour,0.0784,6,,,
567,arduous,0.6667,7,,,
568,are,4430.1176,3,,,
569,area,71.8235,4,,,
570,areas,8.7843,5,,,
571,ares,0.0196,4,,,
572,argent,0.0588,6,,,
573,argon,0.1373,5,,,
574,argot,0.0196,5,,,
575,argue,19.5882,5,,,
576,argued,2.6863,6,,,
577,argues,0.3922,6,,,
578,aria,0.6667,4,,,
579,arias,0.098,5,,,
580,arid,0.2745,4,,,
581,aright,0.1569,6,,,
582,arise,2.0588,5,,,
583,ark,0.902,3,,,
584,arks,0.0588,4,,,
585,arm,63.5098,3,,,
586,armband,0.2549,7,,,
587,armbands,0.1569,8,,,
588,armchair,0.4118,8,,,
589,armchairs,0.0588,9,,,
590,armed,19.7647,5,,,
591,armful,0.2353,6,,,
592,armfuls,0.0196,7,,,
593,armies,3.3137,6,,,
594,arming,0.902,6,,,
595,armless,0.0784,7,,,
596,armoire,0.1569,7,,,
597,armour,1.5686,6,,,
598,armoured,1.0196,8,,,
599,armpit,0.9804,6,,,
600,armpits,0.9608,7,,,
601,arms,56.3333,4,,,
602,army,54.8235,4,,,
603,arose,0.8235,5,,,
604,around,726.9412,6,,,
605,arouse,1.2157,6,,,
606,aroused,2.2157,7,,,
607,arraigned,0.6275,9,,,
608,arrange,14.8039,7,,,
609,arranged,16.0,8,,,
610,arrant,0.098,6,,,
611,array,1.5294,5,,,
612,arrayed,0.098,7,,,
613,arrays,0.098,6,,,
614,arrears,0.1765,7,,,
615,arrest,54.098,6,,,
616,arrests,2.6667,7,,,
617,arrive,18.4706,6,,,
618,arrived,37.902,7,,,
619,arrives,9.1373,7,,,
620,arrow,5.6275,5,,,
621,arrows,3.1961,6,,,
622,arse,3.6863,4,,,
623,arsehole,0.3333,8,,,
624,arseholes,0.0588,9,,,
625,arsenic,0.9216,7,,,
626,arses,0.3137,5,,,
627,arson,2.5098,5,,,
628,art,56.6667,3,,,
629,artful,0.1373,6,,,
630,artist,27.8039,6,,,
631,artiste,0.5686,7,,,
632,artistes,0.0784,8,,,
633,artists,7.0588,7,,,
634,artless,0.0588,7,,,
635,arts,7.0784,4,,,
636,arty,0.4118,4,,,
637,as,1942.8039,2,,,
638,ascend,0.8431,6,,,
639,ascends,0.0588,7,,,
640,ascent,0.3137,6,,,
641,ascents,0.0196,7,,,
642,ascribe,0.0784,7,,,
643,ascribed,0.0392,8,,,
644,asers,0.0196,5,,,
645,ash,2.4902,3,,,
646,ashamed,26.7843,7,,,
647,ashen,0.0392,5,,,
648,ashes,8.6667,5,,,
649,ashore,6.098,6,,,
650,ashtray,3.0588,7,,,
651,ashtrays,0.6078,8,,,
652,ashy,0.1765,4,,,
653,asia,0.0196,4,,,
654,asian,0.2549,5,,,
655,asians,0.0196,6,,,
656,aside,20.9216,5,,,
657,asides,0.0196,6,,,
658,ask,436.902,3,,,
659,askance,0.0588,7,,,
660,asked,214.3529,5,,,
661,askew,0.1765,5,,,
662,asking,126.5098,6,,,
663,asks,16.4706,4,,,
664,asleep,48.7255,6,,,
665,asp,0.1176,3,,,
666,aspect,3.8627,6,,,
667,aspects,2.6471,7,,,
668,aspen,0.1765,5,,,
669,aspens,0.0588,6,,,
670,asphalt,0.8824,7,,,
671,aspic,0.2745,5,,,
672,aspire,1.0588,6,,,
673,aspired,0.1569,7,,,
674,aspires,0.1373,7,,,
675,aspirin,6.9608,7,,,
676,aspirins,0.4902,8,,,
677,asps,0.0588,4,,,
678,ass,223.1569,3,,,
679,assail,0.0784,6,,,
680,assailed,0.0392,8,,,
681,assault,16.1569,7,,,
682,assaults,0.902,8,,,
683,assay,0.1569,5,,,
684,assayed,0.0196,7,,,
685,assays,0.0196,6,,,
686,assent,0.0784,6,,,
687,assert,0.8235,6,,,
688,asserts,0.2353,7,,,
689,asses,11.0784,5,,,
690,assess,1.4314,6,,,
691,assessed,0.451,8,,,
692,asset,3.7647,5,,,
693,assets,4.9804,6,,,
694,asshole,53.1961,7,,,
695,assholes,10.0784,8,,,
696,assign,2.4706,6,,,
697,assigned,12.0196,8,,,
698,assigns,0.2157,7,,,
699,assist,7.4118,6,,,
700,assists,0.2941,7,,,
701,assuage,0.1176,7,,,
702,assuaged,0.0392,8,,,
703,assume,32.3137,6,,,
704,assumed,11.2941,7,,,
705,assumes,1.0784,7,,,
706,assure,19.8235,6,,,
707,assured,6.1176,7,,,
708,assures,0.8235,7,,,
709,astern,0.9216,6,,,
710,asthma,3.5686,6,,,
711,astir,0.0196,5,,,
712,astound,0.4118,7,,,
713,astounds,0.1176,8,,,
714,astral,0.7843,6,,,
715,astray,1.4509999999999998,6,,,
716,astride,0.1569,7,,,
717,astute,0.9804,6,,,
718,at,3009.4509999999996,2,,,
719,ate,33.2353,3,,,
720,athlete,4.3529,7,,,
721,athletes,3.0,8,,,
722,athwart,0.0392,7,,,
723,atlas,0.3725,5,,,
724,atoll,0.4314,5,,,
725,atolls,0.0392,6,,,
726,atom,2.451,4,,,
727,atoms,1.6471,5,,,
728,atone,0.7843,5,,,
729,atoned,0.0196,6,,,
730,atop,0.8431,4,,,
731,attach,2.1961,6,,,
732,attached,11.902000000000001,8,,,
733,attack,71.2941,6,,,
734,attacked,23.5686,8,,,
735,attacks,11.3137,7,,,
736,attain,0.9216,6,,,
737,attained,0.7843,8,,,
738,attains,0.0392,7,,,
739,attar,0.0196,5,,,
740,attempt,18.7451,7,,,
741,attempts,4.1961,8,,,
742,attend,13.549000000000001,6,,,
743,attends,0.4706,7,,,
744,attest,0.4314,6,,,
745,attests,0.0196,7,,,
746,attic,7.4314,5,,,
747,attics,0.1373,6,,,
748,attired,0.2157,7,,,
749,attract,5.6471,7,,,
750,attracts,1.1569,8,,,
751,atus,0.0196,4,,,
752,auburn,0.1569,6,,,
753,auction,8.3922,7,,,
754,auctioned,0.5098,9,,,
755,auctions,0.3529,8,,,
756,audience,24.3333,8,,,
757,audit,1.1176,5,,,
758,audits,0.1176,6,,,
759,auger,0.2157,5,,,
760,aught,0.2941,5,,,
761,augment,0.2353,7,,,
762,augments,0.0196,8,,,
763,augur,0.0196,5,,,
764,augured,0.0196,7,,,
765,august,0.3333,6,,,
766,auk,0.0392,3,,,
767,aunt,17.8824,4,,,
768,auntie,1.6078,6,,,
769,aunties,0.1373,7,,,
770,aunts,1.3922,5,,,
771,aura,1.4902,4,,,
772,aural,0.0588,5,,,
773,auras,0.1961,5,,,
774,austere,0.1961,7,,,
775,author,6.902,6,,,
776,authors,1.2745,7,,,
777,auto,5.6667,4,,,
778,autos,0.0588,5,,,
779,autumn,2.7451,6,,,
780,autumns,0.0392,7,,,
781,avail,0.8039,5,,,
782,availed,0.0588,7,,,
783,avails,0.0588,6,,,
784,avenge,2.549,6,,,
785,avenged,0.8431,7,,,
786,aver,0.0784,4,,,
787,averse,0.2941,6,,,
788,avert,0.451,5,,,
789,avid,0.3922,4,,,
790,avoid,23.0784,5,,,
791,avoids,0.451,6,,,
792,avow,0.0392,4,,,
793,avowed,0.0392,6,,,
794,await,3.3725,5,,,
795,awaits,3.8627,6,,,
796,awake,25.7843,5,,,
797,awakes,0.3137,6,,,
798,award,9.5882,5,,,
799,awards,3.4314,6,,,
800,aware,35.4314,5,,,
801,awash,0.2549,5,,,
802,away,723.8235,4,,,
803,awe,1.8235,3,,,
804,awed,0.1176,4,,,
805,aweigh,0.2353,6,,,
806,awesome,24.6078,7,,,
807,awestruck,0.0588,9,,,
808,awful,59.7255,5,,,
809,awhile,9.3725,6,,,
810,awish,0.0392,5,,,
811,awkward,13.9216,7,,,
812,awl,0.0392,3,,,
813,awning,0.4706,6,,,
814,awnings,0.0588,7,,,
815,awoke,1.3137,5,,,
816,aword,0.0392,5,,,
817,awry,0.5098,4,,,
818,axe,4.4902,3,,,
819,axed,0.2745,4,,,
820,axes,0.6471,4,,,
821,axing,0.0588,5,,,
822,axiom,0.1373,5,,,
823,axioms,0.0196,6,,,
824,axis,0.6471,4,,,
825,axle,0.9608,4,,,
826,axles,0.0588,5,,,
827,ay,1.0196,2,,,
828,aye,13.0,3,,,
829,ayes,0.1765,4,,,
830,azure,0.1961,5,,,
831,ba,2.4118,2,,,
832,baa,0.2353,3,,,
833,baas,0.1961,4,,,
834,babble,0.8431,6,,,
835,babbled,0.1961,7,,,
836,babbling,2.9412,8,,,
837,babe,26.0392,4,,,
838,babes,3.1176,5,,,
839,babied,0.098,6,,,
840,babies,31.0196,6,,,
841,baboon,1.5686,6,,,
842,baboons,0.6078,7,,,
843,baby,445.6667,4,,,
844,baccy,0.0196,5,,,
845,back,1932.0196,4,,,
846,backache,0.2549,8,,,
847,backaches,0.1373,9,,,
848,backbone,1.6078,8,,,
849,backbones,0.1176,9,,,
850,backchat,0.0196,8,,,
851,backdoor,0.4706,8,,,
852,backdrop,0.4706,8,,,
853,backdrops,0.0392,9,,,
854,backed,7.3333,6,,,
855,backer,0.9412,6,,,
856,backers,0.6275,7,,,
857,background,16.9608,10,,,
858,backgrounds,0.9608,11,,,
859,backhand,0.6667,8,,,
860,backing,5.9804,7,,,
861,backlash,0.1373,8,,,
862,backless,0.2941,8,,,
863,backlog,0.2745,7,,,
864,backlogs,0.0196,8,,,
865,backroom,0.4706,8,,,
866,backs,7.6667,5,,,
867,backseat,2.1961,8,,,
868,backside,1.5294,8,,,
869,backsides,0.2941,9,,,
870,backslide,0.0196,9,,,
871,backstage,4.7647,9,,,
872,backstairs,0.1961,10,,,
873,backstroke,0.2353,10,,,
874,backtrack,0.4314,9,,,
875,backtracked,0.1373,11,,,
876,backup,15.7255,6,,,
877,backups,0.4314,7,,,
878,backward,2.7647,8,,,
879,backwards,12.4118,9,,,
880,backwash,0.2353,8,,,
881,backwoods,0.5294,9,,,
882,backyard,6.8627,8,,,
883,backyards,0.2353,9,,,
884,bacon,9.0392,5,,,
885,bad,510.5294,3,,,
886,bade,0.4314,4,,,
887,badge,14.5294,5,,,
888,badger,0.9608,6,,,
889,badgered,0.1961,8,,,
890,badgers,0.1176,7,,,
891,badges,1.8431,6,,,
892,badly,25.2157,5,,,
893,badness,0.451,7,,,
894,baffle,0.1569,6,,,
895,baffled,0.9216,7,,,
896,baffles,0.3529,7,,,
897,baffling,0.2549,8,,,
898,bag,90.1961,3,,,
899,bagful,0.098,6,,,
900,baggage,5.8824,7,,,
