"word","pron","cgram","grapheme","gpmatch","freq","len","phlen","genre","nombre"
"!absolutisme!","!apsolytizm!","NOM","a.b.s.o.l.u.t.i.s.m.e","a-a.b-p.s-s.o-o.l-l.u-y.t-t.i-i.s-z.m-m.e-#",0.68,13,12,"m","s"
"!absorbant!","!apsORb@!","NOM","a.b.s.o.r.b.ant","a-a.b-p.s-s.o-O.r-R.b-b.ant-@",0.14,11,9,"m","s"
"!abstrait!","!apstRE!","NOM","a.b.s.t.r.ai.t","a-a.b-p.s-s.t-t.r-R.ai-E.t-#",0.95,10,8,"m","s"
"!absurde!","!apsyRd!","NOM","a.b.s.u.r.d.e","a-a.b-p.s-s.u-y.r-R.d-d.e-#",4.73,9,8,"m","s"
"!abus!","!aby!","NOM","a.b.u.s","a-a.b-b.u-y.s-#",8.58,6,5,"m",""
"!abyme!","!abim!","NOM","a.b.y.m.e","a-a.b-b.y-i.m-m.e-#",0.07,7,6,"m","s"
"!abysse!","!abis!","NOM","a.b.y.ss.e","a-a.b-b.y-i.ss-s.e-#",0.07,8,6,"m","s"
"!abyssin!","!abis5!","NOM","a.b.y.ss.in","a-a.b-b.y-i.ss-s.in-5",0.14,9,7,"m","s"
"!abécédaire!","!abesedER!","NOM","a.b.é.c.é.d.ai.r.e","a-a.b-b.é-e.c-s.é-e.d-d.ai-E.r-R.e-#",0.07,12,10,"m","s"
"!abêtissement!","!abetis°m@!","NOM","a.b.ê.t.i.ss.e.m.ent","a-a.b-b.ê-e.t-t.i-i.ss-s.e-°.m-m.ent-@",0.54,14,11,"m","s"
"!abîme!","!abim!","NOM","a.b.î.m.e","a-a.b-b.î-i.m-m.e-#",14.59,7,6,"m","s"
"!acabit!","!akabi!","NOM","a.c.a.b.i.t","a-a.c-k.a-a.b-b.i-i.t-#",1.55,8,7,"m","s"
"!acacia!","!akasja!","NOM","a.c.a.c.i.a","a-a.c-k.a-a.c-s.i-j.a-a",3.24,8,8,"m","s"
"!académicien!","!akademisj5!","NOM","a.c.a.d.é.m.i.c.i.en","a-a.c-k.a-a.d-d.é-e.m-m.i-i.c-s.i-j.en-5",0.74,13,12,"m","s"
"!académisme!","!akademizm!","NOM","a.c.a.d.é.m.i.s.m.e","a-a.c-k.a-a.d-d.é-e.m-m.i-i.s-z.m-m.e-#",0.27,12,11,"m","s"
"!acajou!","!akaZu!","NOM","a.c.a.j.ou","a-a.c-k.a-a.j-Z.ou-u",5.81,8,7,"m","s"
"!accablement!","!akabl°m@!","NOM","a.cc.a.b.l.e.m.ent","a-a.cc-k.a-a.b-b.l-l.e-°.m-m.ent-@",3.58,13,10,"m","s"
"!accastillage!","!akastijaZ!","NOM","a.cc.a.s.t.ill.a.ge","a-a.cc-k.a-a.s-s.t-t.ill-ij.a-a.ge-Z",0.14,14,11,"m","s"
"!accent!","!aks@!","NOM","a.cc.ent","a-a.cc-ks.ent-@",38.31,8,6,"m","s"
"!acceptant!","!aksEpt@!","NOM","a.cc.e.p.t.ant","a-a.cc-ks.e-E.p-p.t-t.ant-@",0.14,11,9,"m","s"
"!accessit!","!aksesit!","NOM","a.cc.e.ss.i.t","a-a.cc-ks.e-e.ss-s.i-i.t-t",0.07,10,9,"m","s"
"!accessoire!","!akseswaR!","NOM","a.cc.e.ss.oi.r.e","a-a.cc-ks.e-e.ss-s.oi-wa.r-R.e-#",1.08,12,10,"m","s"
"!accident!","!aksid@!","NOM","a.cc.i.d.ent","a-a.cc-ks.i-i.d-d.ent-@",36.62,10,8,"m","s"
"!accidenté!","!aksid@te!","NOM","a.cc.i.d.en.t.é","a-a.cc-ks.i-i.d-d.en-@.t-t.é-e",0.34,11,10,"m","s"
"!acclimatement!","!aklimat°m@!","NOM","a.cc.l.i.m.a.t.e.m.ent","a-a.cc-k.l-l.i-i.m-m.a-a.t-t.e-°.m-m.ent-@",0.14,15,12,"m","s"
"!accolement!","!akOl°m@!","NOM","a.cc.o.l.e.m.ent","a-a.cc-k.o-O.l-l.e-°.m-m.ent-@",0.07,12,9,"m","s"
"!accommodement!","!akomOd°m@!","NOM","a.cc.o.mm.o.d.e.m.ent","a-a.cc-k.o-o.mm-m.o-O.d-d.e-°.m-m.ent-@",0.61,15,11,"m","s"
"!accompagnateur!","!ak&paNat9R!","NOM","a.cc.om.p.a.gn.a.t.eu.r","a-a.cc-k.om-&.p-p.a-a.gn-N.a-a.t-t.eu-9.r-R",0.27,16,12,"m","s"
"!accompagnement!","!ak&paN°m@!","NOM","a.cc.om.p.a.gn.e.m.ent","a-a.cc-k.om-&.p-p.a-a.gn-N.e-°.m-m.ent-@",2.5,16,11,"m","s"
"!accompli!","!ak&pli!","NOM","a.cc.om.p.l.i","a-a.cc-k.om-&.p-p.l-l.i-i",0.2,10,8,"m","s"
"!accomplissement!","!ak&plis°m@!","NOM","a.cc.om.p.l.i.ss.e.m.ent","a-a.cc-k.om-&.p-p.l-l.i-i.ss-s.e-°.m-m.ent-@",4.26,17,12,"m","s"
"!accord!","!akOR!","NOM","a.cc.o.r.d","a-a.cc-k.o-O.r-R.d-#",124.66,8,6,"m","s"
"!accordement!","!akORd°m@!","NOM","a.cc.o.r.d.e.m.ent","a-a.cc-k.o-O.r-R.d-d.e-°.m-m.ent-@",0.07,13,10,"m","s"
"!accordeur!","!akORd9R!","NOM","a.cc.o.r.d.eu.r","a-a.cc-k.o-O.r-R.d-d.eu-9.r-R",0.61,11,9,"m","s"
"!accordo!","!akORdo!","NOM","a.cc.o.r.d.o","a-a.cc-k.o-O.r-R.d-d.o-o",0.07,9,8,"m","s"
"!accordé!","!akORde!","NOM","a.cc.o.r.d.é","a-a.cc-k.o-O.r-R.d-d.é-e",0.41,9,8,"m","s"
"!accordéon!","!akORde&!","NOM","a.cc.o.r.d.é.on","a-a.cc-k.o-O.r-R.d-d.é-e.on-&",4.8,11,9,"m","s"
"!accostage!","!akOstaZ!","NOM","a.cc.o.s.t.a.ge","a-a.cc-k.o-O.s-s.t-t.a-a.ge-Z",0.88,11,9,"m","s"
"!accotement!","!akOt°m@!","NOM","a.cc.o.t.e.m.ent","a-a.cc-k.o-O.t-t.e-°.m-m.ent-@",1.08,12,9,"m","s"
"!accouchement!","!akuS°m@!","NOM","a.cc.ou.ch.e.m.ent","a-a.cc-k.ou-u.ch-S.e-°.m-m.ent-@",3.24,14,9,"m","s"
"!accoucheur!","!akuS9R!","NOM","a.cc.ou.ch.eu.r","a-a.cc-k.ou-u.ch-S.eu-9.r-R",0.47,12,8,"m","s"
"!accoudoir!","!akudwaR!","NOM","a.cc.ou.d.oi.r","a-a.cc-k.ou-u.d-d.oi-wa.r-R",2.23,11,9,"m","s"
"!accouplement!","!akupl°m@!","NOM","a.cc.ou.p.l.e.m.ent","a-a.cc-k.ou-u.p-p.l-l.e-°.m-m.ent-@",1.69,14,10,"m","s"
"!accoutrement!","!akutR°m@!","NOM","a.cc.ou.t.r.e.m.ent","a-a.cc-k.ou-u.t-t.r-R.e-°.m-m.ent-@",2.09,14,10,"m","s"
"!accroc!","!akRo!","NOM","a.cc.r.o.c","a-a.cc-k.r-R.o-o.c-#",2.57,8,6,"m","s"
"!accrochage!","!akRoSaZ!","NOM","a.cc.r.o.ch.a.ge","a-a.cc-k.r-R.o-o.ch-S.a-a.ge-Z",0.88,12,9,"m","s"
"!accroissement!","!akRwas°m@!","NOM","a.cc.r.oi.ss.e.m.ent","a-a.cc-k.r-R.oi-wa.ss-s.e-°.m-m.ent-@",1.28,15,11,"m","s"
"!accroupissement!","!akRupis°m@!","NOM","a.cc.r.ou.p.i.ss.e.m.ent","a-a.cc-k.r-R.ou-u.p-p.i-i.ss-s.e-°.m-m.ent-@",0.2,17,12,"m","s"
"!accréditif!","!akReditif!","NOM","a.cc.r.é.d.i.t.i.f","a-a.cc-k.r-R.é-e.d-d.i-i.t-t.i-i.f-f",0.07,12,11,"m","s"
"!accu!","!aky!","NOM","a.cc.u","a-a.cc-k.u-y",0.07,6,5,"m","s"
"!accueil!","!ak9j!","NOM","a.cc.ue.il","a-a.cc-k.ue-9.il-j",16.22,9,6,"m","s"
"!accumulateur!","!akymylat9R!","NOM","a.cc.u.m.u.l.a.t.eu.r","a-a.cc-k.u-y.m-m.u-y.l-l.a-a.t-t.eu-9.r-R",0.07,14,12,"m","s"
"!accusateur!","!akyzat9R!","NOM","a.cc.u.s.a.t.eu.r","a-a.cc-k.u-y.s-z.a-a.t-t.eu-9.r-R",0.41,12,10,"m","s"
"!accusatif!","!akyzatif!","NOM","a.cc.u.s.a.t.i.f","a-a.cc-k.u-y.s-z.a-a.t-t.i-i.f-f",0.07,11,10,"m","s"
"!accusé!","!akyze!","NOM","a.cc.u.s.é","a-a.cc-k.u-y.s-z.é-e",6.89,8,7,"m","s"
"!accès!","!aksE!","NOM","a.cc.è.s","a-a.cc-ks.è-E.s-#",23.78,7,6,"m",""
"!accélérateur!","!akseleRat9R!","NOM","a.cc.é.l.é.r.a.t.eu.r","a-a.cc-ks.é-e.l-l.é-e.r-R.a-a.t-t.eu-9.r-R",3.38,14,13,"m","s"
"!accéléré!","!akseleRe!","NOM","a.cc.é.l.é.r.é","a-a.cc-ks.é-e.l-l.é-e.r-R.é-e",0.74,10,10,"m","s"
"!acerbité!","!asERbite!","NOM","a.c.e.r.b.i.t.é","a-a.c-s.e-E.r-R.b-b.i-i.t-t.é-e",0.07,10,10,"m","s"
"!achalandage!","!aSal@daZ!","NOM","a.ch.a.l.an.d.a.ge","a-a.ch-S.a-a.l-l.an-@.d-d.a-a.ge-Z",0.07,13,10,"m","s"
"!acharnement!","!aSaRn°m@!","NOM","a.ch.a.r.n.e.m.ent","a-a.ch-S.a-a.r-R.n-n.e-°.m-m.ent-@",8.11,13,10,"m","s"
"!achat!","!aSa!","NOM","a.ch.a.t","a-a.ch-S.a-a.t-#",10.95,7,5,"m","s"
"!acheminement!","!aS°min°m@!","NOM","a.ch.e.m.i.n.e.m.ent","a-a.ch-S.e-°.m-m.i-i.n-n.e-°.m-m.ent-@",0.47,14,11,"m","s"
"!acheteur!","!aS°t9R!","NOM","a.ch.e.t.eu.r","a-a.ch-S.e-°.t-t.eu-9.r-R",2.97,10,8,"m","s"
"!achoppement!","!aSOp°m@!","NOM","a.ch.o.pp.e.m.ent","a-a.ch-S.o-O.pp-p.e-°.m-m.ent-@",0.14,13,9,"m","s"
"!achèvement!","!aSEv°m@!","NOM","a.ch.è.v.e.m.ent","a-a.ch-S.è-E.v-v.e-°.m-m.ent-@",1.76,12,9,"m","s"
"!achélème!","!akelEm!","NOM","a.ch.é.l.è.m.e","a-a.ch-k.é-e.l-l.è-E.m-m.e-#",0.95,10,8,"m","s"
"!acide!","!asid!","NOM","a.c.i.d.e","a-a.c-s.i-i.d-d.e-#",3.85,7,6,"m","s"
"!acier!","!asje!","NOM","a.c.i.er","a-a.c-s.i-j.er-e",33.38,7,6,"m","s"
"!acolyte!","!akolit!","NOM","a.c.o.l.y.t.e","a-a.c-k.o-o.l-l.y-i.t-t.e-#",0.61,9,8,"m","s"
"!acompte!","!ak&t!","NOM","a.c.om.p.t.e","a-a.c-k.om-&.p-#.t-t.e-#",1.01,9,6,"m","s"
"!aconit!","!akonit!","NOM","a.c.o.n.i.t","a-a.c-k.o-o.n-n.i-i.t-t",0.34,8,8,"m","s"
"!acquiescement!","!akjEs°m@!","NOM","a.cqu.i.e.sc.e.m.ent","a-a.cqu-k.i-j.e-E.sc-s.e-°.m-m.ent-@",2.36,15,10,"m","s"
"!acquis!","!aki!","NOM","a.cqu.i.s","a-a.cqu-k.i-i.s-#",1.69,8,5,"m",""
"!acquit!","!aki!","NOM","a.cqu.i.t","a-a.cqu-k.i-i.t-#",2.16,8,5,"m","s"
"!acquittement!","!akit°m@!","NOM","a.cqu.i.tt.e.m.ent","a-a.cqu-k.i-i.tt-t.e-°.m-m.ent-@",0.34,14,9,"m","s"
"!acquitté!","!akite!","NOM","a.cqu.i.tt.é","a-a.cqu-k.i-i.tt-t.é-e",0.07,10,7,"m","s"
"!acquéreur!","!akeR9R!","NOM","a.cqu.é.r.eu.r","a-a.cqu-k.é-e.r-R.eu-9.r-R",0.88,11,8,"m","s"
"!acquêt!","!akE!","NOM","a.cqu.êt","a-a.cqu-k.êt-E",0.07,8,5,"m","s"
"!acra!","!akRa!","NOM","a.c.r.a","a-a.c-k.r-R.a-a",0.14,6,6,"m","s"
"!acromion!","!akRomj&!","NOM","a.c.r.o.m.i.on","a-a.c-k.r-R.o-o.m-m.i-j.on-&",0.14,10,9,"m","s"
"!acronyme!","!akRonim!","NOM","a.c.r.o.n.y.m.e","a-a.c-k.r-R.o-o.n-n.y-i.m-m.e-#",0.07,10,9,"m","s"
"!acrotère!","!akRotER!","NOM","a.c.r.o.t.è.r.e","a-a.c-k.r-R.o-o.t-t.è-E.r-R.e-#",0.07,10,9,"m","s"
"!acrylique!","!akRilik!","NOM","a.c.r.y.l.i.qu.e","a-a.c-k.r-R.y-i.l-l.i-i.qu-k.e-#",0.07,11,9,"m","s"
"!acte!","!akt!","NOM","a.c.t.e","a-a.c-k.t-t.e-#",35.88,6,5,"m","s"
"!acteur!","!akt9R!","NOM","a.c.t.eu.r","a-a.c-k.t-t.eu-9.r-R",15.47,8,7,"m","s"
"!actif!","!aktif!","NOM","a.c.t.i.f","a-a.c-k.t-t.i-i.f-f",1.49,7,7,"m","s"
"!actionnement!","!aksjOn°m@!","NOM","a.c.t.i.o.nn.e.m.ent","a-a.c-k.t-s.i-j.o-O.nn-n.e-°.m-m.ent-@",0.07,14,11,"m","s"
"!activisme!","!aktivizm!","NOM","a.c.t.i.v.i.s.m.e","a-a.c-k.t-t.i-i.v-v.i-i.s-z.m-m.e-#",0.2,11,10,"m","s"
"!acumen!","!akymEn!","NOM","a.c.u.m.e.n","a-a.c-k.u-y.m-m.e-E.n-n",0.07,8,8,"m","s"
"!acupuncteur!","!akyp&kt9R!","NOM","a.c.u.p.un.c.t.eu.r","a-a.c-k.u-y.p-p.un-&.c-k.t-t.eu-9.r-R",0.07,13,11,"m","s"
"!acéphale!","!asefal!","NOM","a.c.é.ph.a.l.e","a-a.c-s.é-e.ph-f.a-a.l-l.e-#",0.14,10,8,"m","s"
"!acétate!","!asetat!","NOM","a.c.é.t.a.t.e","a-a.c-s.é-e.t-t.a-a.t-t.e-#",0.14,9,8,"m","s"
"!acétylène!","!asetilEn!","NOM","a.c.é.t.y.l.è.n.e","a-a.c-s.é-e.t-t.y-i.l-l.è-E.n-n.e-#",1.96,11,10,"m","s"
"!adage!","!adaZ!","NOM","a.d.a.ge","a-a.d-d.a-a.ge-Z",0.54,7,6,"m","s"
"!adagio!","!adadZjo!","NOM","a.d.a.g.i.o","a-a.d-d.a-a.g-dZ.i-j.o-o",0.34,8,9,"m","s"
"!adaptateur!","!adaptat9R!","NOM","a.d.a.p.t.a.t.eu.r","a-a.d-d.a-a.p-p.t-t.a-a.t-t.eu-9.r-R",0.41,12,11,"m","s"
"!addendum!","!ad5dOm!","NOM","a.dd.en.d.u.m","a-a.dd-d.en-5.d-d.u-O.m-m",0.07,10,8,"m","s"
"!additif!","!aditif!","NOM","a.dd.i.t.i.f","a-a.dd-d.i-i.t-t.i-i.f-f",0.14,9,8,"m","s"
"!adhérent!","!adeR@!","NOM","a.d.h.é.r.ent","a-a.d-d.h-#.é-e.r-R.ent-@",0.14,10,7,"m","s"
"!adhésif!","!adezif!","NOM","a.d.h.é.s.i.f","a-a.d-d.h-#.é-e.s-z.i-i.f-f",0.14,9,8,"m","s"
"!adieu!","!adj2!","NOM","a.d.i.eu","a-a.d-d.i-j.eu-2",27.5,7,6,"m","s"
"!adja!","!adZa!","NOM","a.d.j.a","a-a.d-d.j-Z.a-a",0.34,6,6,"m","s"
"!adjectif!","!adZEktif!","NOM","a.d.j.e.c.t.i.f","a-a.d-d.j-Z.e-E.c-k.t-t.i-i.f-f",1.96,10,10,"m","s"
"!adjoint!","!adZw5!","NOM","a.d.j.oin.t","a-a.d-d.j-Z.oin-w5.t-#",4.05,9,7,"m","s"
"!adjudant!","!adZyd@!","NOM","a.d.j.u.d.ant","a-a.d-d.j-Z.u-y.d-d.ant-@",21.15,10,8,"m","s"
"!adjupète!","!adZypEt!","NOM","a.d.j.u.p.è.t.e","a-a.d-d.j-Z.u-y.p-p.è-E.t-t.e-#",0.07,10,9,"m","s"
"!administrateur!","!administRat9R!","NOM","a.d.m.i.n.i.s.t.r.a.t.eu.r","a-a.d-d.m-m.i-i.n-n.i-i.s-s.t-t.r-R.a-a.t-t.eu-9.r-R",3.78,16,15,"m","s"
"!administratif!","!administRatif!","NOM","a.d.m.i.n.i.s.t.r.a.t.i.f","a-a.d-d.m-m.i-i.n-n.i-i.s-s.t-t.r-R.a-a.t-t.i-i.f-f",0.2,15,15,"m","s"
"!administré!","!administRe!","NOM","a.d.m.i.n.i.s.t.r.é","a-a.d-d.m-m.i-i.n-n.i-i.s-s.t-t.r-R.é-e",0.14,12,12,"m","s"
"!admirateur!","!admiRat9R!","NOM","a.d.m.i.r.a.t.eu.r","a-a.d-d.m-m.i-i.r-R.a-a.t-t.eu-9.r-R",1.28,12,11,"m","s"
"!admis!","!admi!","NOM","a.d.m.i.s","a-a.d-d.m-m.i-i.s-#",0.27,7,6,"m",""
"!adolescent!","!adoles@!","NOM","a.d.o.l.e.sc.ent","a-a.d-d.o-o.l-l.e-e.sc-s.ent-@",9.66,12,9,"m","s"
"!adoptant!","!adOpt@!","NOM","a.d.o.p.t.ant","a-a.d-d.o-O.p-p.t-t.ant-@",0.07,10,8,"m","s"
"!adopté!","!adOpte!","NOM","a.d.o.p.t.é","a-a.d-d.o-O.p-p.t-t.é-e",0.34,8,8,"m","s"
"!adorateur!","!adoRat9R!","NOM","a.d.o.r.a.t.eu.r","a-a.d-d.o-o.r-R.a-a.t-t.eu-9.r-R",0.34,11,10,"m","s"
"!ados!","!ado!","NOM","a.d.o.s","a-a.d-d.o-o.s-#",0.27,6,5,"m",""
"!adoubement!","!adub°m@!","NOM","a.d.ou.b.e.m.ent","a-a.d-d.ou-u.b-b.e-°.m-m.ent-@",0.27,12,9,"m","s"
"!adoucissement!","!adusis°m@!","NOM","a.d.ou.c.i.ss.e.m.ent","a-a.d-d.ou-u.c-s.i-i.ss-s.e-°.m-m.ent-@",0.54,15,11,"m","s"
"!adret!","!adRE!","NOM","a.d.r.et","a-a.d-d.r-R.et-E",0.07,7,6,"m","s"
"!adulateur!","!adylat9R!","NOM","a.d.u.l.a.t.eu.r","a-a.d-d.u-y.l-l.a-a.t-t.eu-9.r-R",0.07,11,10,"m","s"
"!adultat!","!adylta!","NOM","a.d.u.l.t.a.t","a-a.d-d.u-y.l-l.t-t.a-a.t-#",0.14,9,8,"m","s"
"!adultère!","!adyltER!","NOM","a.d.u.l.t.è.r.e","a-a.d-d.u-y.l-l.t-t.è-E.r-R.e-#",3.18,10,9,"m","s"
"!adverbe!","!advERb!","NOM","a.d.v.e.r.b.e","a-a.d-d.v-v.e-E.r-R.b-b.e-#",0.27,9,8,"m","s"
"!adénome!","!adenom!","NOM","a.d.é.n.o.m.e","a-a.d-d.é-e.n-n.o-o.m-m.e-#",0.07,9,8,"m","s"
"!affadissement!","!afadis°m@!","NOM","a.ff.a.d.i.ss.e.m.ent","a-a.ff-f.a-a.d-d.i-i.ss-s.e-°.m-m.ent-@",0.2,15,11,"m","s"
"!affaiblissement!","!afeblis°m@!","NOM","a.ff.ai.b.l.i.ss.e.m.ent","a-a.ff-f.ai-e.b-b.l-l.i-i.ss-s.e-°.m-m.ent-@",1.49,17,12,"m","s"
"!affairement!","!afER°m@!","NOM","a.ff.ai.r.e.m.ent","a-a.ff-f.ai-E.r-R.e-°.m-m.ent-@",0.34,13,9,"m","s"
"!affairisme!","!afERizm!","NOM","a.ff.ai.r.i.s.m.e","a-a.ff-f.ai-E.r-R.i-i.s-z.m-m.e-#",0.07,12,9,"m","s"
"!affairé!","!afeRe!","NOM","a.ff.ai.r.é","a-a.ff-f.ai-e.r-R.é-e",0.34,9,7,"m","s"
"!affaissement!","!afEs°m@!","NOM","a.ff.ai.ss.e.m.ent","a-a.ff-f.ai-E.ss-s.e-°.m-m.ent-@",1.35,14,9,"m","s"
"!affalement!","!afal°m@!","NOM","a.ff.a.l.e.m.ent","a-a.ff-f.a-a.l-l.e-°.m-m.ent-@",0.14,12,9,"m","s"
"!affamé!","!afame!","NOM","a.ff.a.m.é","a-a.ff-f.a-a.m-m.é-e",1.01,8,7,"m","s"
"!affermissement!","!afERmis°m@!","NOM","a.ff.e.r.m.i.ss.e.m.ent","a-a.ff-f.e-E.r-R.m-m.i-i.ss-s.e-°.m-m.ent-@",0.14,16,12,"m","s"
"!affichage!","!afiSaZ!","NOM","a.ff.i.ch.a.ge","a-a.ff-f.i-i.ch-S.a-a.ge-Z",1.42,11,8,"m","s"
"!afficheur!","!afiS9R!","NOM","a.ff.i.ch.eu.r","a-a.ff-f.i-i.ch-S.eu-9.r-R",0.27,11,8,"m","s"
