"word","pron","lemme","freq","islem","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP"
"!abcès!","!apsE!","abcès",3.31,1,7,6,1,5,"ap-sE",2,"0,67","0,04","2","2","0,31","0,03","4","2","a-a.b-p.c-s.è-E.s-#"
"!abdication!","!abdikasj&!","abdication",1.96,1,12,11,0,0,"ab-di-ka-sj§",4,"0,74","0,07","2","7","0,75","0,1","2","7","a-a.b-b.d-d.i-i.c-k.a-a.t-s.i-j.on-§"
"!abdiquer!","!abdike!","abdiquer",2.77,1,10,8,1,3,"ab-di-ke",3,"0,95","0,75","0","0","0,76","0,3","2","5","a-a.b-b.d-d.i-i.qu-k.er-e"
"!abdomen!","!abdomEn!","abdomen",1.55,1,9,9,0,0,"ab-do-mEn",3,"0,86","0,38","1","6","0,91","0,61","0","0","a-a.b-b.d-d.o-o.m-m.e-E.n-n"
"!abeille!","!abEj!","abeille",9.86,1,9,6,0,3,"a-bEj",2,"0,78","0,11","1","4","0,49","0,02","2","3","a-a.b-b.ei-E.ll-j.e-#"
"!aberrant!","!abER@!","aberrant",2.5,1,10,7,0,4,"a-bE-R@",3,"0,86","0,38","1","3","0,65","0,03","1","4","a-a.b-b.e-E.rr-R.ant-@"
"!aberration!","!abERasj&!","aberration",4.46,1,12,10,0,0,"a-bE-Ra-sj§",4,"0,7","0,07","3","3","0,61","0,03","3","4","a-a.b-b.e-E.rr-R.a-a.t-s.i-j.on-§"
"!abhorrer!","!abORe!","abhorrer",1.35,1,10,7,1,3,"a-bO-Re",3,"0,87","0,3","1","4","0,62","0,03","2","5","a-a.b-b.h-#.o-O.rr-R.er-e"
"!abject!","!abZEkt!","abject",3.92,1,8,8,0,1,"ab-ZEkt",2,"0,69","0,18","2","4","0,71","0,16","1","3","a-a.b-b.j-Z.e-E.c-k.t-t"
"!abjection!","!abZEksj&!","abjection",2.3,1,11,10,1,1,"ab-ZEk-sj§",3,"0,66","0,07","3","4","0,58","0,1","3","3","a-a.b-b.j-Z.e-E.c-k.t-s.i-j.on-§"
"!abjurer!","!abZyRe!","abjurer",1.28,1,9,8,2,3,"ab-Zy-Re",3,"0,97","0,89","0","0","0,74","0,16","2","3","a-a.b-b.j-Z.u-y.r-R.er-e"
"!ablation!","!ablasj&!","ablation",1.35,1,10,9,2,2,"a-bla-sj§",3,"0,75","0,07","2","5","0,74","0,1","2","5","a-a.b-b.l-l.a-a.t-s.i-j.on-§"
"!ablution!","!ablysj&!","ablution",1.55,1,10,9,1,1,"a-bly-sj§",3,"0,74","0,07","2","5","0,74","0,1","2","5","a-a.b-b.l-l.u-y.t-s.i-j.on-§"
"!abnégation!","!abnegasj&!","abnégation",3.58,1,12,11,0,0,"ab-ne-ga-sj§",4,"0,75","0,07","2","7","0,74","0,1","2","7","a-a.b-b.n-n.é-e.g-g.a-a.t-s.i-j.on-§"
"!aboi!","!abwa!","aboi",3.58,1,6,6,2,5,"a-bwa",2,"0,99","0,96","0","0","0,99","0,97","0","0","a-a.b-b.oi-wa"
"!aboiement!","!abwam@!","aboiement",5.95,1,11,8,0,1,"a-bwa-m@",3,"0,72","0,03","2","4","0,76","0,34","2","4","a-a.b-b.oi-wa.e-#.m-m.ent-@"
"!aboli!","!aboli!","aboli",2.57,1,7,7,1,4,"a-bo-li",3,"0,93","0,7","0","0","0,84","0,44","0","0","a-a.b-b.o-o.l-l.i-i"
"!abolir!","!aboliR!","abolir",9.32,1,8,8,3,2,"a-bo-liR",3,"0,9","0,7","0","0","0,96","0,88","0","0","a-a.b-b.o-o.l-l.i-i.r-R"
"!abolition!","!abolisj&!","abolition",1.49,1,11,10,0,0,"a-bo-li-sj§",4,"0,71","0,07","2","6","0,75","0,1","2","6","a-a.b-b.o-o.l-l.i-i.t-s.i-j.on-§"
"!abominable!","!abominabl!","abominable",11.22,1,12,11,0,0,"a-bo-mi-nabl",4,"0,93","0,7","0","0","0,88","0,4","0","0","a-a.b-b.o-o.m-m.i-i.n-n.a-a.b-b.l-l.e-#"
"!abomination!","!abominasj&!","abomination",4.53,1,13,12,0,0,"a-bo-mi-na-sj§",5,"0,77","0,07","2","8","0,77","0,1","2","8","a-a.b-b.o-o.m-m.i-i.n-n.a-a.t-s.i-j.on-§"
"!abondamment!","!ab&dam@!","abondamment",4.93,1,13,9,0,0,"a-b§-da-m@",4,"0,9","0,34","1","7","0,74","0,08","2","6","a-a.b-b.on-§.d-d.a-a.mm-m.ent-@"
"!abondance!","!ab&d@s!","abondance",9.39,1,11,8,1,2,"a-b§-d@s",3,"0,9","0,35","1","6","0,7","0,21","1","6","a-a.b-b.on-§.d-d.an-@.c-s.e-#"
"!abondant!","!ab&d@!","abondant",7.03,1,10,7,4,3,"a-b§-d@",3,"0,99","0,96","0","0","0,89","0,64","0","0","a-a.b-b.on-§.d-d.ant-@"
"!abonder!","!ab&de!","abonder",4.59,1,9,7,2,3,"a-b§-de",3,"0,99","0,96","0","0","0,82","0,32","1","5","a-a.b-b.on-§.d-d.er-e"
"!abonnement!","!abOn°m@!","abonnement",1.62,1,12,9,1,1,"a-bO-n°-m@",4,"0,73","0,3","2","3","0,78","0,24","2","4","a-a.b-b.o-O.nn-n.e-°.m-m.ent-@"
"!abonner!","!abone!","abonner",2.09,1,9,7,3,4,"a-bo-ne",3,"0,93","0,7","0","0","0,69","0,24","2","4","a-a.b-b.o-o.nn-n.er-e"
"!abonné!","!abone!","abonné",2.23,1,8,7,3,4,"a-bo-ne",3,"0,93","0,7","0","0","0,71","0,24","1","4","a-a.b-b.o-o.nn-n.é-e"
"!abord!","!abOR!","abord",19.05,1,7,6,0,5,"a-bOR",2,"0,83","0,3","1","3","0,79","0,01","1","5","a-a.b-b.o-O.r-R.d-#"
"!abordage!","!abORdaZ!","abordage",1.49,1,10,9,0,1,"a-bOR-daZ",3,"0,89","0,3","1","3","0,98","0,97","0","0","a-a.b-b.o-O.r-R.d-d.a-a.ge-Z"
"!aborder!","!abORde!","aborder",33.18,1,9,8,3,5,"a-bOR-de",3,"0,88","0,3","1","3","0,88","0,32","1","6","a-a.b-b.o-O.r-R.d-d.er-e"
"!aboutir!","!abutiR!","aboutir",25.81,1,9,8,4,5,"a-bu-tiR",3,"0,93","0,75","0","0","0,97","0,91","0","0","a-a.b-b.ou-u.t-t.i-i.r-R"
"!aboutissement!","!abutis°m@!","aboutissement",4.05,1,15,11,1,1,"a-bu-ti-s°-m@",5,"0,82","0,34","1","9","0,81","0,27","2","6","a-a.b-b.ou-u.t-t.i-i.ss-s.e-°.m-m.ent-@"
"!aboyer!","!abwaje!","aboyer",11.82,1,8,8,1,6,"a-bwa-je",3,"0,99","0,96","0","0","0,83","0,32","1","4","a-a.b-b.oy-waj.er-e"
"!abreuver!","!abR9ve!","abreuver",6.22,1,10,8,1,4,"a-bR9-ve",3,"0,92","0,57","0","0","0,86","0,32","1","6","a-a.b-b.r-R.eu-9.v-v.er-e"
"!abreuvoir!","!abR9vwaR!","abreuvoir",3.92,1,11,10,0,0,"a-bR9-vwaR",3,"0,93","0,57","0","0","0,97","0,87","0","0","a-a.b-b.r-R.eu-9.v-v.oi-wa.r-R"
"!abri!","!abRi!","abri",56.76,1,6,6,1,3,"a-bRi",2,"0,99","0,96","0","0","0,85","0,44","0","0","a-a.b-b.r-R.i-i"
"!abricot!","!abRiko!","abricot",2.5,1,9,8,0,0,"a-bRi-ko",3,"0,84","0,64","0","0","0,77","0,01","1","7","a-a.b-b.r-R.i-i.c-k.o-o.t-#"
"!abriter!","!abRite!","abriter",26.22,1,9,8,2,4,"a-bRi-te",3,"0,94","0,75","0","0","0,86","0,32","1","6","a-a.b-b.r-R.i-i.t-t.er-e"
"!abrité!","!abRite!","abrité",1.08,1,8,8,2,4,"a-bRi-te",3,"0,94","0,75","0","0","0,87","0,42","0","0","a-a.b-b.r-R.i-i.t-t.é-e"
"!abrupt!","!abRypt!","abrupt",7.43,1,8,8,0,0,"a-bRypt",2,"0,84","0,18","1","6","0,95","0,87","0","0","a-a.b-b.r-R.u-y.p-p.t-t"
"!abruptement!","!abRypt°m@!","abruptement",2.03,1,13,11,0,0,"a-bRyp-t°-m@",4,"0,85","0,34","1","9","0,89","0,34","1","9","a-a.b-b.r-R.u-y.p-p.t-t.e-°.m-m.ent-@"
"!abruti!","!abRyti!","abruti",4.66,1,8,8,1,0,"a-bRy-ti",3,"0,96","0,89","0","0","0,88","0,44","0","0","a-a.b-b.r-R.u-y.t-t.i-i"
"!abruti!","!abRyti!","abruti",6.69,1,8,8,1,0,"a-bRy-ti",3,"0,96","0,89","0","0","0,88","0,44","0","0","a-a.b-b.r-R.u-y.t-t.i-i"
"!abrutir!","!abRytiR!","abrutir",6.01,1,9,9,4,1,"a-bRy-tiR",3,"0,93","0,75","0","0","0,97","0,91","0","0","a-a.b-b.r-R.u-y.t-t.i-i.r-R"
"!abrutissement!","!abRytis°m@!","abrutissement",1.42,1,15,12,1,0,"a-bRy-ti-s°-m@",5,"0,84","0,34","1","10","0,83","0,27","2","7","a-a.b-b.r-R.u-y.t-t.i-i.ss-s.e-°.m-m.ent-@"
"!abréger!","!abReZe!","abréger",4.86,1,9,8,4,6,"a-bRe-Ze",3,"0,9","0,47","1","5","0,82","0,32","1","6","a-a.b-b.r-R.é-e.g-Z.er-e"
"!absence!","!aps@s!","absence",76.28,1,9,7,1,2,"ap-s@s",2,"0,63","0,04","3","2","0,4","0,03","3","2","a-a.b-p.s-s.en-@.c-s.e-#"
"!absent!","!aps@!","absent",29.8,1,8,6,0,5,"ap-s@",2,"0,47","0,04","3","2","0,44","0,03","2","2","a-a.b-p.s-s.ent-@"
"!absent!","!aps@!","absent",5.81,1,8,6,0,5,"ap-s@",2,"0,47","0,04","3","2","0,44","0,03","2","2","a-a.b-p.s-s.ent-@"
"!absenter!","!aps@te!","absenter",6.01,1,10,8,1,3,"ap-s@-te",3,"0,73","0,04","2","2","0,51","0,03","3","2","a-a.b-p.s-s.en-@.t-t.er-e"
"!abside!","!apsid!","abside",1.62,1,8,7,0,1,"ap-sid",2,"0,71","0,04","2","2","0,63","0,03","1","2","a-a.b-p.s-s.i-i.d-d.e-#"
"!absinthe!","!aps5t!","absinthe",2.91,1,10,7,0,3,"ap-s5t",2,"0,75","0,04","2","2","0,39","0,02","2","2","a-a.b-p.s-s.in-5.th-t.e-#"
"!absolu!","!apsoly!","absolu",34.39,1,8,8,0,0,"ap-so-ly",3,"0,7","0,04","2","2","0,64","0,03","1","2","a-a.b-p.s-s.o-o.l-l.u-y"
"!absolu!","!apsoly!","absolu",7.23,1,8,8,0,0,"ap-so-ly",3,"0,7","0,04","2","2","0,64","0,03","1","2","a-a.b-p.s-s.o-o.l-l.u-y"
"!absolument!","!apsolym@!","absolument",63.45,1,12,10,0,0,"ap-so-ly-m@",4,"0,68","0,04","3","2","0,68","0,03","2","2","a-a.b-p.s-s.o-o.l-l.u-y.m-m.ent-@"
"!absolution!","!apsolysj&!","absolution",2.5,1,12,11,0,0,"ap-so-ly-sj§",4,"0,6","0,04","4","2","0,61","0,03","3","2","a-a.b-p.s-s.o-o.l-l.u-y.t-s.i-j.on-§"
"!absorbant!","!apsORb@!","absorbant",1.35,1,11,9,2,4,"ap-sOR-b@",3,"0,68","0,04","3","2","0,71","0,03","1","2","a-a.b-p.s-s.o-O.r-R.b-b.ant-@"
"!absorber!","!apsORbe!","absorber",28.65,1,10,9,1,4,"ap-sOR-be",3,"0,68","0,04","3","2","0,67","0,03","2","2","a-a.b-p.s-s.o-O.r-R.b-b.er-e"
"!absorbé!","!apsORbe!","absorbé",3.72,1,9,9,2,4,"ap-sOR-be",3,"0,68","0,04","3","2","0,68","0,03","1","2","a-a.b-p.s-s.o-O.r-R.b-b.é-e"
"!absorption!","!apsORpsj&!","absorption",2.03,1,12,11,0,0,"ap-sOR-psj§",3,"0,57","0,04","5","2","0,61","0,03","3","2","a-a.b-p.s-s.o-O.r-R.p-p.t-s.i-j.on-§"
"!absoudre!","!apsudR!","absoudre",3.72,1,10,8,0,0,"ap-sudR",2,"0,78","0,04","2","2","0,67","0,03","1","2","a-a.b-p.s-s.ou-u.d-d.r-R.e-#"
"!abstenir!","!apst°niR!","abstenir",8.78,1,10,10,0,0,"ap-st°-niR",3,"0,72","0,04","2","2","0,75","0,03","1","2","a-a.b-p.s-s.t-t.e-°.n-n.i-i.r-R"
"!abstention!","!apst@sj&!","abstention",1.28,1,12,10,0,0,"ap-st@-sj§",3,"0,58","0,04","4","2","0,5","0,03","4","2","a-a.b-p.s-s.t-t.en-@.t-s.i-j.on-§"
"!abstinence!","!apstin@s!","abstinence",1.62,1,12,10,1,1,"ap-sti-n@s",3,"0,72","0,04","3","2","0,56","0,03","3","2","a-a.b-p.s-s.t-t.i-i.n-n.en-@.c-s.e-#"
"!abstraction!","!apstRaksj&!","abstraction",2.97,1,13,12,0,0,"ap-stRak-sj§",3,"0,64","0,04","4","2","0,61","0,03","3","2","a-a.b-p.s-s.t-t.r-R.a-a.c-k.t-s.i-j.on-§"
"!abstraire!","!apstRER!","abstraire",3.18,1,11,9,1,1,"ap-stRER",2,"0,79","0,04","2","2","0,6","0,03","2","2","a-a.b-p.s-s.t-t.r-R.ai-E.r-R.e-#"
"!abstrait!","!apstRE!","abstrait",11.35,1,10,8,1,1,"ap-stRE",2,"0,74","0,04","2","2","0,61","0,03","1","2","a-a.b-p.s-s.t-t.r-R.ait-E"
"!abstrait!","!apstRE!","abstrait",1.35,1,10,8,1,1,"ap-stRE",2,"0,74","0,04","2","2","0,61","0,03","1","2","a-a.b-p.s-s.t-t.r-R.ait-E"
"!absurde!","!apsyRd!","absurde",30.95,1,9,8,0,0,"ap-syRd",2,"0,77","0,04","2","2","0,68","0,03","1","2","a-a.b-p.s-s.u-y.r-R.d-d.e-#"
"!absurde!","!apsyRd!","absurde",4.93,1,9,8,0,0,"ap-syRd",2,"0,77","0,04","2","2","0,68","0,03","1","2","a-a.b-p.s-s.u-y.r-R.d-d.e-#"
"!absurdement!","!apsyRd°m@!","absurdement",3.72,1,13,11,0,0,"ap-syR-d°-m@",4,"0,7","0,04","3","2","0,73","0,03","2","2","a-a.b-p.s-s.u-y.r-R.d-d.e-°.m-m.ent-@"
"!absurdité!","!apsyRdite!","absurdité",6.28,1,11,11,0,0,"ap-syR-di-te",4,"0,79","0,04","2","2","0,74","0,03","1","2","a-a.b-p.s-s.u-y.r-R.d-d.i-i.t-t.é-e"
"!abus!","!aby!","abus",8.58,1,6,5,2,11,"a-by",2,"0,95","0,89","0","0","0,79","0,18","1","4","a-a.b-b.u-y.s-#"
"!abuser!","!abyze!","abuser",14.26,1,8,7,3,6,"a-by-ze",3,"0,87","0,51","0","0","0,85","0,32","1","5","a-a.b-b.u-y.s-z.er-e"
"!abusif!","!abyzif!","abusif",1.82,1,8,8,0,2,"a-by-zif",3,"0,85","0,51","0","0","0,97","0,95","0","0","a-a.b-b.u-y.s-z.i-i.f-f"
"!abusivement!","!abyziv°m@!","abusivement",1.15,1,13,11,0,1,"a-by-zi-v°-m@",5,"0,77","0,34","1","9","0,9","0,34","1","9","a-a.b-b.u-y.s-z.i-i.v-v.e-°.m-m.ent-@"
"!abêtir!","!abetiR!","abêtir",1.28,1,8,8,2,2,"a-be-tiR",3,"0,81","0,22","1","3","0,81","0","1","3","a-a.b-b.ê-e.t-t.i-i.r-R"
"!abîme!","!abim!","abîme",20.61,1,7,6,3,9,"a-bim",2,"0,99","0,96","0","0","0,66","0","1","3","a-a.b-b.î-i.m-m.e-#"
"!abîmer!","!abime!","abîmer",21.69,1,8,7,2,8,"a-bi-me",3,"0,99","0,96","0","0","0,65","0","2","3","a-a.b-b.î-i.m-m.er-e"
"!acabit!","!akabi!","acabit",1.62,1,8,7,0,1,"a-ka-bi",3,"0,86","0,64","0","0","0,75","0,01","1","6","a-a.c-k.a-a.b-b.i-i.t-#"
"!acacia!","!akasja!","acacia",6.35,1,8,8,0,0,"a-ka-sja",3,"0,7","0,24","2","4","0,72","0,21","1","4","a-a.c-k.a-a.c-s.i-j.a-a"
"!académicien!","!akademisj5!","académicien",1.55,1,13,12,0,0,"a-ka-de-mi-sj5",5,"0,8","0,24","2","8","0,78","0,21","1","8","a-a.c-k.a-a.d-d.é-e.m-m.i-i.c-s.i-j.en-5"
"!académie!","!akademi!","académie",9.46,1,10,9,0,0,"a-ka-de-mi",4,"0,92","0,64","0","0","0,84","0,4","0","0","a-a.c-k.a-a.d-d.é-e.m-m.i-i.e-#"
"!académique!","!akademik!","académique",1.15,1,12,10,0,0,"a-ka-de-mik",4,"0,93","0,64","0","0","0,78","0,3","1","8","a-a.c-k.a-a.d-d.é-e.m-m.i-i.qu-k.e-#"
"!acajou!","!akaZu!","acajou",1.62,1,8,7,0,0,"a-ka-Zu",3,"0,92","0,64","0","0","0,72","0,16","1","4","a-a.c-k.a-a.j-Z.ou-u"
"!acajou!","!akaZu!","acajou",5.95,1,8,7,0,0,"a-ka-Zu",3,"0,92","0,64","0","0","0,72","0,16","1","4","a-a.c-k.a-a.j-Z.ou-u"
"!acariâtre!","!akaRjatR!","acariâtre",1.55,1,11,10,0,0,"a-ka-RjatR",3,"0,87","0,24","1","5","0,74","0,03","1","6","a-a.c-k.a-a.r-R.i-j.â-a.t-t.r-R.e-#"
"!accablant!","!akabl@!","accablant",5.41,1,11,8,2,4,"a-ka-bl@",3,"0,96","0,79","0","0","0,76","0,05","1","2","a-a.cc-k.a-a.b-b.l-l.ant-@"
"!accablement!","!akabl°m@!","accablement",3.72,1,13,10,0,1,"a-ka-bl°-m@",4,"0,83","0,34","1","8","0,77","0,05","2","2","a-a.cc-k.a-a.b-b.l-l.e-°.m-m.ent-@"
"!accabler!","!akable!","accabler",21.28,1,10,8,1,4,"a-ka-ble",3,"0,96","0,79","0","0","0,71","0,05","2","2","a-a.cc-k.a-a.b-b.l-l.er-e"
"!accablé!","!akable!","accablé",5.47,1,9,8,2,4,"a-ka-ble",3,"0,96","0,79","0","0","0,72","0,05","1","2","a-a.cc-k.a-a.b-b.l-l.é-e"
"!accalmie!","!akalmi!","accalmie",3.72,1,10,8,1,0,"a-kal-mi",3,"0,93","0,75","0","0","0,74","0,05","1","2","a-a.cc-k.a-a.l-l.m-m.i-i.e-#"
"!accaparer!","!akapaRe!","accaparer",3.99,1,11,9,1,3,"a-ka-pa-Re",4,"0,97","0,79","0","0","0,73","0,05","2","2","a-a.cc-k.a-a.p-p.a-a.r-R.er-e"
"!accent!","!aks@!","accent",45.54,1,8,6,0,5,"ak-s@",2,"0,51","0,2","2","2","0,49","0,12","2","2","a-a.cc-ks.ent-@"
"!accentuer!","!aks@tye!","accentuer",16.15,1,11,9,1,4,"ak-s@-t8e",3,"0,68","0,08","2","2","0,63","0,12","3","2","a-a.cc-ks.en-@.t-t.u-8.er-e"
"!accentué!","!aks@tye!","accentué",1.55,1,10,9,2,4,"ak-s@-t8e",3,"0,68","0,08","2","2","0,64","0,12","2","2","a-a.cc-ks.en-@.t-t.u-8.é-e"
"!acceptable!","!aksEptabl!","acceptable",4.39,1,12,11,0,0,"ak-sEp-tabl",3,"0,83","0,2","2","2","0,75","0,12","1","2","a-a.cc-ks.e-E.p-p.t-t.a-a.b-b.l-l.e-#"
"!acceptation!","!aksEptasj&!","acceptation",4.39,1,13,12,0,0,"ak-sEp-ta-sj§",4,"0,64","0,07","4","2","0,64","0,1","3","2","a-a.cc-ks.e-E.p-p.t-t.a-a.t-s.i-j.on-§"
"!accepter!","!aksEpte!","accepter",144.66,1,10,9,2,5,"ak-sEp-te",3,"0,75","0,2","2","2","0,64","0,12","2","2","a-a.cc-ks.e-E.p-p.t-t.er-e"
"!accessible!","!aksesibl!","accessible",5.74,1,12,10,0,0,"ak-se-sibl",3,"0,74","0,04","2","2","0,59","0,04","3","2","a-a.cc-ks.e-e.ss-s.i-i.b-b.l-l.e-#"
"!accession!","!aksEsj&!","accession",1.22,1,11,9,0,0,"ak-sE-sj§",3,"0,64","0,2","3","2","0,53","0,12","3","2","a-a.cc-ks.e-E.ss-s.i-j.on-§"
"!accessoire!","!akseswaR!","accessoire",2.84,1,12,10,0,0,"ak-se-swaR",3,"0,75","0,04","2","2","0,54","0,04","3","2","a-a.cc-ks.e-e.ss-s.oi-wa.r-R.e-#"
"!accessoire!","!akseswaR!","accessoire",7.3,1,12,10,0,0,"ak-se-swaR",3,"0,75","0,04","2","2","0,54","0,04","3","2","a-a.cc-ks.e-e.ss-s.oi-wa.r-R.e-#"
"!accident!","!aksid@!","accident",44.8,1,10,8,2,2,"ak-si-d@",3,"0,66","0,2","2","2","0,68","0,12","2","2","a-a.cc-ks.i-i.d-d.ent-@"
"!accidentel!","!aksid@tEl!","accidentel",3.45,1,12,11,1,0,"ak-si-d@-tEl",4,"0,77","0,2","2","2","0,75","0,12","2","2","a-a.cc-ks.i-i.d-d.en-@.t-t.e-E.l-l"
"!accidenté!","!aksid@te!","accidenté",1.42,1,11,10,2,0,"ak-si-d@-te",4,"0,82","0,2","1","2","0,69","0,12","2","2","a-a.cc-ks.i-i.d-d.en-@.t-t.é-e"
"!acclamation!","!aklamasj&!","acclamation",4.66,1,13,11,0,0,"a-kla-ma-sj§",4,"0,79","0,07","2","7","0,68","0,05","3","2","a-a.cc-k.l-l.a-a.m-m.a-a.t-s.i-j.on-§"
"!acclamer!","!aklame!","acclamer",5.81,1,10,8,1,4,"a-kla-me",3,"0,96","0,79","0","0","0,69","0,05","2","2","a-a.cc-k.l-l.a-a.m-m.er-e"
"!acclimater!","!aklimate!","acclimater",1.96,1,12,10,2,2,"a-kli-ma-te",4,"0,93","0,75","0","0","0,75","0,05","2","2","a-a.cc-k.l-l.i-i.m-m.a-a.t-t.er-e"
"!accolade!","!akolad!","accolade",2.23,1,10,8,0,0,"a-ko-lad",3,"0,93","0,7","0","0","0,74","0,05","1","2","a-a.cc-k.o-o.l-l.a-a.d-d.e-#"
"!accoler!","!akole!","accoler",2.7,1,9,7,2,8,"a-ko-le",3,"0,9","0,7","0","0","0,63","0,05","2","2","a-a.cc-k.o-o.l-l.er-e"
"!accommodement!","!akomOd°m@!","accommodement",1.01,1,15,11,0,0,"a-ko-mO-d°-m@",5,"0,74","0,3","2","5","0,69","0,05","3","2","a-a.cc-k.o-o.mm-m.o-O.d-d.e-°.m-m.ent-@"
"!accommoder!","!akomode!","accommoder",14.19,1,12,9,0,5,"a-ko-mo-de",4,"0,88","0,7","0","0","0,6","0,05","3","2","a-a.cc-k.o-o.mm-m.o-o.d-d.er-e"
"!accompagnateur!","!ak&paNat9R!","accompagnateur",1.01,1,16,12,0,0,"a-k§-pa-Na-t9R",5,"0,93","0,57","0","0","0,78","0,05","2","2","a-a.cc-k.om-§.p-p.a-a.gn-N.a-a.t-t.eu-9.r-R"
"!accompagnement!","!ak&paN°m@!","accompagnement",2.57,1,16,11,0,0,"a-k§-pa-N°-m@",5,"0,85","0,34","1","9","0,7","0,05","3","2","a-a.cc-k.om-§.p-p.a-a.gn-N.e-°.m-m.ent-@"
"!accompagner!","!ak&paNe!","accompagner",124.46,1,13,9,2,4,"a-k§-pa-Ne",4,"0,97","0,79","0","0","0,63","0,05","3","2","a-a.cc-k.om-§.p-p.a-a.gn-N.er-e"
"!accompagné!","!ak&paNe!","accompagné",1.35,1,12,9,2,4,"a-k§-pa-Ne",4,"0,97","0,79","0","0","0,64","0,05","2","2","a-a.cc-k.om-§.p-p.a-a.gn-N.é-e"
"!accompli!","!ak&pli!","accompli",10.54,1,10,8,0,0,"a-k§-pli",3,"0,96","0,79","0","0","0,58","0,05","2","2","a-a.cc-k.om-§.p-p.l-l.i-i"
"!accomplir!","!ak&pliR!","accomplir",55.2,1,11,9,3,1,"a-k§-pliR",3,"0,93","0,75","0","0","0,71","0,05","2","2","a-a.cc-k.om-§.p-p.l-l.i-i.r-R"
