word,pron,phono,segm,pseg,gpmatch
abreuvoir,abR2vwaR,a.bR2.vwaR,a.b.r.eu.v.oi.r,a.b.R.2.v.wa.R,a-a.b-b.r-R.eu-2.v-v.oi-wa.r-R
abri,abRi,a.bRi,a.b.r.i,a.b.R.i,a-a.b-b.r-R.i-i
abricot,abRiko,a.bRi.ko,a.b.r.i.c.o.t,a.b.R.i.k.o.#,a-a.b-b.r-R.i-i.c-k.o-o.t-#
abricot,abRiko,a.bRi.ko,a.b.r.i.c.o.t,a.b.R.i.k.o.#,a-a.b-b.r-R.i-i.c-k.o-o.t-#
abricotier,abRikotje,a.bRi.ko.tje,a.b.r.i.c.o.t.i.er,a.b.R.i.k.o.t.j.e,a-a.b-b.r-R.i-i.c-k.o-o.t-t.i-j.er-e
abricots,abRiko,a.bRi.ko,a.b.r.i.c.o.t.s,a.b.R.i.k.o.#.#,a-a.b-b.r-R.i-i.c-k.o-o.t-#.s-#
abrite,abRit,a.bRit,a.b.r.i.t.e,a.b.R.i.t.#,a-a.b-b.r-R.i-i.t-t.e-#
abrutis,abRyti,a.bRy.ti,a.b.r.u.t.i.s,a.b.R.y.t.i.#,a-a.b-b.r-R.u-y.t-t.i-i.s-#
absence,aps@s,ap.s@s,a.b.s.en.c.e,a.p.s.@.s.#,a-a.b-p.s-s.en-@.c-s.e-#
absent,aps@,ap.s@,a.b.s.en.t,a.p.s.@.#,a-a.b-p.s-s.en-@.t-#
absente,aps@t,ap.s@t,a.b.s.en.t.e,a.p.s.@.t.#,a-a.b-p.s-s.en-@.t-t.e-#
absents,aps@,ap.s@,a.b.s.en.t.s,a.p.s.@.#.#,a-a.b-p.s-s.en-@.t-#.s-#
absolument,apsolym@,ap.so.ly.m@,a.b.s.o.l.u.m.en.t,a.p.s.o.l.y.m.@.#,a-a.b-p.s-s.o-o.l-l.u-y.m-m.en-@.t-#
absurde,apsyRd*,ap.syR.d*,a.b.s.u.r.d.e,a.p.s.y.R.d.*,a-a.b-p.s-s.u-y.r-R.d-d.e-*
académies,akademi,a.ka.de.mi,a.c.a.d.é.m.i.e.s,a.k.a.d.e.m.i.#.#,a-a.c-k.a-a.d-d.é-e.m-m.i-i.e-#.s-#
accélère,akseleR,ak.se.leR,a.cc.é.l.è.r.e,a.ks.e.l.e.R.#,a-a.cc-ks.é-e.l-l.è-e.r-R.e-#
accélérer,akseleRe,ak.se.le.Re,a.cc.é.l.é.r.er,a.ks.e.l.e.R.e,a-a.cc-ks.é-e.l-l.é-e.r-R.er-e
accepta,aksepta,ak.sep.ta,a.cc.e.p.t.a,a.ks.e.p.t.a,a-a.cc-ks.e-e.p-p.t-t.a-a
accepte,aksept*,ak.sep.t*,a.cc.e.p.t.e,a.ks.e.p.t.*,a-a.cc-ks.e-e.p-p.t-t.e-*
acceptent,aksept*,ak.sep.t*,a.cc.e.p.t.e.n.t,a.ks.e.p.t.*.#.#,a-a.cc-ks.e-e.p-p.t-t.e-*.n-#.t-#
accepter,aksepte,ak.sep.te,a.cc.e.p.t.er,a.ks.e.p.t.e,a-a.cc-ks.e-e.p-p.t-t.er-e
accepteront,akseptR§,ak.sep.tR§,a.cc.e.p.t.e.r.on.t,a.ks.e.p.t.#.R.§.#,a-a.cc-ks.e-e.p-p.t-t.e-#.r-R.on-§.t-#
acceptez,aksepte,ak.sep.te,a.cc.e.p.t.ez,a.ks.e.p.t.e,a-a.cc-ks.e-e.p-p.t-t.ez-e
accès,akse,ak.se,a.cc.è.s,a.ks.e.#,a-a.cc-ks.è-e.s-#
accident,aksid@,ak.si.d@,a.cc.i.d.en.t,a.ks.i.d.@.#,a-a.cc-ks.i-i.d-d.en-@.t-#
acclamé,aklame,a.kla.me,a.cc.l.a.m.é,a.k.l.a.m.e,a-a.cc-k.l-l.a-a.m-m.é-e
acclamer,aklame,a.kla.me,a.cc.l.a.m.er,a.k.l.a.m.e,a-a.cc-k.l-l.a-a.m-m.er-e
accompagnant,ak§paN@,a.k§.pa.N@,a.cc.om.p.a.gn.an.t,a.k.§.p.a.N.@.#,a-a.cc-k.om-§.p-p.a-a.gn-N.an-@.t-#
accompagne,ak§paN,a.k§.paN,a.cc.om.p.a.gn.e,a.k.§.p.a.N.#,a-a.cc-k.om-§.p-p.a-a.gn-N.e-#
accompagné,ak§paNe,a.k§.pa.Ne,a.cc.om.p.a.gn.é,a.k.§.p.a.N.e,a-a.cc-k.om-§.p-p.a-a.gn-N.é-e
accompagner,ak§paNe,a.k§.pa.Ne,a.cc.om.p.a.gn.er,a.k.§.p.a.N.e,a-a.cc-k.om-§.p-p.a-a.gn-N.er-e
accompagneront,ak§paNR§,a.k§.paN.R§,a.cc.om.p.a.gn.e.r.on.t,a.k.§.p.a.N.#.R.§.#,a-a.cc-k.om-§.p-p.a-a.gn-N.e-#.r-R.on-§.t-#
accompagnes,ak§paN,a.k§.paN,a.cc.om.p.a.gn.e.s,a.k.§.p.a.N.#.#,a-a.cc-k.om-§.p-p.a-a.gn-N.e-#.s-#
accompagnés,ak§paNe,a.k§.pa.Ne,a.cc.om.p.a.gn.é.s,a.k.§.p.a.N.e.#,a-a.cc-k.om-§.p-p.a-a.gn-N.é-e.s-#
accomplie,ak§pli,a.k§.pli,a.cc.om.p.l.i.e,a.k.§.p.l.i.#,a-a.cc-k.om-§.p-p.l-l.i-i.e-#
accomplit,ak§pli,a.k§.pli,a.cc.om.p.l.i.t,a.k.§.p.l.i.#,a-a.cc-k.om-§.p-p.l-l.i-i.t-#
accord,akoR,a.koR,a.cc.o.r.d,a.k.o.R.#,a-a.cc-k.o-o.r-R.d-#
accordéon,akoRde§,a.koR.de.§,a.cc.o.r.d.é.on,a.k.o.R.d.e.§,a-a.cc-k.o-o.r-R.d-d.é-e.on-§
accourt,akuR,a.kuR,a.cc.ou.r.t,a.k.u.R.#,a-a.cc-k.ou-u.r-R.t-#
accourut,akuRy,a.ku.Ry,a.cc.ou.r.u.t,a.k.u.R.y.#,a-a.cc-k.ou-u.r-R.u-y.t-#
accrocha,akRoSa,a.kRo.Sa,a.cc.r.o.ch.a,a.k.R.o.S.a,a-a.cc-k.r-R.o-o.ch-S.a-a
accrochant,akRoS@,a.kRo.S@,a.cc.r.o.ch.an.t,a.k.R.o.S.@.#,a-a.cc-k.r-R.o-o.ch-S.an-@.t-#
accroche,akRoS,a.kRoS,a.cc.r.o.ch.e,a.k.R.o.S.#,a-a.cc-k.r-R.o-o.ch-S.e-#
accroche,akRoS,a.kRoS,a.cc.r.o.ch.e,a.k.R.o.S.#,a-a.cc-k.r-R.o-o.ch-S.e-#
accroché,akRoSe,a.kRo.Se,a.cc.r.o.ch.é,a.k.R.o.S.e,a-a.cc-k.r-R.o-o.ch-S.é-e
accrochée,akRoSe,a.kRo.Se,a.cc.r.o.ch.é.e,a.k.R.o.S.e.#,a-a.cc-k.r-R.o-o.ch-S.é-e.e-#
accrocher,akRoSe,a.kRo.Se,a.cc.r.o.ch.er,a.k.R.o.S.e,a-a.cc-k.r-R.o-o.ch-S.er-e
accrochèrent,akRoSeR,a.kRo.SeR,a.cc.r.o.ch.è.r.e.n.t,a.k.R.o.S.e.R.#.#.#,a-a.cc-k.r-R.o-o.ch-S.è-e.r-R.e-#.n-#.t-#
accrochés,akRoSe,a.kRo.Se,a.cc.r.o.ch.é.s,a.k.R.o.S.e.#,a-a.cc-k.r-R.o-o.ch-S.é-e.s-#
accroupi,akRupi,a.kRu.pi,a.cc.r.ou.p.i,a.k.R.u.p.i,a-a.cc-k.r-R.ou-u.p-p.i-i
accroupit,akRupi,a.kRu.pi,a.cc.r.ou.p.i.t,a.k.R.u.p.i.#,a-a.cc-k.r-R.ou-u.p-p.i-i.t-#
accueil,ak2j,a.k2j,a.cc.ue.il,a.k.2.j,a-a.cc-k.ue-2.il-j
accueille,ak2j,a.k2j,a.cc.ue.ill.e,a.k.2.j.#,a-a.cc-k.ue-2.ill-j.e-#
accueillent,ak2j,a.k2j,a.cc.ue.ill.e.n.t,a.k.2.j.#.#.#,a-a.cc-k.ue-2.ill-j.e-#.n-#.t-#
accueillera,ak2jRa,a.k2j.Ra,a.cc.ue.ill.e.r.a,a.k.2.j.#.R.a,a-a.cc-k.ue-2.ill-j.e-#.r-R.a-a
accueilli,ak2ji,a.k2.ji,a.cc.ue.illi,a.k.2.ji,a-a.cc-k.ue-2.illi-ji
accueillie,ak2ji,a.k2.ji,a.cc.ue.illi.e,a.k.2.ji.#,a-a.cc-k.ue-2.illi-ji.e-#
accueillirent,ak2jiR,a.k2.jiR,a.cc.ue.illi.r.e.n.t,a.k.2.ji.R.#.#.#,a-a.cc-k.ue-2.illi-ji.r-R.e-#.n-#.t-#
accumule,akymyl,a.ky.myl,a.cc.u.m.u.l.e,a.k.y.m.y.l.#,a-a.cc-k.u-y.m-m.u-y.l-l.e-#
achat,aSa,a.Sa,a.ch.a.t,a.S.a.#,a-a.ch-S.a-a.t-#
achats,aSa,a.Sa,a.ch.a.t.s,a.S.a.#.#,a-a.ch-S.a-a.t-#.s-#
acheta,aSta,aS.ta,a.ch.e.t.a,a.S.#.t.a,a-a.ch-S.e-#.t-t.a-a
achète,aSet,a.Set,a.ch.è.t.e,a.S.e.t.#,a-a.ch-S.è-e.t-t.e-#
acheté,aSte,aS.te,a.ch.e.t.é,a.S.#.t.e,a-a.ch-S.e-#.t-t.é-e
achetée,aSte,aS.te,a.ch.e.t.é.e,a.S.#.t.e.#,a-a.ch-S.e-#.t-t.é-e.e-#
achetées,aSte,aS.te,a.ch.e.t.é.e.s,a.S.#.t.e.#.#,a-a.ch-S.e-#.t-t.é-e.e-#.s-#
achètent,aSet,a.Set,a.ch.è.t.e.n.t,a.S.e.t.#.#.#,a-a.ch-S.è-e.t-t.e-#.n-#.t-#
acheter,aSte,aS.te,a.ch.e.t.er,a.S.#.t.e,a-a.ch-S.e-#.t-t.er-e
achètera,aSetRa,a.Se.tRa,a.ch.è.t.e.r.a,a.S.e.t.#.R.a,a-a.ch-S.è-e.t-t.e-#.r-R.a-a
achetez,aSte,aS.te,a.ch.e.t.ez,a.S.#.t.e,a-a.ch-S.e-#.t-t.ez-e
achetions,aS*tj§,a.S*.tj§,a.ch.e.t.i.on.s,a.S.*.t.j.§.#,a-a.ch-S.e-*.t-t.i-j.on-§.s-#
achetons,aSt§,aS.t§,a.ch.e.t.on.s,a.S.#.t.§.#,a-a.ch-S.e-#.t-t.on-§.s-#
achève,aSev,a.Sev,a.ch.è.v.e,a.S.e.v.#,a-a.ch-S.è-e.v-v.e-#
acide,asid,a.sid,a.c.i.d.e,a.s.i.d.#,a-a.c-s.i-i.d-d.e-#
acier,asje,a.sje,a.c.i.er,a.s.j.e,a-a.c-s.i-j.er-e
acrobate,akRobat,a.kRo.bat,a.c.r.o.b.a.t.e,a.k.R.o.b.a.t.#,a-a.c-k.r-R.o-o.b-b.a-a.t-t.e-#
acrobatie,akRobasi,a.kRo.ba.si,a.c.r.o.b.a.t.i.e,a.k.R.o.b.a.s.i.#,a-a.c-k.r-R.o-o.b-b.a-a.t-s.i-i.e-#
acrobaties,akRobasi,a.kRo.ba.si,a.c.r.o.b.a.t.i.e.s,a.k.R.o.b.a.s.i.#.#,a-a.c-k.r-R.o-o.b-b.a-a.t-s.i-i.e-#.s-#
acrylique,akRilik,a.kRi.lik,a.c.r.y.l.i.qu.e,a.k.R.i.l.i.k.#,a-a.c-k.r-R.y-i.l-l.i-i.qu-k.e-#
acte,akt*,ak.t*,a.c.t.e,a.k.t.*,a-a.c-k.t-t.e-*
actif,aktif,ak.tif,a.c.t.i.f,a.k.t.i.f,a-a.c-k.t-t.i-i.f-f
actions,aksj§,ak.sj§,a.c.t.i.on.s,a.k.s.j.§.#,a-a.c-k.t-s.i-j.on-§.s-#
active,aktiv,ak.tiv,a.c.t.i.v.e,a.k.t.i.v.#,a-a.c-k.t-t.i-i.v-v.e-#
activer,aktive,ak.ti.ve,a.c.t.i.v.er,a.k.t.i.v.e,a-a.c-k.t-t.i-i.v-v.er-e
activité,aktivite,ak.ti.vi.te,a.c.t.i.v.i.t.é,a.k.t.i.v.i.t.e,a-a.c-k.t-t.i-i.v-v.i-i.t-t.é-e
activités,aktivite,ak.ti.vi.te,a.c.t.i.v.i.t.é.s,a.k.t.i.v.i.t.e.#,a-a.c-k.t-t.i-i.v-v.i-i.t-t.é-e.s-#
actrice,aktRis,ak.tRis,a.c.t.r.i.c.e,a.k.t.R.i.s.#,a-a.c-k.t-t.r-R.i-i.c-s.e-#
actualité,akt8alite,ak.t8a.li.te,a.c.t.u.a.l.i.t.é,a.k.t.8.a.l.i.t.e,a-a.c-k.t-t.u-8.a-a.l-l.i-i.t-t.é-e
actuels,akt8el,ak.t8el,a.c.t.u.e.l.s,a.k.t.8.e.l.#,a-a.c-k.t-t.u-8.e-e.l-l.s-#
addition,adisj§,a.di.sj§,a.dd.i.t.i.on,a.d.i.s.j.§,a-a.dd-d.i-i.t-s.i-j.on-§
additions,adisj§,a.di.sj§,a.dd.i.t.i.on.s,a.d.i.s.j.§.#,a-a.dd-d.i-i.t-s.i-j.on-§.s-#
adélaïde,adelaid,a.de.la.id,a.d.é.l.a.ï.d.e,a.d.e.l.a.i.d.#,a-a.d-d.é-e.l-l.a-a.ï-i.d-d.e-#
adèle,adel,a.del,a.d.è.l.e,a.d.e.l.#,a-a.d-d.è-e.l-l.e-#
adeline,adlin,a.dlin,a.d.e.l.i.n.e,a.d.#.l.i.n.#,a-a.d-d.e-#.l-l.i-i.n-n.e-#
adieu,adj2,a.dj2,a.d.i.eu,a.d.j.2,a-a.d-d.i-j.eu-2
admiration,admiRasj§,ad.mi.Ra.sj§,a.d.m.i.r.a.t.i.on,a.d.m.i.R.a.s.j.§,a-a.d-d.m-m.i-i.r-R.a-a.t-s.i-j.on-§
admire,admiR,ad.miR,a.d.m.i.r.e,a.d.m.i.R.#,a-a.d-d.m-m.i-i.r-R.e-#
admirent,admiR,ad.miR,a.d.m.i.r.e.n.t,a.d.m.i.R.#.#.#,a-a.d-d.m-m.i-i.r-R.e-#.n-#.t-#
admirer,admiRe,ad.mi.Re,a.d.m.i.r.er,a.d.m.i.R.e,a-a.d-d.m-m.i-i.r-R.er-e
adopté,adopte,a.dop.te,a.d.o.p.t.é,a.d.o.p.t.e,a-a.d-d.o-o.p-p.t-t.é-e
adoptée,adopte,a.dop.te,a.d.o.p.t.é.e,a.d.o.p.t.e.#,a-a.d-d.o-o.p-p.t-t.é-e.e-#
adopter,adopte,a.dop.te,a.d.o.p.t.er,a.d.o.p.t.e,a-a.d-d.o-o.p-p.t-t.er-e
adoptés,adopte,a.dop.te,a.d.o.p.t.é.s,a.d.o.p.t.e.#,a-a.d-d.o-o.p-p.t-t.é-e.s-#
adoraient,adoRe,a.do.Re,a.d.o.r.ai.e.n.t,a.d.o.R.e.#.#.#,a-a.d-d.o-o.r-R.ai-e.e-#.n-#.t-#
adorait,adoRe,a.do.Re,a.d.o.r.ai.t,a.d.o.R.e.#,a-a.d-d.o-o.r-R.ai-e.t-#
adore,adoR,a.doR,a.d.o.r.e,a.d.o.R.#,a-a.d-d.o-o.r-R.e-#
adoré,adoRe,a.do.Re,a.d.o.r.é,a.d.o.R.e,a-a.d-d.o-o.r-R.é-e
adorent,adoR,a.doR,a.d.o.r.e.n.t,a.d.o.R.#.#.#,a-a.d-d.o-o.r-R.e-#.n-#.t-#
adoucissant,adusis@,a.du.si.s@,a.d.ou.c.i.ss.an.t,a.d.u.s.i.s.@.#,a-a.d-d.ou-u.c-s.i-i.ss-s.an-@.t-#
adresse,adRes,a.dRes,a.d.r.e.ss.e,a.d.R.e.s.#,a-a.d-d.r-R.e-e.ss-s.e-#
adresse,adRes,a.dRes,a.d.r.e.ss.e,a.d.R.e.s.#,a-a.d-d.r-R.e-e.ss-s.e-#
adressé,adRese,a.dRe.se,a.d.r.e.ss.é,a.d.R.e.s.e,a-a.d-d.r-R.e-e.ss-s.é-e
adresser,adRese,a.dRe.se,a.d.r.e.ss.er,a.d.R.e.s.e,a-a.d-d.r-R.e-e.ss-s.er-e
adrien,adRj5,a.dRj5,a.d.r.i.en,a.d.R.j.5,a-a.d-d.r-R.i-j.en-5
adroit,adRwa,a.dRwa,a.d.r.oi.t,a.d.R.wa.#,a-a.d-d.r-R.oi-wa.t-#
adroite,adRwat,a.dRwat,a.d.r.oi.t.e,a.d.R.wa.t.#,a-a.d-d.r-R.oi-wa.t-t.e-#
adroits,adRwa,a.dRwa,a.d.r.oi.t.s,a.d.R.wa.#.#,a-a.d-d.r-R.oi-wa.t-#.s-#
adulte,adylt*,a.dyl.t*,a.d.u.l.t.e,a.d.y.l.t.*,a-a.d-d.u-y.l-l.t-t.e-*
adultes,adylt*,a.dyl.t*,a.d.u.l.t.e.s,a.d.y.l.t.*.#,a-a.d-d.u-y.l-l.t-t.e-*.s-#
adversaire,adveRseR,ad.veR.seR,a.d.v.e.r.s.ai.r.e,a.d.v.e.R.s.e.R.#,a-a.d-d.v-v.e-e.r-R.s-s.ai-e.r-R.e-#
adversaires,adveRseR,ad.veR.seR,a.d.v.e.r.s.ai.r.e.s,a.d.v.e.R.s.e.R.#.#,a-a.d-d.v-v.e-e.r-R.s-s.ai-e.r-R.e-#.s-#
aéré,aeRe,a.e.Re,a.é.r.é,a.e.R.e,a-a.é-e.r-R.é-e
aérer,aeRe,a.e.Re,a.é.r.er,a.e.R.e,a-a.é-e.r-R.er-e
aéroport,aeRopoR,a.e.Ro.poR,a.é.r.o.p.o.r.t,a.e.R.o.p.o.R.#,a-a.é-e.r-R.o-o.p-p.o-o.r-R.t-#
aérosol,aeRosol,a.e.Ro.sol,a.é.r.o.s.o.l,a.e.R.o.s.o.l,a-a.é-e.r-R.o-o.s-s.o-o.l-l
aérosols,aeRosol,a.e.Ro.sol,a.é.r.o.s.o.l.s,a.e.R.o.s.o.l.#,a-a.é-e.r-R.o-o.s-s.o-o.l-l.s-#
affaire,afeR,a.feR,a.ff.ai.r.e,a.f.e.R.#,a-a.ff-f.ai-e.r-R.e-#
affaire,afeR,a.feR,a.ff.ai.r.e,a.f.e.R.#,a-a.ff-f.ai-e.r-R.e-#
affairées,afeRe,a.fe.Re,a.ff.ai.r.é.e.s,a.f.e.R.e.#.#,a-a.ff-f.ai-e.r-R.é-e.e-#.s-#
affaires,afeR,a.feR,a.ff.ai.r.e.s,a.f.e.R.#.#,a-a.ff-f.ai-e.r-R.e-#.s-#
affamé,afame,a.fa.me,a.ff.a.m.é,a.f.a.m.e,a-a.ff-f.a-a.m-m.é-e
affamé,afame,a.fa.me,a.ff.a.m.é,a.f.a.m.e,a-a.ff-f.a-a.m-m.é-e
affamée,afame,a.fa.me,a.ff.a.m.é.e,a.f.a.m.e.#,a-a.ff-f.a-a.m-m.é-e.e-#
affiche,afiS,a.fiS,a.ff.i.ch.e,a.f.i.S.#,a-a.ff-f.i-i.ch-S.e-#
affiche,afiS,a.fiS,a.ff.i.ch.e,a.f.i.S.#,a-a.ff-f.i-i.ch-S.e-#
afficher,afiSe,a.fi.Se,a.ff.i.ch.er,a.f.i.S.e,a-a.ff-f.i-i.ch-S.er-e
affiches,afiS,a.fiS,a.ff.i.ch.e.s,a.f.i.S.#.#,a-a.ff-f.i-i.ch-S.e-#.s-#
affirme,afiRm*,a.fiR.m*,a.ff.i.r.m.e,a.f.i.R.m.*,a-a.ff-f.i-i.r-R.m-m.e-*
affola,afola,a.fo.la,a.ff.o.l.a,a.f.o.l.a,a-a.ff-f.o-o.l-l.a-a
affolé,afole,a.fo.le,a.ff.o.l.é,a.f.o.l.e,a-a.ff-f.o-o.l-l.é-e
affolée,afole,a.fo.le,a.ff.o.l.é.e,a.f.o.l.e.#,a-a.ff-f.o-o.l-l.é-e.e-#
affolées,afole,a.fo.le,a.ff.o.l.é.e.s,a.f.o.l.e.#.#,a-a.ff-f.o-o.l-l.é-e.e-#.s-#
affolent,afol,a.fol,a.ff.o.l.e.n.t,a.f.o.l.#.#.#,a-a.ff-f.o-o.l-l.e-#.n-#.t-#
affolés,afole,a.fo.le,a.ff.o.l.é.s,a.f.o.l.e.#,a-a.ff-f.o-o.l-l.é-e.s-#
affranchissement,afR@Sism@,a.fR@.Sis.m@,a.ff.r.an.ch.i.ss.e.m.en.t,a.f.R.@.S.i.s.#.m.@.#,a-a.ff-f.r-R.an-@.ch-S.i-i.ss-s.e-#.m-m.en-@.t-#
affreuse,afR2z,a.fR2z,a.ff.r.eu.s.e,a.f.R.2.z.#,a-a.ff-f.r-R.eu-2.s-z.e-#
affreuses,afR2z,a.fR2z,a.ff.r.eu.s.e.s,a.f.R.2.z.#.#,a-a.ff-f.r-R.eu-2.s-z.e-#.s-#
affreux,afR2,a.fR2,a.ff.r.eu.x,a.f.R.2.#,a-a.ff-f.r-R.eu-2.x-#
affreux,afR2,a.fR2,a.ff.r.eu.x,a.f.R.2.#,a-a.ff-f.r-R.eu-2.x-#
affronter,afR§te,a.fR§.te,a.ff.r.on.t.er,a.f.R.§.t.e,a-a.ff-f.r-R.on-§.t-t.er-e
afrique,afRik,a.fRik,a.f.r.i.qu.e,a.f.R.i.k.#,a-a.f-f.r-R.i-i.qu-k.e-#
agate,agat,a.gat,a.g.a.t.e,a.g.a.t.#,a-a.g-g.a-a.t-t.e-#
agathe,agat,a.gat,a.g.a.th.e,a.g.a.t.#,a-a.g-g.a-a.th-t.e-#
age,AZ,AZ,a.g.e,A.Z.#,a-A.g-Z.e-#
agé,AZe,A.Ze,a.g.é,A.Z.e,a-A.g-Z.é-e
agées,AZe,A.Ze,a.g.é.e.s,A.Z.e.#.#,a-A.g-Z.é-e.e-#.s-#
agence,aZ@s,a.Z@s,a.g.en.c.e,a.Z.@.s.#,a-a.g-Z.en-@.c-s.e-#
agenouilla,aZnuja,aZ.nu.ja,a.g.e.n.ou.ill.a,a.Z.#.n.u.j.a,a-a.g-Z.e-#.n-n.ou-u.ill-j.a-a
agent,aZ@,a.Z@,a.g.en.t,a.Z.@.#,a-a.g-Z.en-@.t-#
agés,AZe,A.Ze,a.g.é.s,A.Z.e.#,a-A.g-Z.é-e.s-#
agi,aZi,a.Zi,a.g.i,a.Z.i,a-a.g-Z.i-i
agile,aZil,a.Zil,a.g.i.l.e,a.Z.i.l.#,a-a.g-Z.i-i.l-l.e-#
agiles,aZil,a.Zil,a.g.i.l.e.s,a.Z.i.l.#.#,a-a.g-Z.i-i.l-l.e-#.s-#
agir,aZiR,a.ZiR,a.g.i.r,a.Z.i.R,a-a.g-Z.i-i.r-R
agit,aZi,a.Zi,a.g.i.t,a.Z.i.#,a-a.g-Z.i-i.t-#
agita,aZita,a.Zi.ta,a.g.i.t.a,a.Z.i.t.a,a-a.g-Z.i-i.t-t.a-a
agitait,aZite,a.Zi.te,a.g.i.t.ai.t,a.Z.i.t.e.#,a-a.g-Z.i-i.t-t.ai-e.t-#
agitant,aZit@,a.Zi.t@,a.g.i.t.an.t,a.Z.i.t.@.#,a-a.g-Z.i-i.t-t.an-@.t-#
agitation,aZitasj§,a.Zi.ta.sj§,a.g.i.t.a.t.i.on,a.Z.i.t.a.s.j.§,a-a.g-Z.i-i.t-t.a-a.t-s.i-j.on-§
agite,aZit,a.Zit,a.g.i.t.e,a.Z.i.t.#,a-a.g-Z.i-i.t-t.e-#
agité,aZite,a.Zi.te,a.g.i.t.é,a.Z.i.t.e,a-a.g-Z.i-i.t-t.é-e
agitée,aZite,a.Zi.te,a.g.i.t.é.e,a.Z.i.t.e.#,a-a.g-Z.i-i.t-t.é-e.e-#
agiter,aZite,a.Zi.te,a.g.i.t.er,a.Z.i.t.e,a-a.g-Z.i-i.t-t.er-e
aglaé,aglae,a.gla.e,a.g.l.a.é,a.g.l.a.e,a-a.g-g.l-l.a-a.é-e
agneau,aNo,a.No,a.gn.eau,a.N.o,a-a.gn-N.eau-o
agrandi,agR@di,a.gR@.di,a.g.r.an.d.i,a.g.R.@.d.i,a-a.g-g.r-R.an-@.d-d.i-i
agrandit,agR@di,a.gR@.di,a.g.r.an.d.i.t,a.g.R.@.d.i.#,a-a.g-g.r-R.an-@.d-d.i-i.t-#
